Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Porcetnaje_juegos_t,At_bats_t,Bateos_t,Home_runs_t,RBI_t,Porcentaje_bateo_t,OPS_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Juegos_2_t,Porcetnaje_juegos_2_t,At_bats_2_t,Bateos_2_t,Home_runs_2_t,RBI_2_t,Porcentaje_bateo_2_t,OPS_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Porcetnaje_juegos_t_1,At_bats_t_1,Bateos_t_1,Home_runs_t_1,RBI_t_1,Porcentaje_bateo_t_1,OPS_t_1,Juegos_2_t_1,Porcetnaje_juegos_2_t_1,At_bats_2_t_1,Bateos_2_t_1,Home_runs_2_t_1,RBI_2_t_1,Porcentaje_bateo_2_t_1,OPS_2_t_1
Kelly Johnson,6,1,2000000,2000000,131,0.814,304,75,10,34,0.247,0.698,14.508657738524219,14.626440774180603,14.239923679924543,17161,0.662596,92416,5625,100,1156,0.061009,0.4872039999999999,5,1,1500000,1500000,111,0.685,310,82,14,47,0.265,0.753,12321,0.469225,96100,6724,196,2209,0.070225,0.567009
Kelly Johnson,5,1,1500000,1500000,111,0.685,310,82,14,47,0.265,0.753,13.301947858488397,13.301947858488397,13.301947858488397,12321,0.469225,96100,6724,196,2209,0.070225,0.567009,4,1,3000000,3000000,106,0.654,265,57,7,27,0.215,0.659,11236,0.427716,70225,3249,49,729,0.0462249999999999,0.434281
Kelly Johnson,4,1,3000000,3000000,106,0.654,265,57,7,27,0.215,0.659,14.914122846632385,14.914122846632385,13.798980689346235,11236,0.427716,70225,3249,49,729,0.0462249999999999,0.434281,3,1,2450000,2450000,118,0.724,366,86,16,52,0.235,0.715,13924,0.524176,133956,7396,256,2704,0.0552249999999999,0.5112249999999999
Kendrys Morales,5,2,17000000,8500000,158,0.975,569,165,22,106,0.29,0.847,15.687312734865866,15.796512026830857,15.796512026830857,24964,0.950625,323761,27225,484,11236,0.0841,0.717409,4,1,7540983,7540983,98,0.605,367,80,8,42,0.218,0.612,9604,0.366025,134689,6400,64,1764,0.047524,0.374544
Kevin Pillar,11,2,6500000,3250000,124,0.765,325,75,15,47,0.231,0.692,15.096444403426338,15.096444403426338,15.096444403426338,15376,0.585225,105625,5625,225,2209,0.053361,0.4788639999999999,10,1,4250000,4250000,54,0.9,208,60,6,26,0.289,0.798,2916,0.81,43264,3600,36,676,0.0835209999999999,0.636804
Lyle Overbay,4,1,1500000,1500000,121,0.747,258,60,4,35,0.233,0.661,14.22097566607244,14.22097566607244,14.22097566607244,14641,0.558009,66564,3600,16,1225,0.054289,0.436921,3,1,1250000,1250000,142,0.877,445,107,14,59,0.24,0.688,20164,0.769129,198025,11449,196,3481,0.0576,0.4733439999999999
Marcell Ozuna,11,4,65000000,16250000,48,0.298,188,40,7,26,0.213,0.645,16.588099280204055,16.588099280204055,16.588099280204055,2304,0.088804,35344,1600,49,676,0.045369,0.416025,10,1,18000000,18000000,60,1.0,228,77,18,56,0.338,1.067,3600,1.0,51984,5929,324,3136,0.114244,1.138489
Mark Reynolds,4,1,2000000,2000000,130,0.803,378,74,22,45,0.196,0.681,14.508657738524219,14.508657738524219,14.508657738524219,16900,0.6448090000000001,142884,5476,484,2025,0.038416,0.4637610000000001,3,1,0,0,135,0.833,445,98,21,67,0.22,0.699,18225,0.693889,198025,9604,441,4489,0.0484,0.4886009999999999
Mark Reynolds,5,1,2000000,2000000,140,0.864,382,88,13,48,0.23,0.713,14.508657738524219,14.508657738524219,14.508657738524219,19600,0.7464959999999999,145924,7744,169,2304,0.0529,0.508369,4,1,2000000,2000000,130,0.803,378,74,22,45,0.196,0.681,16900,0.6448090000000001,142884,5476,484,2025,0.038416,0.4637610000000001
Marlon Byrd,4,2,16000000,8000000,154,0.951,591,156,25,85,0.264,0.757,15.89495209964411,15.89495209964411,15.89495209964411,23716,0.904401,349281,24336,625,7225,0.069696,0.573049,3,1,700000,700000,147,0.907,532,155,24,88,0.291,0.847,21609,0.8226490000000001,283024,24025,576,7744,0.0846809999999999,0.717409
Matt Adams,9,1,4000000,4000000,111,0.685,310,70,20,56,0.226,0.741,14.914122846632385,14.914122846632385,14.914122846632385,12321,0.469225,96100,4900,400,3136,0.051076,0.549081,8,1,4000000,4000000,121,0.747,306,73,21,57,0.239,0.786,14641,0.558009,93636,5329,441,3249,0.057121,0.617796
Matt Joyce,7,2,11000000,5500000,141,0.87,469,114,25,68,0.243,0.808,15.424948470398375,15.424948470398375,15.424948470398375,19881,0.7569,219961,12996,625,4624,0.059049,0.6528640000000001,6,1,1000000,1000000,140,0.864,231,56,13,42,0.242,0.866,19600,0.7464959999999999,53361,3136,169,1764,0.058564,0.749956
Mike Morse,5,2,16000000,8000000,98,0.605,229,53,5,19,0.231,0.649,14.890158310596608,14.890158310596608,14.890158310596608,9604,0.366025,52441,2809,25,361,0.053361,0.421201,4,1,6000000,6000000,131,0.809,438,122,16,61,0.279,0.811,17161,0.6544810000000001,191844,14884,256,3721,0.077841,0.6577210000000001
Mike Moustakas,10,4,64000000,16000000,44,0.733,139,32,8,27,0.23,0.799,16.300417207752275,16.300417207752275,15.307165334741986,1936,0.537289,19321,1024,64,729,0.0529,0.6384010000000001,9,1,10000000,10000000,143,0.883,523,133,35,87,0.254,0.845,20449,0.779689,273529,17689,1225,7569,0.064516,0.7140249999999999
Mike Moustakas,9,1,10000000,10000000,143,0.883,523,133,35,87,0.254,0.845,15.761420707019587,15.768538174788452,15.768538174788452,20449,0.779689,273529,17689,1225,7569,0.064516,0.7140249999999999,8,1,6500000,6500000,153,0.939,573,144,28,95,0.251,0.774,23409,0.8817209999999999,328329,20736,784,9025,0.063001,0.599076
Mike Napoli,4,2,32000000,16000000,119,0.735,415,103,17,55,0.248,0.789,16.588099280204055,16.588099280204055,16.588099280204055,14161,0.540225,172225,10609,289,3025,0.0615039999999999,0.6225210000000001,3,1,5000000,5000000,139,0.858,498,129,23,92,0.259,0.842,19321,0.7361639999999999,248004,16641,529,8464,0.067081,0.7089639999999999
Mitch Moreland,8,2,13000000,6500000,125,0.772,404,99,15,68,0.245,0.758,15.687312734865866,15.687312734865866,15.687312734865866,15625,0.5959840000000001,163216,9801,225,4624,0.0600249999999999,0.574564,7,1,5500000,5500000,149,0.92,508,125,22,79,0.246,0.769,22201,0.8464,258064,15625,484,6241,0.060516,0.591361
Mitch Moreland,11,1,2250000,2250000,81,0.5,229,52,10,30,0.227,0.701,14.626440774180603,14.626440774180603,14.626440774180603,6561,0.25,52441,2704,100,900,0.051529,0.4914009999999999,10,1,3000000,3000000,42,0.7,136,36,10,29,0.265,0.894,1764,0.4899999999999999,18496,1296,100,841,0.070225,0.7992360000000001
Nate McLouth,4,2,10750000,5375000,79,0.488,139,24,1,7,0.173,0.517,15.424948470398375,15.424948470398375,15.424948470398375,6241,0.238144,19321,576,1,49,0.0299289999999999,0.267289,3,1,2000000,2000000,146,0.901,529,137,12,36,0.259,0.73,21316,0.811801,279841,18769,144,1296,0.067081,0.5328999999999999
Neil Walker,9,1,2000000,2000000,115,0.71,337,88,8,38,0.261,0.738,14.508657738524219,14.508657738524219,14.508657738524219,13225,0.5041,113569,7744,64,1444,0.068121,0.544644,8,1,4000000,4000000,113,0.698,347,76,11,46,0.219,0.664,12769,0.4872039999999999,120409,5776,121,2116,0.047961,0.440896
Nelson Cruz,5,4,57000000,14250000,152,0.938,590,178,44,93,0.302,0.936,16.454567887579532,16.48100114464769,16.48100114464769,23104,0.8798439999999998,348100,31684,1936,8649,0.091204,0.8760960000000001,4,1,8000000,8000000,159,0.982,613,166,40,108,0.271,0.859,25281,0.964324,375769,27556,1600,11664,0.073441,0.737881
Pedro Alvarez,7,1,2000000,2000000,14,0.086,32,10,1,4,0.313,0.79,14.508657738524219,14.508657738524219,14.508657738524219,196,0.0073959999999999,1024,100,1,16,0.097969,0.6241000000000001,6,1,5750000,5750000,109,0.673,337,84,22,49,0.249,0.826,11881,0.4529290000000001,113569,7056,484,2401,0.062001,0.6822759999999999
