Jugador,Valor_contrato,Valor_promedio_contrato,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Hector Sanchez,0,0,0.173,8,0.265,0.803,SD,507500
Paul Janish,0,0,0.086,0,0.194,0.512,BAL,507500
Fernando Abad,0,0,0.352,0,0.0,0.0,BOS,507500
James Loney,0,0,0.617,34,0.265,0.703,NYM,507500
Chris Johnson,0,0,0.702,24,0.222,0.611,MIA,507500
Christian Friedrich,0,0,0.148,2,0.054,0.179,SD,507500
Rene Rivera,0,0,0.401,26,0.222,0.632,NYM,507500
Tim Federowicz,0,0,0.105,3,0.194,0.47,CHC,507500
Miguel Gonzalez,0,0,0.148,0,0.0,0.0,CHW,507500
Dustin McGowan,0,0,0.342,0,0.0,0.0,MIA,1000000
