Acronimo,Altura,Anio,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2
SD,6.4,2014,2,28,784,5,7,10,100,9,81,4.571428571428571,20.897959183673468,0.02864743196234909,0.0008206753580374202,0.1309596889707387,0.01715044013531262,1.49,2.2201,37,San Diego Padres,DET,California,54.3,2948.49,53,161,2809,0,0,Joaquin Benoit,2,4,2,250,5,RP,0.4782608695652174,11,121,UFA,64,4096,6000000,6000000,6000000,60.17,3620.4289000000003,15500000,25700000,7750000,77,1.81,3.2761,0.77,0.5929,0,14,196,4,16
DET,6.3,2014,1,57,3249,1,5,26,676,25,625,2.4583333333333335,6.043402777777779,0.042328042328042326,0.0017916631673245429,0.10405643738977072,0.010827742162251273,3.57,12.7449,28,Detroit Tigers,NYY,Michigan,63.0,3969.0,69,162,4761,0,0,Joba Chamberlain,5,25,11,245,16,RP,0.5555555555555556,2,4,UFA,59,3481,3000000,2500000,3000000,28.25,798.0625,2500000,33500000,2500000,90,0.91,0.8281000000000001,1.29,1.6641000000000001,4,24,576,2,4
DET,6.4,2014,2,60,3600,1,5,32,1024,31,961,1.8620689655172413,3.4673008323424495,0.05555555555555555,0.0030864197530864196,0.10344827586206896,0.01070154577883472,4.81,23.136099999999995,39,Detroit Tigers,TEX,Michigan,58.0,3364.0,62,162,3844,0,0,Joe Nathan,4,16,11,230,16,RP,0.5555555555555556,35,1225,UFA,54,2916,9000000,9000000,9000000,5.91,34.9281,20000000,33500000,10000000,90,-0.31,0.0961,1.53,2.3409,4,29,841,5,25
LAA,6.2,2014,3,45,2025,5,8,16,256,15,225,4.533333333333333,20.55111111111111,0.022311468094600623,0.0004978016085363815,0.10114532202885615,0.010230376168321013,1.81,3.2761,30,Los Angeles Angels,CLE,California,74.7,5580.09,76,161,5776,0,0,Joe Smith,2,4,1,211,10,RP,0.6086956521739131,15,225,UFA,68,4624,5250000,5250000,5250000,86.32,7451.142399999999,15750000,22100000,5250000,98,2.5,6.25,0.8,0.6400000000000001,1,15,225,7,49
CHC,6.1,2014,1,0,0,2,13,0,0,0,0,0.0,0.0,0.1111111111111111,0.012345679012345678,0.0,0.0,0.0,0.0,33,Chicago Cubs,LAD,Illinois,1.0,1.0,68,162,4624,51,2601,John Baker,0,0,17,213,16,C,0.4506172839506173,0,0,UFA,0,0,875000,875000,875000,0.0,0.0,875000,9650000,875000,73,,,1.0,1.0,2,1,1,1,1
MIL,6.4,2013,3,41,1681,1,7,15,225,15,225,2.5789473684210527,6.650969529085873,0.03596441415862199,0.0012934390857728898,0.09275033125118302,0.008602623947204178,2.3,5.289999999999999,30,Milwaukee Brewers,CIN,Wisconsin,58.7,3445.6900000000005,62,162,3844,0,0,Jonathan Broxton,3,9,1,305,4,RP,0.5061728395061729,7,49,UFA,49,2401,7000000,7000000,1109289,38.83,1507.7688999999998,21000000,57600000,7000000,82,1.63,2.6569,1.02,1.0404,0,19,361,4,16
PHI,6.5,2012,4,45,2025,2,7,15,225,15,225,4.2,17.64,0.025138260432378084,0.0006319321375660656,0.10558069381598795,0.011147282906665395,2.04,4.1616,33,Philadelphia Phillies,BOS,Pennsylvania,66.3,4395.69,66,162,4356,0,0,Jonathan Papelbon,3,9,7,230,14,RP,0.4506172839506173,39,1521,UFA,63,3969,13000000,13000000,13000000,74.79,5593.544100000001,50000000,59875000,12500000,73,2.93,8.584900000000001,0.9,0.81,2,15,225,2,4
HOU,6.6,2014,1,37,1369,2,8,25,625,23,529,1.8518518518518519,3.4293552812071333,0.06521739130434782,0.004253308128544423,0.12077294685990338,0.014586104693225044,4.5,20.25,33,Houston Astros,CHC,Texas,46.0,2116.0,46,162,2116,0,0,Jose Veras,1,1,1,242,9,RP,0.4320987654320987,1,1,UFA,50,2500,500000,500000,256830,0.0,0.0,0,43800000,0,70,-0.5,0.25,1.39,1.9320999999999997,0,27,729,4,16
MIA,6.6,2014,1,11,121,2,10,10,100,10,100,1.2,1.44,0.06172839506172839,0.0038103947568968143,0.07407407407407407,0.0054869684499314125,10.0,100.0,36,Miami Marlins,CHC,Florida,9.0,81.0,12,162,144,0,0,Kevin Gregg,0,0,2,245,2,RP,0.4753086419753086,0,0,UFA,6,36,1286387,1286387,1286387,0.0,0.0,1286387,39486387,1286387,77,-0.61,0.3721,1.78,3.1684,2,5,25,0,0
MIL,6.2,2013,3,183,33489,1,7,87,7569,78,6084,3.1333333333333333,9.817777777777778,0.025214321734745335,0.000635762020543251,0.07900487476886872,0.006241770237244629,3.54,12.531600000000001,35,Milwaukee Brewers,STL,Wisconsin,198.3,39322.89000000001,31,162,961,31,961,Kyle Lohse,9,81,1,214,4,SP,0.5061728395061729,0,0,UFA,141,19881,11350000,11000000,11350000,50.1,2510.01,33000000,57600000,11000000,82,2.18,4.752400000000001,1.15,1.3224999999999998,0,45,2025,13,169
