Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo,Victorias,Juegos totales,Promedio_victorias
Edinson Volquez,20000000,10000000,SP,35,34,206.0,195,94,81,74,161,13,9,0,1.31,3.54,KC,7500000,94,161,0.5838509316770186
Luke Hochevar,10000000,5000000,RP,50,0,50.7,49,23,21,16,49,1,1,1,1.28,3.73,KC,4000000,94,161,0.5838509316770186
Kris Medlen,8500000,4250000,SP,15,8,58.3,56,30,26,18,40,6,2,0,1.27,4.01,KC,2000000,94,161,0.5838509316770186
Jonny Gomes,4000000,4000000,LF,95,55,1.0,3,2,2,0,1,0,0,0,3.0,18.0,KC,1000000,94,161,0.5838509316770186
Franklin Morales,1850000,1850000,RP,67,0,62.3,58,23,21,14,41,4,2,0,1.15,3.03,KC,1850000,94,161,0.5838509316770186
Joba Chamberlain,1000000,1000000,RP,36,0,27.7,39,20,19,9,23,0,2,0,1.74,6.18,KC,507500,94,161,0.5838509316770186
Chris Young,675000,675000,RP,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,KC,675000,94,161,0.5838509316770186
Luke Gregerson,18500000,6166667,RP,64,0,61.0,48,24,21,10,59,7,3,31,0.95,3.1,HOU,6050000,86,161,0.5341614906832298
Pat Neshek,12500000,6250000,RP,66,0,54.7,49,25,22,12,51,3,6,1,1.12,3.62,HOU,5500000,86,161,0.5341614906832298
Joe Thatcher,1000000,1000000,RP,43,0,22.7,23,8,8,12,26,1,3,0,1.54,3.18,HOU,765027,86,161,0.5341614906832298
Francisco Rodriguez,13000000,6500000,RP,60,0,57.0,38,15,14,11,62,1,3,38,0.86,2.21,MIL,3500000,68,161,0.422360248447205
Jason Grilli,8000000,4000000,RP,36,0,33.7,28,13,11,10,45,3,4,24,1.13,2.94,ATL,4250000,65,160,0.40625
Ross Detwiler,507500,507500,SP,41,7,58.3,82,51,47,36,41,1,5,0,2.02,7.25,ATL,507500,65,160,0.40625
David Carpenter,0,0,RP,30,0,24.7,25,12,11,9,15,0,1,0,1.38,4.01,ATL,191352,65,160,0.40625
David Carpenter,0,0,RP,4,0,3.7,6,3,3,0,5,0,0,0,1.64,7.36,ATL,191352,65,160,0.40625
Kyle Kendrick,5500000,5500000,SP,27,27,142.3,172,102,100,45,80,7,13,0,1.52,6.32,COL,5500000,67,161,0.4161490683229814
John Axford,2600000,2600000,RP,60,0,55.7,56,27,26,32,62,4,5,25,1.58,4.2,COL,2600000,67,161,0.4161490683229814
Aaron Harang,5000000,5000000,SP,29,29,172.3,189,100,93,51,108,6,15,0,1.39,4.86,PHI,5000000,62,161,0.3850931677018633
Chad Billingsley,1500000,1500000,SP,7,7,37.0,53,26,24,8,15,2,3,0,1.65,5.84,PHI,1500000,62,161,0.3850931677018633
Jeanmar Gomez,800000,800000,RP,65,0,74.7,82,28,25,17,50,2,3,0,1.33,3.01,PHI,800000,62,161,0.3850931677018633
Colby Lewis,4000000,4000000,SP,33,33,204.7,211,114,106,42,142,17,9,0,1.24,4.66,TEX,4000000,87,161,0.5403726708074534
Ross Ohlendorf,0,0,RP,21,0,19.3,21,8,8,7,19,3,1,1,1.45,3.72,TEX,507500,87,161,0.5403726708074534
Matt Belisle,3500000,3500000,RP,34,0,33.7,34,10,10,15,25,1,1,0,1.46,2.67,STL,3500000,100,160,0.625
Carlos Villanueva,2000000,2000000,RP,35,0,61.0,50,21,20,21,55,4,3,2,1.16,2.95,STL,2000000,100,160,0.625
Burke Badenhop,2500000,2500000,RP,68,0,66.3,71,30,29,20,36,2,4,0,1.37,3.94,CIN,1000000,64,161,0.3975155279503105
Ryan Mattheus,0,0,RP,58,0,56.0,67,31,25,18,37,2,4,0,1.52,4.02,CIN,507500,64,161,0.3975155279503105
Tim Stauffer,2200000,2200000,RP,18,0,20.7,32,18,16,9,14,1,0,0,1.98,6.97,NYM,507500,89,161,0.5527950310559007
Ichiro Suzuki,2000000,2000000,RF,153,89,1.0,2,1,1,0,0,0,0,0,2.0,9.0,MIA,3200000,71,161,0.4409937888198758
Craig Breslow,2000000,2000000,RP,45,2,65.0,69,33,30,23,46,0,4,1,1.41,4.15,BOS,2000000,78,161,0.484472049689441
Alexi Ogando,1500000,1500000,RP,64,0,65.3,59,29,29,28,53,3,1,0,1.33,4.0,BOS,1500000,78,161,0.484472049689441
Rich Hill,0,0,SP,4,4,29.0,14,5,5,5,36,2,1,0,0.65,1.55,BOS,507500,78,161,0.484472049689441
Joe Beimel,1500000,1500000,RP,53,0,47.3,49,25,21,16,22,2,1,1,1.37,3.99,SEA,600000,75,161,0.4658385093167702
Tom Gorzelanny,1000000,1000000,RP,48,0,39.3,46,29,27,23,36,2,3,0,1.75,6.18,DET,1000000,73,160,0.45625
Josh Wilson,0,0,2B,21,8,1.0,2,1,1,0,0,0,0,0,2.0,9.0,DET,507500,73,160,0.45625
Mat Latos,0,0,SP,24,21,116.3,120,67,64,32,100,4,10,0,1.31,4.95,LAA,507500,85,161,0.5279503105590062
Felix Doubront,0,0,SP,16,12,75.3,87,50,46,26,56,3,3,1,1.5,5.5,OAK,507500,68,161,0.422360248447205
Chaz Roe,0,0,RP,36,0,41.3,44,19,19,17,38,4,2,0,1.48,4.14,BAL,507500,80,161,0.4968944099378882
Mark Lowe,0,0,RP,57,0,55.0,46,15,12,12,61,1,3,1,1.05,1.96,TOR,507500,93,161,0.577639751552795
