Acronimo,Altura,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Victorias,WAR,WAR_2,WS ganadas
SD,6.3,435,189225,104,10816,5,4,28,San Diego Padres,California,18,324,155,162,24025,Wil Myers,0.739,0.546121,2,207,5,0.239,0.057121,0.957,0.9158489999999999,LF,0.4320987654320987,53,2809,5500000,3000000,5500000,11.83,139.9489,326000000,70,-0.35,0.12249999999999998,0
SD,6.1,440,193600,95,9025,5,4,27,San Diego Padres,California,33,1089,142,162,20164,Hunter Renfroe,0.778,0.605284,2,230,5,0.216,0.046655999999999996,0.877,0.769129,RF,0.4320987654320987,64,4096,582100,582100,582100,60.72,3686.9184,326000000,70,2.6,6.760000000000001,0
SD,6.0,311,96721,77,5929,5,4,29,San Diego Padres,California,4,16,134,162,17956,Greg Garcia,0.718,0.515524,2,200,5,0.248,0.061503999999999996,0.827,0.6839289999999999,2B,0.4320987654320987,31,961,910000,910000,910000,27.79,772.2841,326000000,70,1.38,1.9043999999999996,0
SD,5.8,226,51076,60,3600,5,4,23,San Diego Padres,California,8,64,79,162,6241,Francisco Mejia,0.754,0.568516,2,188,5,0.266,0.07075600000000001,0.488,0.238144,C,0.4320987654320987,22,484,556300,556300,508470,0.0,0.0,326000000,70,0.67,0.4489000000000001,0
SD,6.1,312,97344,55,3025,5,4,26,San Diego Padres,California,11,121,103,162,10609,Austin Hedges,0.563,0.31696899999999995,2,223,5,0.176,0.030975999999999997,0.636,0.404496,C,0.4320987654320987,36,1296,2060000,2060000,2060000,6.17,38.0689,326000000,70,-0.58,0.3364,0
SD,5.9,215,46225,48,2304,5,4,22,San Diego Padres,California,4,16,71,162,5041,Luis Urias,0.655,0.42902500000000005,2,186,5,0.223,0.049729,0.438,0.191844,SS,0.4320987654320987,24,576,556400,556400,251244,0.0,0.0,326000000,70,0.96,0.9216,0
SD,6.0,184,33856,43,1849,5,4,24,San Diego Padres,California,7,49,69,162,4761,Ty France,0.696,0.48441599999999996,2,205,5,0.234,0.054756000000000006,0.426,0.181476,3B,0.4320987654320987,24,576,555000,555000,262592,0.0,0.0,326000000,70,-0.31,0.0961,0
SD,6.2,65,4225,14,196,5,4,25,San Diego Padres,California,0,0,34,162,1156,Austin Allen,0.559,0.31248100000000006,2,220,5,0.215,0.046224999999999995,0.21,0.04409999999999999,C,0.4320987654320987,3,9,555000,555000,298400,0.0,0.0,326000000,70,-0.34,0.11560000000000002,0
SD,6.2,30,900,7,49,5,4,28,San Diego Padres,California,2,4,14,162,196,Seth Mejias-Brean,0.803,0.6448090000000001,2,216,5,0.233,0.054289000000000004,0.086,0.007395999999999999,3B,0.4320987654320987,5,25,555000,555000,80568,0.0,0.0,326000000,70,0.42,0.17639999999999997,0
SD,6.2,21,441,6,36,5,4,27,San Diego Padres,California,0,0,48,162,2304,Matthew Strahm,0.729,0.5314409999999999,2,190,5,0.286,0.08179599999999998,0.296,0.08761599999999999,SP,0.4320987654320987,1,1,581700,581700,581700,28.24,797.4975999999999,326000000,70,0.71,0.5041,0
SD,6.3,15,225,5,25,5,4,24,San Diego Padres,California,0,0,9,162,81,Franchy Cordero,0.85,0.7224999999999999,2,175,5,0.333,0.11088900000000002,0.056,0.0031360000000000003,OF,0.4320987654320987,1,1,560100,560100,560100,0.0,0.0,326000000,70,0.17,0.028900000000000006,0
SD,6.5,42,1764,5,25,5,4,23,San Diego Padres,California,0,0,26,162,676,Chris Paddack,0.238,0.05664399999999999,2,217,5,0.119,0.014160999999999998,0.161,0.025921000000000003,SP,0.4320987654320987,2,4,555000,555000,525184,87.62,7677.264400000001,326000000,70,2.74,7.507600000000001,0
SD,6.2,22,484,4,16,5,4,28,San Diego Padres,California,0,0,25,162,625,Travis Jankowski,0.432,0.18662399999999998,2,190,5,0.182,0.033124,0.154,0.023716,RF,0.4320987654320987,0,0,1165000,1165000,1165000,0.0,0.0,326000000,70,-0.14,0.019600000000000003,0
SD,6.3,40,1600,4,16,5,4,24,San Diego Padres,California,0,0,30,162,900,Eric Lauer,0.272,0.07398400000000001,2,205,5,0.1,0.010000000000000002,0.185,0.034225,SP,0.4320987654320987,0,0,562500,562500,562500,52.04,2708.1616,326000000,70,0.99,0.9801,0
SD,6.0,14,196,3,9,5,4,23,San Diego Padres,California,0,0,7,162,49,Luis Torrens,0.598,0.357604,2,175,5,0.214,0.045795999999999996,0.043,0.0018489999999999997,C,0.4320987654320987,0,0,555000,555000,41776,0.0,0.0,326000000,70,0.02,0.0004,0
SD,6.5,48,2304,3,9,5,4,26,San Diego Padres,California,0,0,30,162,900,Joey Lucchesi,0.144,0.020735999999999997,2,204,5,0.063,0.003969,0.185,0.034225,SP,0.4320987654320987,1,1,565100,565100,565100,71.98,5181.120400000001,326000000,70,1.98,3.9204,0
SD,6.4,21,441,3,9,5,4,26,San Diego Padres,California,0,0,14,162,196,Dinelson Lamet,0.286,0.08179599999999998,2,187,5,0.143,0.020448999999999995,0.086,0.007395999999999999,SP,0.4320987654320987,0,0,566700,566700,566700,0.0,0.0,326000000,70,0.5,0.25,0
SD,6.5,15,225,3,9,5,4,23,San Diego Padres,California,0,0,17,162,289,Nick Margevicius,0.4,0.16000000000000003,2,220,5,0.2,0.04000000000000001,0.105,0.011024999999999998,P,0.4320987654320987,0,0,555000,555000,304368,0.0,0.0,326000000,70,-0.98,0.9603999999999999,0
SD,6.3,25,625,2,4,5,4,24,San Diego Padres,California,0,0,23,162,529,Cal Quantrill,0.195,0.038025,2,195,5,0.08,0.0064,0.142,0.020163999999999998,SP,0.4320987654320987,1,1,555000,555000,390904,40.84,1667.9056000000003,326000000,70,0.07,0.004900000000000001,0
SD,6.2,7,49,1,1,5,4,26,San Diego Padres,California,0,0,47,162,2209,Luis Perdomo,0.286,0.08179599999999998,2,185,5,0.143,0.020448999999999995,0.29,0.0841,RP,0.4320987654320987,1,1,555000,555000,435664,0.0,0.0,326000000,70,0.49,0.24009999999999998,0
SD,6.2,1,1,0,0,5,4,35,San Diego Padres,California,0,0,76,162,5776,Craig Stammen,0.0,0.0,2,228,5,0.0,0.0,0.469,0.21996099999999996,RP,0.4320987654320987,0,0,2250000,2250000,2250000,59.22,3507.0083999999997,326000000,70,0.84,0.7055999999999999,0
SD,6.0,4,16,0,0,5,4,28,San Diego Padres,California,0,0,37,162,1369,Robbie Erlin,0.0,0.0,2,190,5,0.0,0.0,0.228,0.051984,RP,0.4320987654320987,0,0,1450000,1450000,1450000,0.0,0.0,326000000,70,-0.46,0.2116,0
SD,6.3,5,25,0,0,5,4,22,San Diego Padres,California,0,0,5,162,25,Ronald Bolanos,0.0,0.0,2,220,5,0.0,0.0,0.031,0.0009609999999999999,SP,0.4320987654320987,1,1,555000,555000,83552,0.0,0.0,326000000,70,-0.08,0.0064,0
WSH,6.1,545,297025,174,30276,1,7,29,Washington Nationals,Washington DC,34,1156,146,162,21316,Anthony Rendon,1.01,1.0201,1,200,6,0.319,0.101761,0.901,0.811801,3B,0.5740740740740741,126,15876,18800000,18800000,18800000,96.74,9358.6276,184550000,93,6.33,40.0689,1
WSH,5.9,566,320356,158,24964,1,7,30,Washington Nationals,Washington DC,15,225,151,162,22801,Adam Eaton,0.792,0.627264,1,180,6,0.279,0.07784100000000002,0.932,0.8686240000000001,RF,0.5740740740740741,49,2401,8400000,8400000,8400000,58.92,3471.5664,184550000,93,1.75,3.0625,1
WSH,6.2,521,271441,155,24025,1,7,26,Washington Nationals,Washington DC,19,361,122,162,14884,Trea Turner,0.85,0.7224999999999999,1,185,6,0.298,0.088804,0.753,0.567009,SS,0.5740740740740741,57,3249,3725000,3725000,3725000,88.16,7772.1856,184550000,93,2.38,5.6644,1
WSH,6.1,542,293764,153,23409,1,7,20,Washington Nationals,Washington DC,34,1156,152,162,23104,Juan Soto,0.949,0.9006009999999999,1,185,6,0.282,0.07952399999999998,0.938,0.8798439999999998,LF,0.5740740740740741,110,12100,578300,578300,578300,98.41,9684.5281,184550000,93,4.65,21.622500000000002,1
WSH,6.0,546,298116,139,19321,1,7,22,Washington Nationals,Washington DC,17,289,156,162,24336,Victor Robles,0.745,0.555025,1,190,6,0.255,0.065025,0.963,0.9273689999999999,OF,0.5740740740740741,65,4225,557800,557800,557800,75.72,5733.5184,184550000,93,4.09,16.728099999999998,1
WSH,0.0,334,111556,115,13225,1,7,35,Washington Nationals,Washington DC,17,289,122,162,14884,Howie Kendrick,0.966,0.933156,1,220,6,0.344,0.11833599999999998,0.753,0.567009,LF,0.5740740740740741,62,3844,4000000,4000000,4000000,78.49,6160.6801,184550000,93,2.64,6.969600000000001,1
WSH,6.2,314,98596,70,4900,1,7,31,Washington Nationals,Washington DC,12,144,98,162,9604,Yan Gomes,0.704,0.49561599999999995,1,215,6,0.223,0.049729,0.605,0.366025,C,0.5740740740740741,43,1849,7083333,7000000,7083333,30.15,909.0224999999999,184550000,93,1.25,1.5625,1
WSH,6.3,171,29241,44,1936,1,7,34,Washington Nationals,Washington DC,6,36,52,162,2704,Ryan Zimmerman,0.736,0.541696,1,215,6,0.257,0.066049,0.321,0.10304100000000001,1B,0.5740740740740741,27,729,18000000,18000000,18000000,0.0,0.0,184550000,93,-0.17,0.028900000000000006,1
WSH,6.4,88,7744,22,484,1,7,28,Washington Nationals,Washington DC,1,1,53,162,2809,Michael Taylor,0.669,0.44756100000000004,1,215,6,0.25,0.0625,0.327,0.10692900000000001,CF,0.5740740740740741,3,9,3250000,3250000,3250000,0.0,0.0,184550000,93,-0.03,0.0009,1
WSH,6.5,72,5184,12,144,1,7,30,Washington Nationals,Washington DC,1,1,34,162,1156,Stephen Strasburg,0.422,0.178084,1,235,6,0.167,0.027889000000000004,0.21,0.04409999999999999,SP,0.5740740740740741,10,100,39333334,35000000,5000000,89.97,8094.6008999999995,184550000,93,6.29,39.5641,1
WSH,6.0,30,900,11,121,1,7,25,Washington Nationals,Washington DC,0,0,30,162,900,Andrew Stevenson,0.953,0.9082089999999999,1,192,6,0.367,0.134689,0.185,0.034225,OF,0.5740740740740741,0,0,559100,559100,219438,0.0,0.0,184550000,93,0.22,0.0484,1
WSH,6.3,55,3025,10,100,1,7,34,Washington Nationals,Washington DC,0,0,29,162,841,Max Scherzer,0.364,0.132496,1,208,6,0.182,0.033124,0.179,0.032041,SP,0.5740740740740741,2,4,37505562,30262705,37505562,77.43,5995.404900000001,184550000,93,5.79,33.5241,1
WSH,6.0,31,961,7,49,1,7,28,Washington Nationals,Washington DC,0,0,29,162,841,Adrian Sanchez,0.476,0.22657599999999997,1,208,6,0.226,0.051076,0.179,0.032041,2B,0.5740740740740741,1,1,560000,560000,255935,0.0,0.0,184550000,93,-0.12,0.0144,1
WSH,6.4,19,361,2,4,1,7,26,Washington Nationals,Washington DC,0,0,28,162,784,Joe Ross,0.255,0.065025,1,220,6,0.105,0.011024999999999998,0.173,0.029928999999999997,SP,0.5740740740740741,0,0,1000000,1000000,704256,15.13,228.91690000000003,184550000,93,0.12,0.0144,1
WSH,6.4,15,225,2,4,1,7,26,Washington Nationals,Washington DC,0,0,21,162,441,Erick Fedde,0.267,0.071289,1,200,6,0.133,0.017689000000000003,0.13,0.016900000000000002,RP,0.5740740740740741,0,0,555000,555000,355096,0.0,0.0,184550000,93,1.08,1.1664,1
WSH,6.2,12,144,2,4,1,7,25,Washington Nationals,Washington DC,0,0,8,162,64,Jake Noll,0.481,0.23136099999999998,1,215,6,0.167,0.027889000000000004,0.049,0.0024010000000000004,2B,0.5740740740740741,2,4,555000,555000,47744,0.0,0.0,184550000,93,-0.21,0.04409999999999999,1
WSH,6.2,9,81,1,1,1,7,27,Washington Nationals,Washington DC,0,0,9,162,81,Austin Voth,0.222,0.049284,1,201,6,0.111,0.012321,0.056,0.0031360000000000003,SP,0.5740740740740741,1,1,556000,556000,338323,0.0,0.0,184550000,93,1.2,1.44,1
WSH,6.0,11,121,1,1,1,7,25,Washington Nationals,Washington DC,0,0,6,162,36,Raudy Read,0.182,0.033124,1,170,6,0.091,0.008281,0.037,0.0013689999999999998,C,0.5740740740740741,0,0,556000,556000,89670,0.0,0.0,184550000,93,-0.22,0.0484,1
WSH,6.3,3,9,1,1,1,7,27,Washington Nationals,Washington DC,0,0,7,162,49,Kyle McGowin,0.667,0.44488900000000003,1,195,6,0.333,0.11088900000000002,0.043,0.0018489999999999997,SP,0.5740740740740741,0,0,555000,555000,116376,0.0,0.0,184550000,93,-0.5,0.25,1
WSH,6.2,3,9,0,0,1,7,32,Washington Nationals,Washington DC,0,0,63,162,3969,Sean Doolittle,0.0,0.0,1,204,6,0.0,0.0,0.389,0.151321,RP,0.5740740740740741,0,0,6000000,6000000,6000000,69.53,4834.4209,184550000,93,0.99,0.9801,1
WSH,6.1,3,9,0,0,1,7,33,Washington Nationals,Washington DC,0,0,51,162,2601,Javy Guerra,0.0,0.0,1,216,6,0.0,0.0,0.315,0.09922500000000001,RP,0.5740740740740741,0,0,800000,800000,554829,42.79,1830.9841,184550000,93,0.18,0.0324,1
WSH,6.1,1,1,0,0,1,7,30,Washington Nationals,Washington DC,0,0,48,162,2304,Roenis Elias,0.0,0.0,1,205,6,0.0,0.0,0.296,0.08761599999999999,RP,0.5740740740740741,0,0,910000,910000,303902,0.0,0.0,184550000,93,-0.11,0.0121,1
WSH,6.0,2,4,0,0,1,7,24,Washington Nationals,Washington DC,0,0,2,162,4,Tres Barrera,0.0,0.0,1,206,6,0.0,0.0,0.012,0.000144,C,0.5740740740740741,0,0,555000,555000,65648,0.0,0.0,184550000,93,-0.05,0.0025000000000000005,1
WSH,6.2,1,1,0,0,1,7,26,Washington Nationals,Washington DC,0,0,52,162,2704,Tanner Rainey,0.0,0.0,1,235,6,0.0,0.0,0.321,0.10304100000000001,P,0.5740740740740741,0,0,555000,555000,402840,0.0,0.0,184550000,93,0.58,0.3364,1
WSH,6.4,1,1,0,0,1,7,27,Washington Nationals,Washington DC,0,0,78,162,6084,Wander Suero,0.0,0.0,1,211,6,0.0,0.0,0.482,0.23232399999999997,RP,0.5740740740740741,0,0,562500,562500,562500,57.54,3310.8516,184550000,93,0.65,0.42250000000000004,1
NYY,6.1,546,298116,152,23104,2,5,22,New York Yankees,New York,38,1444,144,162,20736,Gleyber Torres,0.871,0.758641,40,205,55,0.278,0.07728400000000002,0.889,0.790321,SS,0.6358024691358025,90,8100,605200,605200,605200,89.08,7935.2464,124555000,103,3.93,15.4449,27
NYY,6.0,442,195364,139,19321,2,5,27,New York Yankees,New York,21,441,132,162,17424,Giovanny Urshela,0.89,0.7921,40,215,55,0.315,0.09922500000000001,0.815,0.664225,3B,0.6358024691358025,74,5476,555000,555000,528168,80.38,6460.944399999999,124555000,103,3.4,11.559999999999999,27
NYY,6.3,429,184041,113,12769,2,5,28,New York Yankees,New York,21,441,118,162,13924,Luke Voit,0.842,0.7089639999999999,40,255,55,0.263,0.06916900000000001,0.728,0.529984,1B,0.6358024691358025,62,3844,573200,573200,573200,77.36,5984.5696,124555000,103,1.9,3.61,27
NYY,6.7,378,142884,103,10609,2,5,27,New York Yankees,New York,27,729,102,162,10404,Aaron Judge,0.921,0.848241,40,282,55,0.273,0.07452900000000001,0.63,0.39690000000000003,RF,0.6358024691358025,55,3025,684300,684300,684300,97.16,9440.0656,124555000,103,5.38,28.944399999999998,27
NYY,0.0,418,174724,102,10404,2,5,36,New York Yankees,New York,34,1156,111,162,12321,Edwin Encarnacion,0.875,0.765625,40,230,55,0.244,0.059536,0.685,0.46922500000000006,DH,0.6358024691358025,86,7396,21666668,20000000,8000000,56.24,3162.9376,124555000,103,2.05,4.2025,27
NYY,6.2,396,156816,92,8464,2,5,26,New York Yankees,New York,34,1156,106,162,11236,Gary Sanchez,0.841,0.7072809999999999,40,230,55,0.232,0.053824000000000004,0.654,0.42771600000000004,C,0.6358024691358025,77,5929,669800,669800,669800,83.55,6980.6025,124555000,103,3.1,9.610000000000001,27
NYY,6.3,324,104976,77,5929,2,5,29,New York Yankees,New York,16,256,82,162,6724,Didi Gregorius,0.718,0.515524,40,205,55,0.238,0.05664399999999999,0.506,0.256036,SS,0.6358024691358025,61,3721,11750000,11750000,11750000,0.0,0.0,124555000,103,0.64,0.4096,27
NYY,6.2,260,67600,72,5184,2,5,28,New York Yankees,New York,13,169,87,162,7569,Mike Tauchman,0.865,0.748225,40,220,55,0.277,0.07672900000000002,0.537,0.28836900000000004,CF,0.6358024691358025,47,2209,557000,557000,443260,0.0,0.0,124555000,103,3.63,13.1769,27
NYY,6.3,239,57121,68,4624,2,5,32,New York Yankees,New York,11,121,83,162,6889,Cameron Maybin,0.858,0.7361639999999999,40,215,55,0.285,0.08122499999999999,0.512,0.262144,RF,0.6358024691358025,32,1024,555000,555000,471472,0.0,0.0,124555000,103,1.46,2.1315999999999997,27
NYY,6.1,228,51984,64,4096,2,5,30,New York Yankees,New York,8,64,73,162,5329,Austin Romine,0.748,0.559504,40,220,55,0.281,0.07896100000000002,0.451,0.203401,C,0.6358024691358025,35,1225,1800000,1800000,1800000,0.0,0.0,124555000,103,0.89,0.7921,27
NYY,6.1,221,48841,52,2704,2,5,29,New York Yankees,New York,12,144,59,162,3481,Aaron Hicks,0.769,0.591361,40,205,55,0.235,0.055224999999999996,0.364,0.132496,CF,0.6358024691358025,36,1296,6285714,6000000,6285714,0.0,0.0,124555000,103,1.26,1.5876000000000001,27
NYY,6.0,143,20449,37,1369,2,5,26,New York Yankees,New York,12,144,50,162,2500,Mike Ford,0.909,0.826281,40,225,55,0.259,0.067081,0.309,0.095481,1B,0.6358024691358025,25,625,555000,555000,238720,0.0,0.0,124555000,103,0.98,0.9603999999999999,27
