Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Rob Segedin,3B,13,0.08,20,4,0,1,0.2,0.5,-0.13,0.0,28,220,6.2,535000,535000,447219,169,0.0064,400,16,0,1,0.04000000000000001,0.25,0.016900000000000002,0.0
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Alex Wood,SP,27,0.167,52,3,0,4,0.058,0.15,3.4,95.29,26,215,6.4,2800000,2800000,2800000,729,0.027889000000000004,2704,9,0,16,0.0033640000000000002,0.0225,11.559999999999999,9080.1841
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Charlie Culberson,3B,15,0.093,13,2,0,1,0.154,0.497,0.04,0.0,28,200,6.1,550000,550000,81135,225,0.008649,169,4,0,1,0.023716,0.247009,0.0016,0.0
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Brandon McCarthy,SP,19,0.117,23,1,0,0,0.044,0.197,0.74,50.71,33,225,6.7,10000000,11500000,11500000,361,0.013689000000000002,529,1,0,0,0.0019359999999999998,0.038809,0.5476,2571.5041
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Yu Darvish,SP,31,0.191,17,1,0,0,0.059,0.17,0.62,50.45,30,220,6.5,11000000,11000000,3786867,961,0.036481,289,1,0,0,0.0034809999999999997,0.028900000000000006,0.3844,2545.2025000000003
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Brock Stewart,RP,17,0.105,4,1,0,1,0.25,0.5,-0.02,0.0,25,210,0.0,537500,537500,223212,289,0.011024999999999998,16,1,0,1,0.0625,0.25,0.0004,0.0
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Tony Watson,RP,71,0.438,1,0,0,0,0.0,0.0,0.39,25.52,32,218,6.3,5600000,5600000,1927863,5041,0.191844,1,0,0,0,0.0,0.0,0.1521,651.2704
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Luis Avilan,RP,61,0.377,2,0,0,0,0.0,0.0,0.64,35.57,27,220,6.2,1500000,1500000,1500000,3721,0.142129,4,0,0,0,0.0,0.0,0.4096,1265.2249
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Ross Stripling,RP,51,0.315,9,0,0,0,0.0,0.0,0.57,64.25,27,220,6.3,540000,540000,489866,2601,0.09922500000000001,81,0,0,0,0.0,0.0,0.32489999999999997,4128.0625
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Pedro Baez,RP,66,0.407,1,0,0,1,0.0,0.5,0.68,37.42,29,232,6.0,550000,550000,550000,4356,0.165649,1,0,0,1,0.0,0.25,0.4624000000000001,1400.2564000000002
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Josh Ravin,RP,14,0.086,1,0,0,0,0.0,0.0,-0.34,0.0,29,215,6.4,545000,545000,270998,196,0.007395999999999999,1,0,0,0,0.0,0.0,0.11560000000000002,0.0
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Tim Locastro,2B,3,0.019,1,0,0,0,0.0,0.0,-0.02,0.0,24,190,6.1,535000,535000,8769,9,0.000361,1,0,0,0,0.0,0.0,0.0004,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Asdrubal Cabrera,2B,135,0.833,479,134,14,59,0.28,0.785,1.27,34.28,31,235,6.0,8250000,8250000,8250000,18225,0.693889,229441,17956,196,3481,0.07840000000000001,0.616225,1.6129,1175.1184
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Jose Reyes,3B,145,0.895,501,123,15,58,0.246,0.728,-0.63,40.44,34,195,0.0,535000,535000,535000,21025,0.801025,251001,15129,225,3364,0.060516,0.529984,0.39690000000000003,1635.3935999999999
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Michael Conforto,CF,109,0.673,373,104,27,68,0.279,0.939,3.74,95.4,24,215,6.1,554904,554904,554904,11881,0.4529290000000001,139129,10816,729,4624,0.07784100000000002,0.8817209999999999,13.987600000000002,9101.160000000002
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Norichika Aoki,LF,110,0.679,336,93,5,35,0.277,0.728,0.68,34.35,35,180,5.9,535000,535000,87690,12100,0.4610410000000001,112896,8649,25,1225,0.07672900000000002,0.529984,0.4624000000000001,1179.9225000000001
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Wilmer Flores,SS,110,0.679,336,91,18,52,0.271,0.795,0.28,32.05,25,205,6.3,2200000,2200000,2200000,12100,0.4610410000000001,112896,8281,324,2704,0.073441,0.6320250000000001,0.07840000000000001,1027.2024999999999
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Travis d'Arnaud,C,112,0.691,348,85,16,57,0.244,0.735,1.21,32.86,28,210,6.2,1875000,1875000,1875000,12544,0.47748099999999993,121104,7225,256,3249,0.059536,0.540225,1.4641,1079.7796
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Juan Lagares,CF,94,0.58,252,63,3,15,0.25,0.661,1.78,0.0,28,215,6.1,4500000,4500000,4500000,8836,0.3364,63504,3969,9,225,0.0625,0.43692100000000006,3.1684,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,T.J. Rivera,3B,73,0.451,214,62,5,27,0.29,0.76,0.38,0.0,28,205,6.1,539958,539958,507572,5329,0.203401,45796,3844,25,729,0.0841,0.5776,0.1444,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Brandon Nimmo,LF,69,0.426,177,46,5,21,0.26,0.797,0.86,0.0,24,207,6.3,536240,536240,442430,4761,0.181476,31329,2116,25,441,0.06760000000000001,0.635209,0.7395999999999999,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Amed Rosario,SS,46,0.284,165,41,4,10,0.249,0.665,0.16,0.0,21,190,6.2,535000,535000,181226,2116,0.08065599999999999,27225,1681,16,100,0.062001,0.44222500000000003,0.0256,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Dominic Smith,1B,49,0.303,167,33,9,26,0.198,0.658,-1.16,0.0,22,239,6.0,535000,535000,151996,2401,0.091809,27889,1089,81,676,0.039204,0.432964,1.3456,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Kevin Plawecki,C,37,0.228,100,26,3,13,0.26,0.764,0.68,0.0,26,208,6.2,535000,535000,227994,1369,0.051984,10000,676,9,169,0.06760000000000001,0.583696,0.4624000000000001,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Matt Reynolds,SS,68,0.42,113,26,1,5,0.23,0.609,-0.3,0.0,26,200,6.1,535000,535000,379990,4624,0.17639999999999997,12769,676,1,25,0.0529,0.37088099999999996,0.09,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Gavin Cecchini,SS,32,0.198,77,16,1,7,0.208,0.529,-0.62,0.0,23,200,6.2,535000,535000,157842,1024,0.039204,5929,256,1,49,0.043264,0.279841,0.3844,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Jacob deGrom,SP,37,0.228,71,15,1,4,0.211,0.5,4.35,91.14,29,180,6.4,4050000,4050000,4050000,1369,0.051984,5041,225,1,16,0.044521,0.25,18.922499999999996,8306.499600000001
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Travis Taijeron,RF,26,0.161,52,9,1,3,0.173,0.54,-0.58,0.0,28,224,0.0,535000,535000,108151,676,0.025921000000000003,2704,81,1,9,0.029928999999999997,0.2916,0.3364,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Robert Gsellman,RP,27,0.167,34,5,0,4,0.147,0.415,-0.71,0.0,23,205,6.4,541750,541750,94720,729,0.027889000000000004,1156,25,0,16,0.021608999999999996,0.172225,0.5041,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Seth Lugo,SP,20,0.124,29,4,1,2,0.138,0.448,0.79,57.86,27,225,6.4,543500,543500,543500,400,0.015375999999999999,841,16,1,4,0.019044000000000002,0.20070400000000002,0.6241000000000001,3347.7796
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Steven Matz,SP,17,0.105,21,3,0,1,0.143,0.286,-0.13,15.11,26,201,6.2,562250,562250,562250,289,0.011024999999999998,441,9,0,1,0.020448999999999995,0.08179599999999998,0.016900000000000002,228.3121
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Tomas Nido,C,5,0.031,10,3,0,3,0.3,0.7,0.04,0.0,23,210,6.0,535000,535000,58460,25,0.0009609999999999999,100,9,0,9,0.09,0.48999999999999994,0.0016,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Matt Harvey,SP,19,0.117,34,2,0,1,0.059,0.145,-0.92,6.4,28,220,6.4,5125000,5125000,5125000,361,0.013689000000000002,1156,4,0,1,0.0034809999999999997,0.021025,0.8464,40.96000000000001
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Zack Wheeler,SP,18,0.111,27,2,0,0,0.074,0.218,0.32,25.0,27,195,6.4,800000,800000,800000,324,0.012321,729,4,0,0,0.005475999999999999,0.047524,0.1024,625.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Rafael Montero,RP,34,0.21,25,2,0,1,0.08,0.16,0.1,0.0,26,185,6.0,541400,541400,440742,1156,0.04409999999999999,625,4,0,1,0.0064,0.0256,0.010000000000000002,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Noah Syndergaard,SP,7,0.043,9,2,0,0,0.222,0.639,0.56,0.0,24,240,6.6,605500,605500,605500,49,0.0018489999999999997,81,4,0,0,0.049284,0.408321,0.31360000000000005,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Chris Flexen,SP,14,0.086,13,2,0,0,0.154,0.385,-1.08,0.0,23,250,6.3,535000,535000,198764,196,0.007395999999999999,169,4,0,0,0.023716,0.148225,1.1664,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Jeurys Familia,RP,26,0.161,1,1,0,0,1.0,4.0,-0.01,0.0,27,240,6.3,7425000,7425000,7425000,676,0.025921000000000003,1,1,0,0,1.0,16.0,0.0001,0.0
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Josh Smoker,RP,54,0.333,3,0,0,0,0.0,0.0,-0.1,6.35,28,255,6.2,536625,536625,495508,2916,0.11088900000000002,9,0,0,0,0.0,0.0,0.010000000000000002,40.3225
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Paul Sewald,RP/CL,57,0.352,2,0,0,0,0.0,0.0,0.13,29.55,27,207,6.3,535000,535000,464757,3249,0.12390399999999999,4,0,0,0,0.0,0.0,0.016900000000000002,873.2025
New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,Chasen Bradford,RP,28,0.173,1,0,0,0,0.0,0.0,0.3,0.0,27,229,6.1,535000,535000,251378,784,0.029928999999999997,1,0,0,0,0.0,0.0,0.09,0.0
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Tommy Pham,LF,128,0.79,444,135,23,72,0.304,0.927,6.16,99.29,29,223,6.1,535000,535000,438450,16384,0.6241000000000001,197136,18225,529,5184,0.092416,0.8593290000000001,37.9456,9858.504100000002
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Matt Carpenter,3B,145,0.895,497,120,23,69,0.241,0.835,2.77,73.7,31,210,6.4,9750000,10000000,10000000,21025,0.801025,247009,14400,529,4761,0.058080999999999994,0.697225,7.6729,5431.6900000000005
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Paul DeJong,3B,108,0.667,417,119,25,65,0.285,0.857,2.7,78.95,23,205,6.0,535000,535000,359529,11664,0.44488900000000003,173889,14161,625,4225,0.08122499999999999,0.734449,7.290000000000001,6233.102500000001
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Kolten Wong,2B,108,0.667,354,101,4,42,0.285,0.788,1.82,52.83,26,185,5.7,2500000,2500000,2500000,11664,0.44488900000000003,125316,10201,16,1764,0.08122499999999999,0.620944,3.3124000000000002,2791.0089
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Randal Grichuk,RF,122,0.753,412,98,22,59,0.238,0.758,1.05,47.13,25,216,6.2,557200,557200,475020,14884,0.567009,169744,9604,484,3481,0.05664399999999999,0.574564,1.1025,2221.2369000000003
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Jose Martinez,LF,106,0.654,272,84,14,46,0.309,0.897,1.45,66.99,28,215,6.6,535000,535000,535000,11236,0.42771600000000004,73984,7056,196,2116,0.095481,0.804609,2.1025,4487.660099999999
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Stephen Piscotty,RF,107,0.661,341,80,9,39,0.235,0.707,0.64,24.73,26,211,6.4,1000000,1333333,1333333,11449,0.43692100000000006,116281,6400,81,1521,0.055224999999999996,0.49984899999999993,0.4096,611.5729
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Aledmys Diaz,SS,79,0.488,286,72,7,20,0.252,0.668,-0.27,0.0,26,195,6.1,2000000,2500000,2500000,6241,0.238144,81796,5184,49,400,0.063504,0.44622400000000007,0.0729,0.0
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Greg Garcia,2B,133,0.821,241,61,2,20,0.253,0.697,0.73,15.69,27,200,6.0,547900,547900,547900,17689,0.6740409999999999,58081,3721,4,400,0.064009,0.48580899999999994,0.5328999999999999,246.1761
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Luke Voit,1B,62,0.383,114,28,4,18,0.246,0.736,0.32,0.0,26,255,6.3,535000,535000,271839,3844,0.146689,12996,784,16,324,0.060516,0.541696,0.1024,0.0
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Harrison Bader,OF,32,0.198,85,20,3,10,0.235,0.659,0.04,0.0,23,210,6.0,535000,535000,108151,1024,0.039204,7225,400,9,100,0.055224999999999996,0.43428100000000003,0.0016,0.0
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Carson Kelly,C,34,0.21,69,12,0,6,0.174,0.457,-0.42,0.0,22,220,6.2,535000,535000,213379,1156,0.04409999999999999,4761,144,0,36,0.030275999999999997,0.208849,0.17639999999999997,0.0
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Adam Wainwright,SP,26,0.161,42,11,2,11,0.262,0.731,0.24,20.71,35,230,6.7,19500000,19500000,19500000,676,0.025921000000000003,1764,121,4,121,0.06864400000000001,0.534361,0.0576,428.9041
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Carlos Martinez,SP,34,0.21,62,11,0,11,0.177,0.429,3.03,76.11,25,190,6.0,3500000,3700000,3700000,1156,0.04409999999999999,3844,121,0,121,0.031328999999999996,0.18404099999999998,9.1809,5792.7321
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Alex Mejia,SS,29,0.179,46,5,1,3,0.109,0.32,-0.22,0.0,26,205,6.1,535000,535000,125689,841,0.032041,2116,25,1,9,0.011881,0.1024,0.0484,0.0
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Lance Lynn,SP,33,0.204,54,4,0,0,0.074,0.218,3.17,72.5,30,270,6.5,7500000,8500000,8500000,1089,0.04161599999999999,2916,16,0,0,0.005475999999999999,0.047524,10.0489,5256.25
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Luke Weaver,SP,15,0.093,19,3,0,1,0.158,0.358,0.76,0.0,23,170,6.2,535000,535000,175380,225,0.008649,361,9,0,1,0.024964,0.128164,0.5776,0.0
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Michael Wacha,SP,30,0.185,46,2,0,3,0.044,0.106,1.48,67.03,26,215,6.6,2775000,2775000,2775000,900,0.034225,2116,4,0,9,0.0019359999999999998,0.011236,2.1904,4493.0209
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Juan Nicasio,RP,76,0.469,1,0,0,0,0.0,0.0,0.07,46.93,30,252,0.0,3650000,3650000,518570,5776,0.21996099999999996,1,0,0,0,0.0,0.0,0.004900000000000001,2202.4249
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Tyler Lyons,RP,50,0.309,1,0,0,0,0.0,0.5,1.19,80.41,29,205,6.4,549800,549800,549800,2500,0.095481,1,0,0,0,0.0,0.25,1.4161,6465.768099999999
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Jack Flaherty,SP,6,0.037,6,0,0,0,0.0,0.0,-0.28,0.0,21,225,6.4,535000,535000,90613,36,0.0013689999999999998,36,0,0,0,0.0,0.0,0.07840000000000001,0.0
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,John Gant,SP,7,0.043,3,0,0,0,0.0,0.0,0.06,0.0,24,200,6.4,536600,536600,245532,49,0.0018489999999999997,9,0,0,0,0.0,0.0,0.0036,0.0
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,Alberto Rosario,C,3,0.019,3,0,0,0,0.0,0.0,-0.08,0.0,30,175,6.0,535000,535000,90613,9,0.000361,9,0,0,0,0.0,0.0,0.0064,0.0
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,John Brebbia,RP,50,0.309,1,0,0,0,0.0,0.0,1.12,58.77,27,200,6.1,535000,535000,374144,2500,0.095481,1,0,0,0,0.0,0.0,1.2544000000000002,3453.9129000000003
New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,Didi Gregorius,SS,136,0.84,534,154,25,87,0.288,0.799,3.74,68.21,27,205,6.3,5100000,5100000,5100000,18496,0.7055999999999999,285156,23716,625,7569,0.08294399999999999,0.6384010000000001,13.987600000000002,4652.6041
New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,Chase Headley,3B,147,0.907,512,140,12,61,0.273,0.758,1.84,31.01,33,215,6.2,13000000,14000000,14000000,21609,0.8226490000000001,262144,19600,144,3721,0.07452900000000001,0.574564,3.3856,961.6201000000001
New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,Starlin Castro,2B,112,0.691,443,133,16,63,0.3,0.792,2.03,45.69,27,230,6.2,9000000,9857142,9857142,12544,0.47748099999999993,196249,17689,256,3969,0.09,0.627264,4.120899999999999,2087.5760999999998
New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,Gary Sanchez,C,122,0.753,471,132,33,90,0.28,0.88,4.07,92.64,24,230,6.2,557900,557900,557900,14884,0.567009,221841,17424,1089,8100,0.07840000000000001,0.7744,16.5649,8582.1696
New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,Todd Frazier,3B,147,0.907,474,101,27,76,0.213,0.772,1.82,41.51,31,220,6.3,12000000,12000000,4983624,21609,0.8226490000000001,224676,10201,729,5776,0.045369,0.5959840000000001,3.3124000000000002,1723.0801
New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,Jacoby Ellsbury,CF,112,0.691,356,94,7,39,0.264,0.75,1.75,19.89,33,195,6.1,21142857,21142857,21142857,12544,0.47748099999999993,126736,8836,49,1521,0.06969600000000001,0.5625,3.0625,395.6121
New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,Ronald Torreyes,2B,108,0.667,315,92,3,36,0.292,0.689,0.68,16.23,24,151,5.8,561900,561900,561900,11664,0.44488900000000003,99225,8464,9,1296,0.08526399999999999,0.47472099999999995,0.4624000000000001,263.41290000000004
New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,Aaron Hicks,RF,88,0.543,301,80,15,52,0.266,0.847,3.88,0.0,27,205,6.1,1350000,1350000,1350000,7744,0.294849,90601,6400,225,2704,0.07075600000000001,0.717409,15.0544,0.0
New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,Austin Romine,C,80,0.494,229,50,2,21,0.218,0.565,-0.84,0.0,28,220,6.1,805000,805000,805000,6400,0.244036,52441,2500,4,441,0.047524,0.3192249999999999,0.7055999999999999,0.0
New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,Greg Bird,1B,48,0.296,147,28,9,28,0.191,0.71,0.02,0.0,24,220,6.4,545500,545500,545500,2304,0.08761599999999999,21609,784,81,784,0.036481,0.5041,0.0004,0.0
New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,Garrett Cooper,1B,13,0.08,43,14,0,6,0.326,0.822,0.11,0.0,26,235,6.5,535000,535000,222148,169,0.0064,1849,196,0,36,0.10627600000000001,0.675684,0.0121,0.0
New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,Tyler Austin,1B,20,0.124,40,9,2,8,0.225,0.708,-0.28,0.0,25,220,6.1,544000,544000,80271,400,0.015375999999999999,1600,81,4,64,0.050625,0.5012639999999999,0.07840000000000001,0.0
