Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2,Agente libre
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Nick Vincent,RP,32,0.198,3,0,0,0,0.0,0.0,-0.28,0.0,32,185,6.0,555000,555000,86536,1024,0.039204,9,0,0,0,0.0,0.0,0.07840000000000001,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Hector Neris,RP,68,0.42,1,0,0,0,0.0,0.0,1.75,90.28,30,227,6.2,1800000,1800000,1800000,4624,0.17639999999999997,1,0,0,0,0.0,0.0,3.0625,8150.4784,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Seranthony Dominguez,RP/CL,27,0.167,1,0,0,0,0.0,0.0,0.0,0.0,24,185,6.1,564000,564000,564000,729,0.027889000000000004,1,0,0,0,0.0,0.0,0.0,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Enyel De Los Santos,SP,5,0.031,1,0,0,0,0.0,0.0,-0.17,0.0,23,170,6.3,555000,555000,71616,25,0.0009609999999999999,1,0,0,0,0.0,0.0,0.028900000000000006,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,JD Hammer,P,20,0.124,1,0,0,0,0.0,0.0,0.27,0.0,24,215,6.3,555000,555000,167104,400,0.015375999999999999,1,0,0,0,0.0,0.0,0.0729,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Eric Hosmer,1B,160,0.988,619,164,22,99,0.265,0.735,-0.33,9.02,29,226,6.4,20000000,21000000,21000000,25600,0.976144,383161,26896,484,9801,0.07022500000000001,0.540225,0.10890000000000001,81.3604,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Manny Machado,3B,156,0.963,587,150,32,85,0.256,0.796,3.08,20.05,26,218,6.3,10000000,12000000,12000000,24336,0.9273689999999999,344569,22500,1024,7225,0.065536,0.6336160000000001,9.4864,402.00250000000005,Si
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Fernando Tatis Jr.,SS,84,0.519,334,106,22,53,0.317,0.969,4.22,0.0,20,217,6.3,555000,555000,555000,7056,0.269361,111556,11236,484,2809,0.10048900000000001,0.9389609999999999,17.8084,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Wil Myers,LF,155,0.957,435,104,18,53,0.239,0.739,-0.35,11.83,28,207,6.3,3000000,5500000,5500000,24025,0.9158489999999999,189225,10816,324,2809,0.057121,0.546121,0.12249999999999998,139.9489,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Hunter Renfroe,RF,142,0.877,440,95,33,64,0.216,0.778,2.6,60.72,27,230,6.1,582100,582100,582100,20164,0.769129,193600,9025,1089,4096,0.046655999999999996,0.605284,6.760000000000001,3686.9184,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Greg Garcia,2B,134,0.827,311,77,4,31,0.248,0.718,1.38,27.79,29,200,6.0,910000,910000,910000,17956,0.6839289999999999,96721,5929,16,961,0.061503999999999996,0.515524,1.9043999999999996,772.2841,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Francisco Mejia,C,79,0.488,226,60,8,22,0.266,0.754,0.67,0.0,23,188,5.8,556300,556300,508470,6241,0.238144,51076,3600,64,484,0.07075600000000001,0.568516,0.4489000000000001,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Ian Kinsler,2B,87,0.537,258,56,9,22,0.217,0.646,-0.29,0.0,37,200,6.0,3750000,3750000,3750000,7569,0.28836900000000004,66564,3136,81,484,0.047089,0.417316,0.0841,0.0,Si
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Austin Hedges,C,103,0.636,312,55,11,36,0.176,0.563,-0.58,6.17,26,223,6.1,2060000,2060000,2060000,10609,0.404496,97344,3025,121,1296,0.030975999999999997,0.31696899999999995,0.3364,38.0689,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Luis Urias,SS,71,0.438,215,48,4,24,0.223,0.655,0.96,0.0,22,186,5.9,556400,556400,251244,5041,0.191844,46225,2304,16,576,0.049729,0.42902500000000005,0.9216,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Ty France,3B,69,0.426,184,43,7,24,0.234,0.696,-0.31,0.0,24,205,6.0,555000,555000,262592,4761,0.181476,33856,1849,49,576,0.054756000000000006,0.48441599999999996,0.0961,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Austin Allen,C,34,0.21,65,14,0,3,0.215,0.559,-0.34,0.0,25,220,6.2,555000,555000,298400,1156,0.04409999999999999,4225,196,0,9,0.046224999999999995,0.31248100000000006,0.11560000000000002,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Seth Mejias-Brean,3B,14,0.086,30,7,2,5,0.233,0.803,0.42,0.0,28,216,6.2,555000,555000,80568,196,0.007395999999999999,900,49,4,25,0.054289000000000004,0.6448090000000001,0.17639999999999997,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Matthew Strahm,SP,48,0.296,21,6,0,1,0.286,0.729,0.71,28.24,27,190,6.2,581700,581700,581700,2304,0.08761599999999999,441,36,0,1,0.08179599999999998,0.5314409999999999,0.5041,797.4975999999999,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Franchy Cordero,OF,9,0.056,15,5,0,1,0.333,0.85,0.17,0.0,24,175,6.3,560100,560100,560100,81,0.0031360000000000003,225,25,0,1,0.11088900000000002,0.7224999999999999,0.028900000000000006,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Chris Paddack,SP,26,0.161,42,5,0,2,0.119,0.238,2.74,87.62,23,217,6.5,555000,555000,525184,676,0.025921000000000003,1764,25,0,4,0.014160999999999998,0.05664399999999999,7.507600000000001,7677.264400000001,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Travis Jankowski,RF,25,0.154,22,4,0,0,0.182,0.432,-0.14,0.0,28,190,6.2,1165000,1165000,1165000,625,0.023716,484,16,0,0,0.033124,0.18662399999999998,0.019600000000000003,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Eric Lauer,SP,30,0.185,40,4,0,0,0.1,0.272,0.99,52.04,24,205,6.3,562500,562500,562500,900,0.034225,1600,16,0,0,0.010000000000000002,0.07398400000000001,0.9801,2708.1616,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Luis Torrens,C,7,0.043,14,3,0,0,0.214,0.598,0.02,0.0,23,175,6.0,555000,555000,41776,49,0.0018489999999999997,196,9,0,0,0.045795999999999996,0.357604,0.0004,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Joey Lucchesi,SP,30,0.185,48,3,0,1,0.063,0.144,1.98,71.98,26,204,6.5,565100,565100,565100,900,0.034225,2304,9,0,1,0.003969,0.020735999999999997,3.9204,5181.120400000001,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Dinelson Lamet,SP,14,0.086,21,3,0,0,0.143,0.286,0.5,0.0,26,187,6.4,566700,566700,566700,196,0.007395999999999999,441,9,0,0,0.020448999999999995,0.08179599999999998,0.25,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Nick Margevicius,P,17,0.105,15,3,0,0,0.2,0.4,-0.98,0.0,23,220,6.5,555000,555000,304368,289,0.011024999999999998,225,9,0,0,0.04000000000000001,0.16000000000000003,0.9603999999999999,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Cal Quantrill,SP,23,0.142,25,2,0,1,0.08,0.195,0.07,40.84,24,195,6.3,555000,555000,390904,529,0.020163999999999998,625,4,0,1,0.0064,0.038025,0.004900000000000001,1667.9056000000003,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Luis Perdomo,RP,47,0.29,7,1,0,1,0.143,0.286,0.49,0.0,26,185,6.2,555000,555000,435664,2209,0.0841,49,1,0,1,0.020448999999999995,0.08179599999999998,0.24009999999999998,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Craig Stammen,RP,76,0.469,1,0,0,0,0.0,0.0,0.84,59.22,35,228,6.2,2250000,2250000,2250000,5776,0.21996099999999996,1,0,0,0,0.0,0.0,0.7055999999999999,3507.0083999999997,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Garrett Richards,SP,3,0.019,2,0,0,0,0.0,0.0,-0.24,0.0,31,210,6.2,7000000,7000000,7000000,9,0.000361,4,0,0,0,0.0,0.0,0.0576,0.0,Si
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Robbie Erlin,RP,37,0.228,4,0,0,0,0.0,0.0,-0.46,0.0,28,190,6.0,1450000,1450000,1450000,1369,0.051984,16,0,0,0,0.0,0.0,0.2116,0.0,No
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.4320987654320987,Ronald Bolanos,SP,5,0.031,5,0,0,1,0.0,0.0,-0.08,0.0,22,220,6.3,555000,555000,83552,25,0.0009609999999999999,25,0,0,1,0.0,0.0,0.0064,0.0,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Anthony Rendon,3B,146,0.901,545,174,34,126,0.319,1.01,6.33,96.74,29,200,6.1,18800000,18800000,18800000,21316,0.811801,297025,30276,1156,15876,0.101761,1.0201,40.0689,9358.6276,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Adam Eaton,RF,151,0.932,566,158,15,49,0.279,0.792,1.75,58.92,30,180,5.9,8400000,8400000,8400000,22801,0.8686240000000001,320356,24964,225,2401,0.07784100000000002,0.627264,3.0625,3471.5664,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Trea Turner,SS,122,0.753,521,155,19,57,0.298,0.85,2.38,88.16,26,185,6.2,3725000,3725000,3725000,14884,0.567009,271441,24025,361,3249,0.088804,0.7224999999999999,5.6644,7772.1856,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Juan Soto,LF,152,0.938,542,153,34,110,0.282,0.949,4.65,98.41,20,185,6.1,578300,578300,578300,23104,0.8798439999999998,293764,23409,1156,12100,0.07952399999999998,0.9006009999999999,21.622500000000002,9684.5281,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Victor Robles,OF,156,0.963,546,139,17,65,0.255,0.745,4.09,75.72,22,190,6.0,557800,557800,557800,24336,0.9273689999999999,298116,19321,289,4225,0.065025,0.555025,16.728099999999998,5733.5184,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Asdrubal Cabrera,2B,132,0.815,447,116,18,91,0.26,0.783,-0.23,52.47,33,235,6.0,555000,555000,164120,17424,0.664225,199809,13456,324,8281,0.06760000000000001,0.613089,0.0529,2753.1009,Si
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Howie Kendrick,LF,122,0.753,334,115,17,62,0.344,0.966,2.64,78.49,35,220,0.0,4000000,4000000,4000000,14884,0.567009,111556,13225,289,3844,0.11833599999999998,0.933156,6.969600000000001,6160.6801,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Brian Dozier,2B,135,0.833,416,99,20,50,0.238,0.771,1.27,27.48,32,200,0.0,9000000,9000000,9000000,18225,0.693889,173056,9801,400,2500,0.05664399999999999,0.594441,1.6129,755.1504,Si
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Matt Adams,1B,111,0.685,310,70,20,56,0.226,0.741,0.54,20.88,30,245,6.3,3000000,3000000,3000000,12321,0.46922500000000006,96100,4900,400,3136,0.051076,0.549081,0.2916,435.97439999999995,Si
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Yan Gomes,C,98,0.605,314,70,12,43,0.223,0.704,1.25,30.15,31,215,6.2,7000000,7083333,7083333,9604,0.366025,98596,4900,144,1849,0.049729,0.49561599999999995,1.5625,909.0224999999999,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Ryan Zimmerman,1B,52,0.321,171,44,6,27,0.257,0.736,-0.17,0.0,34,215,6.3,18000000,18000000,18000000,2704,0.10304100000000001,29241,1936,36,729,0.066049,0.541696,0.028900000000000006,0.0,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Michael Taylor,CF,53,0.327,88,22,1,3,0.25,0.669,-0.03,0.0,28,215,6.4,3250000,3250000,3250000,2809,0.10692900000000001,7744,484,1,9,0.0625,0.44756100000000004,0.0009,0.0,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Stephen Strasburg,SP,34,0.21,72,12,1,10,0.167,0.422,6.29,89.97,30,235,6.5,35000000,39333334,5000000,1156,0.04409999999999999,5184,144,1,100,0.027889000000000004,0.178084,39.5641,8094.6008999999995,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Andrew Stevenson,OF,30,0.185,30,11,0,0,0.367,0.953,0.22,0.0,25,192,6.0,559100,559100,219438,900,0.034225,900,121,0,0,0.134689,0.9082089999999999,0.0484,0.0,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Max Scherzer,SP,29,0.179,55,10,0,2,0.182,0.364,5.79,77.43,34,208,6.3,30262705,37505562,37505562,841,0.032041,3025,100,0,4,0.033124,0.132496,33.5241,5995.404900000001,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Adrian Sanchez,2B,29,0.179,31,7,0,1,0.226,0.476,-0.12,0.0,28,208,6.0,560000,560000,255935,841,0.032041,961,49,0,1,0.051076,0.22657599999999997,0.0144,0.0,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Anibal Sanchez,SP,30,0.185,52,6,0,1,0.115,0.231,3.66,70.67,35,205,6.0,8000000,10000000,6000000,900,0.034225,2704,36,0,1,0.013225,0.053361000000000006,13.395600000000002,4994.2489000000005,Si
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Patrick Corbin,SP,33,0.204,65,6,0,4,0.092,0.24,5.66,80.28,29,220,6.4,12500000,12916666,12916666,1089,0.04161599999999999,4225,36,0,16,0.008464,0.0576,32.0356,6444.8784000000005,Si
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Joe Ross,SP,28,0.173,19,2,0,0,0.105,0.255,0.12,15.13,26,220,6.4,1000000,1000000,704256,784,0.029928999999999997,361,4,0,0,0.011024999999999998,0.065025,0.0144,228.91690000000003,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Erick Fedde,RP,21,0.13,15,2,0,0,0.133,0.267,1.08,0.0,26,200,6.4,555000,555000,355096,441,0.016900000000000002,225,4,0,0,0.017689000000000003,0.071289,1.1664,0.0,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Jake Noll,2B,8,0.049,12,2,0,2,0.167,0.481,-0.21,0.0,25,215,6.2,555000,555000,47744,64,0.0024010000000000004,144,4,0,4,0.027889000000000004,0.23136099999999998,0.04409999999999999,0.0,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Jeremy Hellickson,RP,9,0.056,9,1,0,0,0.111,0.384,-0.36,0.0,32,190,6.1,1300000,1900000,1900000,81,0.0031360000000000003,81,1,0,0,0.012321,0.147456,0.1296,0.0,Si
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Austin Voth,SP,9,0.056,9,1,0,1,0.111,0.222,1.2,0.0,27,201,6.2,556000,556000,338323,81,0.0031360000000000003,81,1,0,1,0.012321,0.049284,1.44,0.0,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Raudy Read,C,6,0.037,11,1,0,0,0.091,0.182,-0.22,0.0,25,170,6.0,556000,556000,89670,36,0.0013689999999999998,121,1,0,0,0.008281,0.033124,0.0484,0.0,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Kyle McGowin,SP,7,0.043,3,1,0,0,0.333,0.667,-0.5,0.0,27,195,6.3,555000,555000,116376,49,0.0018489999999999997,9,1,0,0,0.11088900000000002,0.44488900000000003,0.25,0.0,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Sean Doolittle,RP,63,0.389,3,0,0,0,0.0,0.0,0.99,69.53,32,204,6.2,6000000,6000000,6000000,3969,0.151321,9,0,0,0,0.0,0.0,0.9801,4834.4209,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Javy Guerra,RP,51,0.315,3,0,0,0,0.0,0.0,0.18,42.79,33,216,6.1,800000,800000,554829,2601,0.09922500000000001,9,0,0,0,0.0,0.0,0.0324,1830.9841,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Roenis Elias,RP,48,0.296,1,0,0,0,0.0,0.0,-0.11,0.0,30,205,6.1,910000,910000,303902,2304,0.08761599999999999,1,0,0,0,0.0,0.0,0.0121,0.0,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Tres Barrera,C,2,0.012,2,0,0,0,0.0,0.0,-0.05,0.0,24,206,6.0,555000,555000,65648,4,0.000144,4,0,0,0,0.0,0.0,0.0025000000000000005,0.0,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Tanner Rainey,P,52,0.321,1,0,0,0,0.0,0.0,0.58,0.0,26,235,6.2,555000,555000,402840,2704,0.10304100000000001,1,0,0,0,0.0,0.0,0.3364,0.0,No
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741,Wander Suero,RP,78,0.482,1,0,0,0,0.0,0.0,0.65,57.54,27,211,6.4,562500,562500,562500,6084,0.23232399999999997,1,0,0,0,0.0,0.0,0.42250000000000004,3310.8516,No
New York Yankees,5,124555000,NYY,103,162,55,40,27,0.6358024691358025,D.J. LeMahieu,2B,145,0.895,602,197,26,102,0.327,0.893,6.03,88.79,30,220,6.4,12000000,12000000,12000000,21025,0.801025,362404,38809,676,10404,0.10692900000000001,0.7974490000000001,36.3609,7883.664100000001,Si
New York Yankees,5,124555000,NYY,103,162,55,40,27,0.6358024691358025,Gleyber Torres,SS,144,0.889,546,152,38,90,0.278,0.871,3.93,89.08,22,205,6.1,605200,605200,605200,20736,0.790321,298116,23104,1444,8100,0.07728400000000002,0.758641,15.4449,7935.2464,No
New York Yankees,5,124555000,NYY,103,162,55,40,27,0.6358024691358025,Giovanny Urshela,3B,132,0.815,442,139,21,74,0.315,0.89,3.4,80.38,27,215,6.0,555000,555000,528168,17424,0.664225,195364,19321,441,5476,0.09922500000000001,0.7921,11.559999999999999,6460.944399999999,No
New York Yankees,5,124555000,NYY,103,162,55,40,27,0.6358024691358025,Luke Voit,1B,118,0.728,429,113,21,62,0.263,0.842,1.9,77.36,28,255,6.3,573200,573200,573200,13924,0.529984,184041,12769,441,3844,0.06916900000000001,0.7089639999999999,3.61,5984.5696,No
