Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Trey Mancini,LF,147,0.907,543,159,24,78,0.293,0.826,BAL,536000
Buster Posey,C,140,0.864,494,158,12,67,0.32,0.861,SF,22177777
Alex Bregman,SS,155,0.957,556,158,19,71,0.284,0.827,HOU,539400
Yulieski Gurriel,1B,139,0.858,529,158,18,75,0.299,0.817,HOU,14400000
Jed Lowrie,2B,153,0.944,567,157,14,69,0.277,0.808,OAK,6500000
Brett Gardner,LF,151,0.932,594,157,21,63,0.264,0.778,NYY,12500000
Jean Segura,SS,125,0.772,524,157,11,45,0.3,0.776,SEA,6800000
Eddie Rosario,LF,151,0.932,542,157,27,78,0.29,0.836,MIN,552500
Anthony Rizzo,1B,157,0.969,572,156,32,109,0.273,0.899,CHC,7285714
Xander Bogaerts,SS,148,0.914,571,156,10,62,0.273,0.746,BOS,4500000
Ryon Healy,1B,149,0.92,576,156,25,78,0.271,0.754,OAK,537500
Freddy Galvis,SS,162,1.0,608,155,12,61,0.255,0.69,PHI,4350000
George Springer,RF,140,0.864,548,155,34,85,0.283,0.889,HOU,3900000
Andrew Benintendi,OF,151,0.932,573,155,20,90,0.271,0.776,BOS,549000
Didi Gregorius,SS,136,0.84,534,154,25,87,0.288,0.799,NYY,5100000
David Peralta,RF,140,0.864,525,154,14,57,0.293,0.796,ARI,572200
Aaron Judge,RF,155,0.957,542,154,52,114,0.284,1.049,NYY,544500
Anthony Rendon,3B,147,0.907,508,153,25,100,0.301,0.937,WSH,5800000
Justin Upton,LF,152,0.938,557,152,35,109,0.273,0.901,LAA,22125000
Justin Smoak,1B,158,0.975,560,151,38,90,0.27,0.883,TOR,4125000
Mike Moustakas,3B,148,0.914,555,151,38,85,0.272,0.835,KC,8700000
Tim Anderson,SS,146,0.901,587,151,17,56,0.257,0.679,CHW,850000
Alcides Escobar,SS,162,1.0,599,150,6,54,0.25,0.629,KC,6500000
Cesar Hernandez,2B,128,0.79,511,150,9,34,0.294,0.793,PHI,2550000
Kevin Pillar,CF,154,0.951,587,150,16,42,0.256,0.704,TOR,555000
Chris Taylor,LF,140,0.864,514,148,21,72,0.288,0.85,LAD,535000
J.T. Realmuto,C,141,0.87,532,148,17,65,0.278,0.783,MIA,562500
Tim Beckham,SS,137,0.846,533,147,22,62,0.276,0.778,BAL,885000
Travis Shaw,3B,144,0.889,538,147,31,101,0.273,0.862,MIL,544400
Joe Panik,2B,138,0.852,512,147,10,53,0.287,0.767,SF,600000
Odubel Herrera,CF,138,0.852,526,147,14,56,0.28,0.774,PHI,1600000
Eduardo Nunez,SS,114,0.704,467,146,12,58,0.313,0.801,BOS,4200000
Domingo Santana,RF,151,0.932,525,146,30,85,0.278,0.875,MIL,542200
Adam Duvall,LF,157,0.969,587,146,31,99,0.249,0.782,CIN,577500
Kyle Seager,3B,154,0.951,578,144,27,88,0.249,0.773,SEA,11000000
Billy Hamilton,CF,139,0.858,582,144,4,38,0.247,0.634,CIN,2625000
Shin-Soo Choo,RF,149,0.92,544,143,22,78,0.263,0.783,TEX,20000000
Albert Pujols,DH,149,0.92,593,143,23,101,0.241,0.672,LAA,26000000
Chase Headley,3B,147,0.907,512,140,12,61,0.273,0.758,NYY,14000000
Khris Davis,LF,153,0.944,566,140,43,111,0.247,0.864,OAK,5000000
Josh Bell,1B,159,0.982,549,140,26,90,0.255,0.8,PIT,549000
Nomar Mazara,RF,148,0.914,554,140,20,101,0.253,0.745,TEX,546450
Ben Gamel,LF,134,0.827,509,140,11,59,0.275,0.735,SEA,535000
Orlando Arcia,SS,153,0.944,506,140,15,53,0.277,0.731,MIL,538100
Mark Reynolds,3B,148,0.914,520,139,30,97,0.267,0.839,COL,1500000
Kole Calhoun,RF,155,0.957,569,139,19,71,0.244,0.725,LAA,6000000
Eugenio Suarez,3B,156,0.963,534,139,26,82,0.26,0.828,CIN,595000
Wil Myers,RF,155,0.957,567,138,30,74,0.243,0.792,SD,4500000
Marwin Gonzalez,LF,134,0.827,455,138,23,90,0.303,0.907,HOU,3725000
Yadier Molina,C,136,0.84,501,137,18,82,0.274,0.751,STL,14200000
Scooter Gennett,2B,141,0.87,461,136,27,97,0.295,0.874,CIN,2525000
Denard Span,CF,129,0.796,497,135,12,43,0.272,0.756,SF,13750000
Freddie Freeman,1B,117,0.722,440,135,28,71,0.307,0.989,ATL,20859375
Tommy Pham,LF,128,0.79,444,135,23,72,0.304,0.927,STL,535000
Asdrubal Cabrera,2B,135,0.833,479,134,14,59,0.28,0.785,NYM,8250000
Bryce Harper,RF,111,0.685,420,134,29,87,0.319,1.008,WSH,13725000
Carlos Correa,SS,109,0.673,422,134,24,85,0.318,0.945,HOU,535000
Starlin Castro,2B,112,0.691,443,133,16,63,0.3,0.792,NYY,9857142
Jake Lamb,3B,149,0.92,536,133,30,105,0.248,0.844,ARI,573300
Josh Harrison,2B,128,0.79,486,132,16,47,0.272,0.771,PIT,7750000
Maikel Franco,3B,154,0.951,575,132,24,76,0.23,0.69,PHI,560000
Gary Sanchez,C,122,0.753,471,132,33,90,0.28,0.88,NYY,557900
J.D. Martinez,DH,119,0.735,432,131,45,104,0.303,1.066,ARI,11750000
Brandon Crawford,SS,144,0.889,518,131,14,77,0.253,0.709,SF,8200000
Yasiel Puig,RF,152,0.938,499,131,28,75,0.263,0.831,LAD,8214285
Ian Kinsler,2B,139,0.858,551,130,22,52,0.236,0.725,DET,11000000
Hunter Pence,LF,134,0.827,493,129,13,67,0.262,0.705,SF,18500000
Zack Cozart,SS,122,0.753,438,129,24,62,0.295,0.928,CIN,5325000
Javier Baez,2B,145,0.895,469,129,23,76,0.275,0.801,CHC,609000
Yolmer Sanchez,2B,141,0.87,484,129,12,59,0.267,0.732,CHW,546000
Jordy Mercer,SS,145,0.895,502,128,14,58,0.255,0.733,PIT,4325000
Manuel Margot,CF,126,0.778,487,128,13,39,0.263,0.721,SD,535600
Cody Bellinger,1B,132,0.815,480,128,39,97,0.267,0.933,LAD,535000
Logan Morrison,DH,149,0.92,512,126,38,85,0.246,0.868,TB,2750000
Salvador Perez,C,129,0.796,471,126,27,80,0.268,0.792,KC,4200000
Jose Peraza,SS,143,0.883,487,126,5,37,0.259,0.622,CIN,540000
Steven Souza,RF,148,0.914,523,125,30,78,0.239,0.81,TB,546700
Jorge Polanco,SS,133,0.821,488,125,13,74,0.256,0.723,MIN,540000
Rougned Odor,2B,162,1.0,607,124,30,75,0.204,0.649,TEX,1333333
Max Kepler,RF,147,0.907,511,124,19,69,0.243,0.737,MIN,547500
Jose Reyes,3B,145,0.895,501,123,15,58,0.246,0.728,NYM,535000
Mike Trout,CF,114,0.704,402,123,33,72,0.306,1.071,LAA,20083333
Carlos Gonzalez,RF,136,0.84,470,122,14,57,0.26,0.756,COL,20428571
Gerardo Parra,LF,115,0.71,392,122,10,72,0.311,0.798,COL,8000000
Matt Kemp,RF,115,0.71,438,121,19,64,0.276,0.781,ATL,21500000
Hanley Ramirez,DH,133,0.821,496,120,23,62,0.242,0.75,BOS,22750000
Yonder Alonso,1B,142,0.877,451,120,28,67,0.266,0.866,SEA,4000000
Matt Carpenter,3B,145,0.895,497,120,23,69,0.241,0.835,STL,10000000
Yangervis Solarte,3B,128,0.79,466,119,18,64,0.255,0.731,SD,2625000
Brandon Drury,2B,135,0.833,445,119,13,63,0.267,0.764,ARI,559300
Tommy Joseph,1B,142,0.877,495,119,22,69,0.24,0.721,PHI,543000
Paul DeJong,3B,108,0.667,417,119,25,65,0.285,0.857,STL,535000
Trevor Story,SS,145,0.895,503,119,24,82,0.237,0.762,COL,540000
Dustin Pedroia,2B,105,0.648,406,118,7,62,0.291,0.756,BOS,15125000
Jose Iglesias,SS,130,0.803,463,118,6,54,0.255,0.657,DET,4100000
Miguel Cabrera,1B,130,0.803,469,117,16,60,0.25,0.728,DET,28000000
Cory Spangenberg,2B,129,0.796,444,117,13,46,0.264,0.725,SD,545000
Byron Buxton,CF,140,0.864,462,117,16,51,0.253,0.728,MIN,535000
Eric Thames,1B,138,0.852,469,116,31,63,0.247,0.877,MIL,4500000
Jackie Bradley Jr.,CF,133,0.821,482,116,17,64,0.241,0.718,BOS,3600000
Jedd Gyorko,SS,125,0.772,426,116,20,67,0.272,0.813,STL,6000000
Trea Turner,SS,98,0.605,412,116,11,45,0.282,0.782,WSH,554900
Danny Valencia,3B,130,0.803,450,115,15,66,0.256,0.725,SEA,5500000
Eduardo Escobar,SS,129,0.796,457,114,21,72,0.25,0.747,MIN,2600000
A.J. Pollock,CF,112,0.691,425,113,14,49,0.266,0.801,ARI,6750000
Jason Heyward,RF,126,0.778,432,112,11,59,0.259,0.715,CHC,28166666
Jonathan Lucroy,C,123,0.759,423,112,6,40,0.265,0.716,COL,5250000
David Freese,3B,130,0.803,426,112,10,52,0.263,0.739,PIT,6250000
Hernan Perez,LF,136,0.84,432,112,14,51,0.259,0.704,MIL,545700
Miguel Sano,3B,114,0.704,424,112,28,77,0.264,0.859,MIN,572500
Dansby Swanson,SS,144,0.889,487,112,6,51,0.23,0.633,ATL,540000
Adam Frazier,2B,121,0.747,406,112,6,53,0.276,0.743,PIT,549500
Josh Donaldson,3B,113,0.698,415,111,33,78,0.268,0.94,TOR,17000000
Scott Schebler,LF,141,0.87,473,110,30,67,0.233,0.791,CIN,540000
Justin Bour,1B,108,0.667,377,109,25,83,0.289,0.902,MIA,552500
Yasmani Grandal,C,129,0.796,438,108,22,58,0.247,0.767,LAD,5500000
Michael Taylor,CF,118,0.728,399,108,19,53,0.271,0.806,WSH,557900
Adrian Beltre,3B,94,0.58,340,106,17,71,0.312,0.915,TEX,18000000
Kevin Kiermaier,CF,98,0.605,380,105,15,39,0.276,0.788,TB,3166666
Michael Conforto,CF,109,0.673,373,104,27,68,0.279,0.939,NYM,554904
Willson Contreras,C,117,0.722,377,104,21,74,0.276,0.855,CHC,544500
Mitch Haniger,RF,96,0.593,369,104,16,47,0.282,0.843,SEA,538000
Hunter Renfroe,RF,122,0.753,445,103,26,58,0.232,0.751,SD,535900
Ryan Braun,LF,104,0.642,380,102,17,52,0.268,0.821,MIL,20000000
Neil Walker,2B,111,0.685,385,102,14,49,0.265,0.803,MIL,17200000
Ben Zobrist,2B,128,0.79,435,101,12,50,0.232,0.693,CHC,16500000
Todd Frazier,3B,147,0.907,474,101,27,76,0.213,0.772,NYY,12000000
Derek Dietrich,2B,135,0.833,406,101,13,53,0.249,0.758,MIA,1700000
Delino DeShields,CF,120,0.741,376,101,6,22,0.269,0.714,TEX,540300
Kolten Wong,2B,108,0.667,354,101,4,42,0.285,0.788,STL,2500000
Aaron Altherr,RF,107,0.661,372,101,19,65,0.272,0.856,PHI,538500
Victor Martinez,DH,107,0.661,392,100,10,47,0.255,0.697,DET,18000000
Tucker Barnhart,C,121,0.747,370,100,7,44,0.27,0.75,CIN,575000
Alex Gordon,LF,148,0.914,476,99,9,45,0.208,0.608,KC,16000000
Ryan Goins,2B,143,0.883,418,99,9,62,0.237,0.643,TOR,548200
Chris Davis,1B,128,0.79,456,98,26,61,0.215,0.732,BAL,21065362
Jorge Bonifacio,RF,113,0.698,384,98,17,40,0.255,0.752,KC,535000
Randal Grichuk,RF,122,0.753,412,98,22,59,0.238,0.758,STL,557200
Mike Zunino,C,124,0.765,387,97,25,64,0.251,0.84,SEA,570000
Chris Owings,2B,97,0.599,362,97,12,51,0.268,0.741,ARI,2300000
Jonathan Villar,SS,122,0.753,403,97,11,40,0.241,0.665,MIL,554500
Yunel Escobar,3B,89,0.549,350,96,7,31,0.274,0.73,LAA,7000000
Howie Kendrick,LF,91,0.562,305,96,9,41,0.315,0.844,WSH,10000000
Mikie Mahtook,LF,109,0.673,348,96,12,38,0.276,0.785,DET,541300
Guillermo Heredia,CF,123,0.759,386,96,6,24,0.249,0.652,SEA,782000
Martin Maldonado,C,138,0.852,429,95,14,38,0.221,0.645,LAA,1725000
Gregory Polanco,LF,108,0.667,379,95,11,35,0.251,0.695,PIT,1600000
Jacoby Ellsbury,CF,112,0.691,356,94,7,39,0.264,0.75,NYY,21142857
Curtis Granderson,RF,147,0.907,449,94,26,64,0.209,0.768,LAD,15000000
Matt Wieters,C,123,0.759,422,94,10,52,0.223,0.627,WSH,10500000
Christian Vazquez,C,99,0.611,324,94,5,32,0.29,0.735,BOS,561000
Robbie Grossman,LF,119,0.735,382,94,9,45,0.246,0.741,MIN,552500
Joey Gallo,3B,145,0.895,449,94,41,80,0.209,0.869,TEX,537120
Norichika Aoki,LF,110,0.679,336,93,5,35,0.277,0.728,NYM,535000
Matt Adams,1B,131,0.809,339,93,20,65,0.274,0.841,ATL,2800000
Lucas Duda,1B,127,0.784,423,92,30,64,0.218,0.818,TB,7250000
Brandon Belt,1B,104,0.642,382,92,18,51,0.241,0.823,SF,4000000
Manuel Pina,C,107,0.661,330,92,9,43,0.279,0.751,MIL,538200
Ronald Torreyes,2B,108,0.667,315,92,3,36,0.292,0.689,NYY,561900
Ian Happ,OF,115,0.71,364,92,24,68,0.253,0.842,CHC,535000
Wilmer Flores,SS,110,0.679,336,91,18,52,0.271,0.795,NYM,2200000
Keon Broxton,LF,143,0.883,414,91,20,49,0.22,0.719,MIL,541200
Matt Davidson,DH,118,0.728,414,91,26,68,0.22,0.711,CHW,537000
Cameron Maybin,CF,114,0.704,395,90,10,35,0.228,0.683,HOU,9000000
Wilmer Difo,SS,124,0.765,332,90,5,21,0.271,0.69,WSH,537800
Jose Pirela,LF,83,0.512,312,90,10,40,0.289,0.837,SD,535000
Nick Williams,RF,83,0.512,313,90,12,55,0.288,0.811,PHI,535000
Tyler Flowers,C,99,0.611,317,89,12,49,0.281,0.823,ATL,3600000
Albert Almora,CF,132,0.815,299,89,8,46,0.298,0.782,CHC,552000
James McCann,C,106,0.654,352,89,13,49,0.253,0.733,DET,552100
Kyle Schwarber,LF,129,0.796,422,89,30,59,0.211,0.782,CHC,565500
Jarrod Dyson,RF,111,0.685,346,87,5,30,0.251,0.674,SEA,2800000
Adeiny Hechavarria,SS,97,0.599,330,86,8,30,0.261,0.695,TB,4350000
Starling Marte,CF,77,0.475,309,85,7,31,0.275,0.712,PIT,3147540
Travis d'Arnaud,C,112,0.691,348,85,16,57,0.244,0.735,NYM,1875000
Marcus Semien,SS,85,0.525,342,85,10,40,0.249,0.722,OAK,545000
Brian McCann,C,97,0.599,349,84,18,62,0.241,0.759,HOU,17000000
Seth Smith,RF,111,0.685,330,84,13,32,0.255,0.768,BAL,7000000
C.J. Cron,1B,100,0.617,339,84,16,56,0.248,0.741,LAA,565000
Addison Russell,SS,110,0.679,352,84,12,43,0.239,0.722,CHC,644000
Jose Martinez,LF,106,0.654,272,84,14,46,0.309,0.897,STL,535000
Austin Hedges,C,120,0.741,386,83,18,55,0.215,0.662,SD,537100
Carlos Asuaje,2B,89,0.549,307,83,4,21,0.27,0.696,SD,535000
Logan Forsythe,2B,119,0.735,361,82,6,37,0.227,0.685,LAD,7000000
Ezequiel Carrera,CF,131,0.809,287,81,8,20,0.282,0.764,TOR,1162500
Leury Garcia,OF,87,0.537,300,81,9,33,0.27,0.739,CHW,535000
Aaron Hicks,RF,88,0.543,301,80,15,52,0.266,0.847,NYY,1350000
Stephen Piscotty,RF,107,0.661,341,80,9,39,0.235,0.707,STL,1333333
Gorkys Hernandez,CF,128,0.79,310,79,0,22,0.255,0.652,SF,537000
Evan Gattis,C,84,0.519,300,79,12,55,0.263,0.767,HOU,5200000
Miguel Rojas,SS,90,0.556,272,79,1,26,0.29,0.736,MIA,535000
Erick Aybar,SS,108,0.667,333,78,7,22,0.234,0.648,SD,1750000
Darwin Barney,SS,129,0.796,336,78,6,25,0.232,0.602,TOR,2887500
Kevan Smith,C,87,0.537,276,78,4,30,0.283,0.697,CHW,535000
Alex Presley,LF,71,0.438,245,76,3,20,0.31,0.762,DET,535000
Andrew Romine,SS,124,0.765,318,75,4,25,0.236,0.632,DET,1300000
Jesus Aguilar,1B,133,0.821,279,74,16,52,0.265,0.837,MIL,536000
Aledmys Diaz,SS,79,0.488,286,72,7,20,0.252,0.668,STL,2500000
Johan Camargo,SS,82,0.506,241,72,4,27,0.299,0.783,ATL,535000
Omar Narvaez,C,90,0.556,253,70,2,14,0.277,0.713,CHW,540000
Mallex Smith,LF,81,0.5,256,69,2,12,0.27,0.684,TB,539800
Russell Martin,C,91,0.562,307,68,13,35,0.222,0.731,TOR,20000000
Eric Sogard,2B,94,0.58,249,68,3,18,0.273,0.77,MIL,535000
Robinson Chirinos,C,88,0.543,263,68,17,39,0.259,0.869,TEX,1900000
Brad Miller,SS,110,0.679,338,68,9,40,0.201,0.664,TB,3575000
Matt Chapman,3B,84,0.519,290,68,14,40,0.235,0.785,OAK,535000
Chad Pinder,SS,87,0.537,282,67,15,42,0.238,0.75,OAK,535000
Francisco Cervelli,C,81,0.5,265,66,5,31,0.249,0.712,PIT,9000000
Caleb Joseph,C,89,0.549,254,65,8,28,0.256,0.7,BAL,700000
Stephen Vogt,C,99,0.611,279,64,12,40,0.229,0.701,MIL,2965000
Cameron Rupp,C,88,0.543,295,64,14,34,0.217,0.716,PHI,565000
Enrique Hernandez,LF,140,0.864,297,64,11,37,0.216,0.729,LAD,555000
Juan Lagares,CF,94,0.58,252,63,3,15,0.25,0.661,NYM,4500000
Brian Goodwin,CF,74,0.457,251,63,13,30,0.251,0.811,WSH,535000
Austin Barnes,C,102,0.63,218,63,8,38,0.289,0.895,LAD,540000
Joey Rickard,LF,111,0.685,261,63,4,19,0.241,0.621,BAL,539000
Rafael Devers,3B,58,0.358,222,63,10,30,0.284,0.824,BOS,535000
T.J. Rivera,3B,73,0.451,214,62,5,27,0.29,0.76,NYM,539958
Ozzie Albies,SS,57,0.352,217,62,6,28,0.286,0.81,ATL,535000
Sandy Leon,C,85,0.525,271,61,7,39,0.225,0.644,BOS,1300000
Kennys Vargas,1B,78,0.482,241,61,11,41,0.253,0.758,MIN,540000
Greg Garcia,2B,133,0.821,241,61,2,20,0.253,0.697,STL,547900
Troy Tulowitzki,SS,66,0.407,241,60,7,26,0.249,0.678,TOR,20000000
Joc Pederson,CF,102,0.63,273,58,11,35,0.213,0.738,LAD,555000
Ketel Marte,2B,73,0.451,223,58,5,18,0.26,0.74,ARI,535000
Chris Young,RF,90,0.556,243,57,7,25,0.235,0.709,BOS,6500000
Jayson Werth,LF,70,0.432,252,57,10,29,0.226,0.717,WSH,21571428
Pablo Sandoval,3B,79,0.488,259,57,9,32,0.22,0.632,SF,535000
Adrian Gonzalez,1B,71,0.438,231,56,3,30,0.242,0.642,LAD,22357142
Jake Marisnick,CF,106,0.654,230,56,16,35,0.244,0.815,HOU,1100000
J.T. Riddle,SS,70,0.432,228,56,3,31,0.246,0.624,MIA,535000
J.J. Hardy,SS,73,0.451,254,55,4,24,0.217,0.578,BAL,14000000
Daniel Nava,LF,80,0.494,183,55,4,21,0.301,0.813,PHI,1350000
Gregor Blanco,RF,90,0.556,224,55,3,13,0.246,0.694,ARI,1000000
Tony Wolters,C,83,0.512,229,55,0,16,0.24,0.625,COL,540000
Rene Rivera,C,74,0.457,218,55,10,35,0.252,0.736,CHC,1750000
John Jaso,RF,126,0.778,256,54,10,35,0.211,0.73,PIT,4000000
Bruce Maxwell,C,76,0.469,219,52,3,22,0.237,0.663,OAK,535000
Taylor Motter,SS,92,0.568,258,51,7,26,0.198,0.583,SEA,537200
Adam Engel,OF,97,0.599,301,51,6,21,0.169,0.524,CHW,535000
Austin Romine,C,80,0.494,229,50,2,21,0.218,0.565,NYY,805000
Kelby Tomlinson,2B,104,0.642,194,50,1,11,0.258,0.646,SF,543000
Jose Osuna,1B,105,0.648,215,50,7,30,0.233,0.697,PIT,535000
Ichiro Suzuki,RF,136,0.84,196,49,3,20,0.25,0.64,MIA,2000000
Cliff Pennington,SS,87,0.537,194,49,3,21,0.253,0.635,LAA,2250000
Hyun-soo Kim,LF,96,0.593,212,49,1,14,0.231,0.599,PHI,4200000
Matt Olson,1B,59,0.364,189,49,24,45,0.259,1.003,OAK,535000
Devon Travis,2B,50,0.309,185,48,5,24,0.26,0.729,TOR,545200
Alen Hanson,RF,106,0.654,217,48,4,11,0.221,0.607,CHW,541500
Pat Valaika,SS,110,0.679,182,47,13,40,0.258,0.817,COL,535000
Yoan Moncada,2B,54,0.333,199,46,8,22,0.231,0.75,CHW,535000
John Hicks,C,60,0.37,173,46,6,22,0.266,0.766,DET,535000
Raimel Tapia,LF,70,0.432,160,46,2,16,0.288,0.754,COL,535000
Brandon Nimmo,LF,69,0.426,177,46,5,21,0.26,0.797,NYM,536240
Matt Szczur,CF,119,0.735,195,45,3,18,0.231,0.714,SD,549500
Jesus Sucre,C,63,0.389,176,45,7,29,0.256,0.699,TB,630000
Tyler Saladino,2B,79,0.488,253,45,0,10,0.178,0.484,CHW,547000
Daniel Robertson,SS,75,0.463,218,45,5,19,0.206,0.634,TB,535000
Andrew Knapp,C,56,0.346,171,44,3,13,0.257,0.736,PHI,535000
Rhys Hoskins,LF,50,0.309,170,44,18,48,0.259,1.014,PHI,535000
Tyler Moore,1B,104,0.642,187,43,6,30,0.23,0.668,MIA,1000000
Ehire Adrianza,SS,70,0.432,162,43,2,24,0.265,0.707,MIN,600000
Dixon Machado,SS,73,0.451,166,43,1,11,0.259,0.621,DET,537800
Peter Bourjos,RF,100,0.617,188,42,5,15,0.223,0.655,TB,1350000
Nick Ahmed,SS,53,0.327,167,42,6,21,0.252,0.717,ARI,566000
Elias Diaz,C,64,0.395,188,42,1,19,0.223,0.582,PIT,535000
Allen Cordoba,SS,100,0.617,202,42,4,15,0.208,0.579,SD,535000
Chris Gimenez,C,77,0.475,186,41,7,16,0.22,0.731,MIN,950000
Chris Herrmann,C,106,0.654,226,41,10,27,0.181,0.619,ARI,937500
Jarrett Parker,RF,51,0.315,166,41,4,23,0.247,0.709,SF,539000
Adonis Garcia,3B,52,0.321,173,41,5,19,0.237,0.62,ATL,547500
Amed Rosario,SS,46,0.284,165,41,4,10,0.249,0.665,NYM,535000
Miguel Montero,C,76,0.469,185,40,6,16,0.216,0.656,TOR,14000000
Jace Peterson,LF,89,0.549,186,40,2,17,0.215,0.635,ATL,555000
Yasmany Tomas,LF,47,0.29,166,40,8,32,0.241,0.758,ARI,9500000
Patrick Kivlehan,RF,115,0.71,178,37,9,26,0.208,0.703,CIN,535000
Nicky Delmonico,LF,43,0.265,141,37,9,23,0.262,0.856,CHW,535000
Tommy La Stella,2B,73,0.451,125,36,5,22,0.288,0.861,CHC,573500
Deven Marrero,SS,71,0.438,171,36,4,27,0.211,0.593,BOS,535000
Mark Canha,LF,57,0.352,173,36,5,14,0.208,0.644,OAK,545000
Jeimer Candelario,3B,38,0.235,127,36,3,16,0.284,0.784,DET,535000
Jesse Winker,OF,47,0.29,121,36,7,15,0.298,0.904,CIN,535000
Martin Prado,3B,37,0.228,140,35,2,12,0.25,0.636,MIA,11500000
Jett Bandy,C,60,0.37,169,35,6,18,0.207,0.636,MIL,539800
Jabari Blash,LF,61,0.377,164,35,5,16,0.213,0.675,SD,535000
Daniel Santana,CF,82,0.506,168,34,4,23,0.202,0.6,ATL,545000
Jorge Alfaro,C,29,0.179,107,34,5,14,0.318,0.874,PHI,535000
Cheslor Cuthbert,3B,58,0.358,143,33,2,18,0.231,0.596,KC,552250
Boog Powell,CF,52,0.321,117,33,3,12,0.282,0.76,OAK,535000
Austin Slater,OF,34,0.21,117,33,3,16,0.282,0.74,SF,535000
Dominic Smith,1B,49,0.303,167,33,9,26,0.198,0.658,NYM,535000
Reymond Fuentes,CF,64,0.395,136,32,3,9,0.235,0.616,ARI,535000
Derek Fisher,OF,53,0.327,146,31,5,17,0.212,0.663,HOU,535000
Clint Frazier,OF,39,0.241,134,31,4,17,0.231,0.715,NYY,535000
Devin Mesoraco,C,56,0.346,141,30,6,14,0.213,0.711,CIN,7325000
Hector Sanchez,C,75,0.463,137,30,8,25,0.219,0.668,SD,750000
Josh Phegley,C,57,0.352,149,30,3,10,0.201,0.59,OAK,545000
Lane Adams,RF,85,0.525,109,30,5,20,0.275,0.807,ATL,535000
Eric Young Jr.,CF,47,0.29,110,29,4,16,0.264,0.754,LAA,535000
Tyler Collins,LF,49,0.303,150,29,5,14,0.193,0.611,DET,544700
Rio Ruiz,3B,53,0.327,150,29,4,19,0.193,0.59,ATL,535000
Ryan Rua,LF,63,0.389,129,28,3,12,0.217,0.627,TEX,544740
Greg Bird,1B,48,0.296,147,28,9,28,0.191,0.71,NYY,545500
