Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Luis Torrens,C,108,0.667,346,84,15,47,0.243,0.73,SEA,580700
Ramon Laureano,CF,88,0.543,341,84,14,39,0.246,0.76,OAK,580500
Ronald Acuna Jr.,RF,82,0.509,297,84,24,52,0.283,0.99,ATL,5000000
Matt Duffy,3B,97,0.599,289,83,5,30,0.287,0.738,CHC,1000000
Elias Diaz,C,107,0.665,338,83,18,44,0.246,0.774,COL,1300000
Colin Moran,1B,99,0.611,318,82,10,50,0.258,0.724,PIT,2800000
Gavin Lux,SS,102,0.63,335,81,7,46,0.242,0.692,LAD,580500
Wander Franco,SS,70,0.432,281,81,7,39,0.288,0.81,TB,570500
Eric Haase,C,98,0.605,351,81,22,61,0.231,0.745,DET,570500
Abraham Toro-Hernandez,3B,95,0.586,335,80,11,46,0.239,0.688,SEA,570500
Frank Schwindel,1B,64,0.395,242,79,14,43,0.326,0.962,CHC,570500
Gary Sanchez,C,117,0.722,383,78,23,54,0.204,0.73,NYY,6350000
Edmundo Sosa,SS,113,0.698,288,78,6,27,0.271,0.735,STL,575900
Patrick Wisdom,3B,106,0.654,338,78,28,61,0.231,0.823,CHC,570500
Ronald Torreyes,2B,112,0.691,318,77,7,41,0.242,0.632,PHI,800000
Aledmys Diaz,SS,84,0.519,294,76,8,45,0.259,0.721,HOU,3000000
Juan Lagares,CF,112,0.691,309,73,6,38,0.236,0.638,LAA,1250000
Carson Kelly,C,98,0.605,304,73,13,46,0.24,0.755,ARI,1700000
Ramon Urias,2B,85,0.525,262,73,7,38,0.279,0.774,BAL,571500
Chas McCormick,OF,108,0.667,284,73,14,50,0.257,0.766,HOU,570500
Jorge Alfaro,C,92,0.568,295,72,4,30,0.244,0.625,MIA,2050000
Byron Buxton,CF,61,0.377,235,72,19,32,0.306,1.005,MIN,5125000
Yadiel Hernandez,OF,112,0.691,264,72,9,32,0.273,0.742,WSH,572600
Victor Caratini,C,116,0.716,313,72,7,39,0.23,0.638,SD,1300000
Rowdy Tellez,1B,106,0.654,297,72,11,36,0.242,0.719,MIL,598100
Darin Ruf,1B,117,0.722,262,71,16,43,0.271,0.904,SF,1275000
Paul DeJong,SS,113,0.698,356,70,19,45,0.197,0.674,STL,4166666
Andy Ibanez,2B,76,0.469,253,70,7,25,0.277,0.756,TEX,570500
Daulton Varsho,CF,95,0.586,284,70,11,38,0.247,0.755,ARI,570500
Jason Heyward,RF,104,0.642,323,69,8,30,0.214,0.627,CHC,23500000
Santiago Espinal,SS,92,0.568,222,69,2,17,0.311,0.781,TOR,570500
Steven Duggar,CF,107,0.661,268,69,8,35,0.258,0.767,SF,570500
Max Stassi,C,87,0.537,282,68,13,35,0.241,0.752,LAA,1600000
Jose Trevino,C,89,0.549,285,68,5,30,0.239,0.607,TEX,584000
Justin Upton,LF,90,0.556,318,67,17,41,0.211,0.705,LAA,23000000
Yasmani Grandal,C,93,0.574,279,67,23,62,0.24,0.939,CHW,18250000
Guillermo Heredia,CF,120,0.745,305,67,5,26,0.22,0.665,ATL,1000000
Evan Longoria,3B,81,0.5,253,66,13,46,0.261,0.833,SF,18500000
Lorenzo Cain,CF,78,0.482,257,66,8,36,0.257,0.729,MIL,16000000
Alex Dickerson,LF,111,0.685,283,66,13,38,0.233,0.725,SF,2100000
Austin Slater,LF,129,0.796,274,66,12,32,0.241,0.744,SF,1150000
Rougned Odor,2B,102,0.63,322,65,15,39,0.202,0.665,NYY,12333333
Hanser Alberto,2B,103,0.636,241,65,2,24,0.27,0.693,KC,1650000
Willie Calhoun,DH,75,0.463,260,65,6,25,0.25,0.691,TEX,593000
Francisco Mejia,C,84,0.519,250,65,6,35,0.26,0.738,TB,586300
Martin Maldonado,C,125,0.772,373,64,12,36,0.172,0.573,HOU,3500000
Jace Peterson,2B,94,0.58,259,64,6,31,0.247,0.714,MIL,575000
Kelvin Gutierrez,3B,85,0.525,272,63,3,20,0.232,0.608,BAL,570500
Niko Goodrum,2B,90,0.556,290,62,9,33,0.214,0.651,DET,2100000
Lewis Brinson,CF,89,0.549,274,62,9,33,0.226,0.639,MIA,587500
Garrett Cooper,RF,71,0.438,215,61,9,33,0.284,0.845,MIA,1900000
Nick Madrigal,2B,54,0.333,200,61,2,21,0.305,0.774,CHC,584000
Jarred Kelenic,OF,93,0.574,337,61,14,43,0.181,0.615,SEA,570500
Charlie Culberson,2B,91,0.562,247,60,5,22,0.243,0.676,TEX,1500000
Wilmer Difo,SS,116,0.716,219,60,4,24,0.274,0.726,PIT,1000000
Brandon Marsh,OF,70,0.432,236,60,2,19,0.254,0.673,LAA,570500
Tyrone Taylor,CF,93,0.574,243,60,12,43,0.247,0.778,MIL,570500
Dylan Moore,2B,126,0.778,332,60,12,43,0.181,0.61,SEA,590400
Seth Brown,1B,111,0.685,281,60,20,48,0.214,0.754,OAK,570500
Ji-Man Choi,1B,83,0.512,258,59,11,45,0.229,0.758,TB,2450000
Jake Bauers,1B,115,0.71,282,59,4,19,0.209,0.566,SEA,600000
Bryan De La Cruz,OF,58,0.358,199,59,5,19,0.297,0.783,MIA,570500
Josh VanMeter,2B,112,0.691,274,58,6,36,0.212,0.651,ARI,583400
Brian Anderson,3B,67,0.414,233,58,7,28,0.249,0.715,MIA,3800000
David Bote,2B,97,0.599,291,58,8,35,0.199,0.606,CHC,1010000
Jack Mayfield,2B,87,0.537,266,58,10,39,0.218,0.663,LAA,570500
Luis Garcia,SS,70,0.432,236,57,6,22,0.242,0.689,HOU,580100
Luis Garcia,SS,70,0.432,236,57,6,22,0.242,0.689,STL,570500
Luis Garcia,SS,70,0.432,236,57,6,22,0.242,0.689,WSH,570500
Luis Garcia,RP,30,0.185,6,0,0,0,0.0,0.0,HOU,580100
Luis Garcia,RP,30,0.185,6,0,0,0,0.0,0.0,STL,570500
Luis Garcia,RP,30,0.185,6,0,0,0,0.0,0.0,WSH,570500
Tom Murphy,C,97,0.599,277,56,11,34,0.202,0.655,SEA,875000
Cavan Biggio,2B,79,0.488,250,56,7,27,0.224,0.678,TOR,604000
D.J. Stewart,LF,100,0.617,270,55,12,33,0.204,0.698,BAL,577000
Matt Beaty,3B,120,0.741,204,55,7,40,0.27,0.765,LAD,590500
Alex Kirilloff,DH,59,0.364,215,54,8,34,0.251,0.722,MIN,570500
Victor Reyes,RF,76,0.469,209,54,5,22,0.258,0.701,DET,587100
Ha-seong Kim,SS,117,0.722,267,54,8,34,0.202,0.622,SD,7000000
Mitch Garver,C,68,0.42,207,53,13,34,0.256,0.875,MIN,1875000
Eloy Jimenez,DH,55,0.34,213,53,10,37,0.249,0.74,CHW,4333333
Ryan Jeffers,C,85,0.525,267,53,14,35,0.199,0.67,MIN,575500
Ryan O'Hearn,1B,84,0.519,236,53,9,29,0.225,0.636,KC,570500
Lane Thomas,CF,77,0.475,226,53,7,28,0.235,0.752,WSH,570500
Anthony Rendon,3B,58,0.358,217,52,6,34,0.24,0.712,LAA,28071428
Brian Goodwin,RF,72,0.444,235,52,8,29,0.221,0.693,CHW,1000000
Taylor Ward,3B,65,0.401,208,52,8,33,0.25,0.769,LAA,590500
Chad Pinder,SS,75,0.463,214,52,6,27,0.243,0.712,OAK,2275000
Pat Valaika,SS,91,0.562,259,52,5,25,0.201,0.54,BAL,875000
Cody Bellinger,CF,95,0.586,315,52,10,36,0.165,0.542,LAD,16100000
Jonah Heim,C,82,0.506,265,52,10,32,0.196,0.598,TEX,574000
Brett Phillips,RF,119,0.735,253,51,13,44,0.202,0.712,TB,584400
Luke Voit,1B,68,0.42,213,51,11,35,0.239,0.764,NYY,4700000
J.D. Davis,3B,73,0.451,179,51,5,23,0.285,0.82,NYM,2100000
Billy McKinney,OF,116,0.716,265,51,9,27,0.193,0.638,LAD,578100
Connor Joe,1B,63,0.391,179,51,8,35,0.285,0.848,COL,570500
Reese McGuire,C,78,0.482,198,50,1,10,0.253,0.654,TOR,570500
Brock Holt,2B,77,0.475,235,49,2,23,0.209,0.579,TEX,1750000
Willians Astudillo,C,73,0.451,208,49,7,21,0.236,0.634,MIN,573500
Jon Berti,2B,85,0.525,233,49,4,19,0.21,0.624,MIA,607500
Nick Gordon,SS,73,0.451,200,48,4,23,0.24,0.647,MIN,570500
Jorge Mateo,SS,89,0.549,194,48,4,14,0.247,0.67,BAL,571800
Magneuris Sierra,CF,123,0.759,209,48,0,5,0.23,0.549,MIA,571375
Dan Vogelbach,1B,93,0.574,215,47,9,24,0.219,0.73,MIL,1400000
Austin Nola,C,56,0.346,173,47,2,29,0.272,0.716,SD,571500
Travis d'Arnaud,C,60,0.373,209,46,7,26,0.22,0.671,ATL,8000000
Sam Hilliard,OF,82,0.509,214,46,14,34,0.215,0.757,COL,575500
Ehire Adrianza,SS,109,0.677,182,45,5,28,0.247,0.728,ATL,1500000
Kevin Plawecki,C,64,0.395,157,45,3,15,0.287,0.737,BOS,1600000
Carter Kieboom,3B,62,0.383,217,45,6,20,0.207,0.619,WSH,570500
Jake Fraley,OF,78,0.482,214,45,9,36,0.21,0.721,SEA,572100
Sergio Alcantara,2B,89,0.549,220,45,5,17,0.205,0.63,CHC,570500
Nico Hoerner,2B,44,0.272,149,45,0,16,0.302,0.751,CHC,570500
Travis Shaw,1B,84,0.519,220,44,9,39,0.2,0.659,BOS,1500000
Andrew Stevenson,OF,109,0.673,192,44,5,23,0.229,0.632,WSH,579100
D.J. Peters,OF,70,0.432,223,44,13,38,0.197,0.663,TEX,575000
Christian Arroyo,SS,57,0.352,164,44,6,25,0.268,0.787,BOS,581500
Austin Barnes,C,77,0.475,200,43,6,23,0.215,0.644,LAD,1650000
Dom Nunez,C,81,0.503,228,43,10,33,0.189,0.692,COL,572500
Stephen Vogt,C,78,0.485,210,41,7,25,0.195,0.616,ATL,3500000
Zack Collins,C,78,0.482,195,41,4,26,0.21,0.669,CHW,575000
Danny Jansen,C,70,0.432,184,41,11,28,0.223,0.772,TOR,601800
Gavin Sheets,1B,54,0.333,160,40,11,34,0.25,0.83,CHW,570500
Alejandro Kirk,C,60,0.37,165,40,8,24,0.242,0.764,TOR,573500
Mike Trout,CF,36,0.222,117,39,8,18,0.333,1.09,LAA,37166667
Kole Calhoun,RF,51,0.315,166,39,5,17,0.235,0.67,ARI,8000000
Miguel Andujar,3B,45,0.278,154,39,6,12,0.253,0.667,NYY,639000
Mike Moustakas,3B,62,0.383,183,38,6,22,0.208,0.653,CIN,14000000
Stephen Piscotty,RF,72,0.444,173,38,5,16,0.22,0.635,OAK,7583333
Brent Rooker,OF,58,0.358,189,38,9,16,0.201,0.688,MIN,570500
Jake Meyers,OF,49,0.303,146,38,6,28,0.26,0.761,HOU,570500
Sandy Leon,C,84,0.519,202,37,4,14,0.183,0.505,MIA,1250000
Derek Hill,OF,49,0.303,139,36,3,14,0.259,0.702,DET,570500
Max Schrock,SS,53,0.327,125,36,3,14,0.288,0.776,CIN,570500
Matt Carpenter,3B,130,0.803,207,35,3,21,0.169,0.581,STL,18500000
Eli White,OF,64,0.395,198,35,6,15,0.177,0.567,TEX,572500
Kyle Higashioka,C,67,0.414,193,35,10,29,0.181,0.635,NYY,594000
Luis Guillorme,SS,69,0.426,132,35,1,5,0.265,0.685,NYM,580701
Luis Rengifo,SS,54,0.333,174,35,6,18,0.201,0.556,LAA,570500
Jose Rojas,3B,61,0.377,168,35,6,15,0.208,0.676,LAA,570500
William Contreras,C,53,0.329,163,35,8,23,0.215,0.701,ATL,570500
Manuel Pina,C,75,0.463,180,34,13,33,0.189,0.732,MIL,1650000
Rob Refsnyder,RF,51,0.315,139,34,2,12,0.245,0.663,MIN,570500
Tomas Nido,C,58,0.358,153,34,3,13,0.222,0.588,NYM,577720
Tyler Wade,2B,103,0.636,127,34,0,5,0.268,0.677,NYY,603000
Clint Frazier,OF,66,0.407,183,34,5,15,0.186,0.633,NYY,2100000
Travis Jankowski,RF,76,0.469,131,33,1,10,0.252,0.715,PHI,570500
Aristides Aquino,RF,84,0.519,174,33,10,23,0.19,0.707,CIN,579000
Shogo Akiyama,CF,88,0.543,162,33,0,12,0.204,0.535,CIN,7000000
Kyle Lewis,CF,36,0.222,130,32,5,11,0.246,0.726,SEA,625000
Jordon Adell,OF,35,0.216,130,32,4,26,0.246,0.703,LAA,570500
Ryan McKenna,CF,90,0.556,169,31,2,14,0.183,0.559,BAL,570500
Jake Cave,LF,76,0.469,164,31,3,13,0.189,0.541,MIN,597500
Anthony Alford,CF,49,0.303,133,31,5,11,0.233,0.717,PIT,582000
Adam Engel,LF,39,0.241,123,31,7,18,0.252,0.832,CHW,1375000
Yonny Hernandez,SS,43,0.265,143,31,0,6,0.217,0.567,TEX,570500
Jordy Mercer,SS,46,0.284,118,30,2,9,0.254,0.671,WSH,1000000
Jose Peraza,SS,64,0.395,142,30,6,20,0.211,0.667,NYM,575000
Michael Chavis,2B,43,0.265,121,30,3,11,0.248,0.655,PIT,575500
Michael Perez,C,70,0.432,210,30,7,21,0.143,0.511,PIT,591500
Adalberto Mondesi,SS,35,0.216,126,29,6,17,0.23,0.723,KC,2525000
Nick Senzel,3B,36,0.222,111,29,1,8,0.261,0.673,CIN,580500
Billy Hamilton,CF,71,0.438,127,28,2,11,0.221,0.62,CHW,1250000
Andrew Knizner,C,63,0.389,161,28,1,9,0.174,0.517,STL,579200
Cameron Gallagher,C,48,0.296,112,28,1,7,0.25,0.628,KC,604000
Leodys Taveras,CF,49,0.303,174,28,3,9,0.161,0.477,TEX,574000
