Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
J.T. Realmuto,0.895,83,0.275,0.82,PHI,5900000
Lorenzo Cain,0.914,48,0.26,0.697,MIL,15025000
Josh Bell,0.883,116,0.277,0.936,PIT,587000
Hunter Dozier,0.858,84,0.279,0.87,KC,567225
Jose Iglesias,0.901,59,0.288,0.724,CIN,2500000
Andrew Benintendi,0.852,68,0.266,0.774,BOS,717500
Matt Chapman,0.963,91,0.247,0.846,OAK,580000
Nick Ahmed,0.982,82,0.254,0.755,ARI,3662500
Michael Conforto,0.932,92,0.257,0.856,NYM,4025000
George Springer,0.753,96,0.292,0.974,HOU,12000000
Miguel Cabrera,0.851,59,0.283,0.745,DET,30000000
Justin Turner,0.84,67,0.29,0.881,LAD,19000000
Giovanny Urshela,0.815,74,0.315,0.89,NYY,555000
Victor Robles,0.963,65,0.255,0.745,WSH,557800
Josh Reddick,0.877,56,0.275,0.728,HOU,13000000
Joey Votto,0.895,47,0.261,0.768,CIN,25000000
Mike Trout,0.84,104,0.292,1.083,LAA,17666667
Miguel Rojas,0.815,46,0.284,0.71,MIA,3155000
Christian Walker,0.938,73,0.259,0.825,ARI,559800
Kolten Wong,0.914,59,0.285,0.784,STL,6500000
Randal Grichuk,0.932,80,0.232,0.738,TOR,8000000
Paul DeJong,0.982,78,0.233,0.762,STL,1666666
Willy Adames,0.944,52,0.254,0.735,TB,562400
Daniel Santana,0.803,81,0.283,0.858,TEX,555000
Christian Vazquez,0.852,72,0.276,0.798,BOS,2850000
Corey Seager,0.833,87,0.272,0.817,LAD,4000000
Kyle Schwarber,0.957,92,0.25,0.871,CHC,3390000
Max Kepler,0.84,90,0.252,0.855,MIN,6000000
Renato Nunez,0.932,90,0.244,0.771,BAL,562000
Ryan Braun,0.889,75,0.285,0.849,MIL,19000000
Jason Heyward,0.914,62,0.252,0.772,CHC,22500000
Colin Moran,0.92,80,0.277,0.751,PIT,579500
Matt Olson,0.784,91,0.268,0.897,OAK,575000
Rhys Hoskins,0.988,85,0.226,0.819,PHI,575000
Kole Calhoun,0.938,74,0.232,0.792,LAA,10500000
Vladimir Guerrero Jr.,0.765,69,0.272,0.772,TOR,555000
J.D. Davis,0.864,57,0.307,0.895,NYM,561420
Yolmer Sanchez,0.926,43,0.252,0.638,CHW,4625000
Eloy Jimenez,0.764,79,0.267,0.829,CHW,1833333
Ramon Laureano,0.759,67,0.288,0.86,OAK,557500
Brett Gardner,0.877,74,0.251,0.829,NYY,7500000
Brandon Belt,0.969,57,0.234,0.742,SF,17200000
Max Muncy,0.877,98,0.251,0.889,LAD,575000
Dansby Swanson,0.79,65,0.251,0.748,ATL,585000
Albert Pujols,0.809,93,0.244,0.734,LAA,28000000
Ryan McMahon,0.87,83,0.25,0.779,COL,560000
Brian Anderson,0.778,66,0.261,0.811,MIA,585000
Omar Narvaez,0.821,55,0.278,0.813,SEA,581200
Marcell Ozuna,0.809,89,0.243,0.804,STL,12250000
Scott Kingery,0.778,55,0.258,0.788,PHI,1500000
Raimel Tapia,0.858,44,0.275,0.724,COL,560000
Dexter Fowler,0.926,67,0.238,0.754,STL,16500000
C.J. Cron,0.772,78,0.253,0.78,MIN,4800000
Mallex Smith,0.827,37,0.228,0.635,SEA,578400
Harold Ramirez,0.735,50,0.276,0.728,MIA,555000
Howie Kendrick,0.753,62,0.344,0.966,WSH,4000000
Evan Longoria,0.803,69,0.254,0.762,SF,14500000
Eric Sogard,0.691,40,0.29,0.81,TB,555000
Nomar Mazara,0.722,66,0.268,0.786,TEX,3300000
Brandon Crawford,0.907,59,0.228,0.654,SF,15200000
Domingo Santana,0.753,69,0.253,0.77,SEA,1950000
Yadier Molina,0.698,57,0.27,0.711,STL,20000000
Ian Desmond,0.864,65,0.255,0.788,COL,15000000
Jorge Alfaro,0.809,57,0.262,0.736,MIA,570000
David Dahl,0.624,61,0.302,0.877,COL,560000
Luke Voit,0.728,62,0.263,0.842,NYY,573200
Todd Frazier,0.821,67,0.251,0.772,NYM,9000000
Joc Pederson,0.92,74,0.249,0.876,LAD,5000000
Mark Canha,0.778,59,0.274,0.916,OAK,2050000
Jackie Bradley Jr.,0.914,62,0.225,0.738,BOS,8550000
Orlando Arcia,0.938,59,0.223,0.633,MIL,565700
Shohei Ohtani,0.654,62,0.287,0.848,LAA,650000
Adalberto Mondesi,0.63,62,0.263,0.715,KC,576000
Luis Arraez,0.568,28,0.334,0.838,MIN,555000
Dee Gordon,0.728,34,0.275,0.663,SEA,13300000
Brian Goodwin,0.84,47,0.262,0.796,LAA,583500
Rougned Odor,0.901,93,0.205,0.721,TEX,7833333
Ji-Man Choi,0.784,63,0.261,0.822,TB,850000
Garrett Cooper,0.667,50,0.281,0.791,MIA,555000
Melky Cabrera,0.821,47,0.28,0.713,PIT,1150000
Khris Davis,0.84,73,0.221,0.681,OAK,16500000
Fernando Tatis Jr.,0.519,53,0.317,0.969,SD,555000
Andrelton Simmons,0.642,40,0.264,0.673,LAA,13000000
David Peralta,0.617,57,0.275,0.804,ARI,7000000
Niko Goodrum,0.714,45,0.248,0.743,DET,670500
Buster Posey,0.704,38,0.257,0.688,SF,22177777
Wil Myers,0.957,53,0.239,0.739,SD,5500000
Aaron Judge,0.63,55,0.273,0.921,NYY,684300
Harold Castro,0.603,38,0.292,0.692,DET,555000
Edwin Encarnacion,0.685,86,0.244,0.875,NYY,21666668
Kevin Kiermaier,0.796,55,0.228,0.674,TB,8166666
Alex Verdugo,0.667,44,0.295,0.817,LAD,560000
Mike Yastrzemski,0.661,55,0.272,0.852,SF,555000
Robinson Cano,0.661,39,0.256,0.736,NYM,24000000
Jurickson Profar,0.858,67,0.218,0.711,OAK,3600000
Tommy Edman,0.568,36,0.304,0.85,STL,555000
Anthony Santander,0.58,59,0.261,0.773,BAL,555000
Eric Thames,0.92,61,0.248,0.851,MIL,6000000
Enrique Hernandez,0.803,64,0.237,0.715,LAD,3725000
Willson Contreras,0.648,64,0.272,0.888,CHC,684000
Yordan Alvarez,0.537,78,0.313,1.067,HOU,555000
Brandon Dixon,0.733,52,0.248,0.725,DET,555000
Chris Taylor,0.765,52,0.262,0.794,LAD,3500000
Dan Vogelbach,0.889,76,0.208,0.78,SEA,558600
Nick Senzel,0.654,42,0.256,0.742,CIN,555000
Teoscar Hernandez,0.772,65,0.23,0.778,TOR,578600
Hunter Renfroe,0.877,64,0.216,0.778,SD,582100
Keston Hiura,0.519,49,0.303,0.938,MIL,555000
Matt Carpenter,0.796,46,0.226,0.726,STL,14750000
Tony Wolters,0.753,42,0.262,0.666,COL,960000
Miguel Sano,0.648,79,0.247,0.923,MIN,2650000
Kyle Seager,0.661,63,0.237,0.784,SEA,19500000
Manuel Margot,0.932,37,0.234,0.691,SD,577100
Jarrod Dyson,0.803,27,0.23,0.633,ARI,4000000
Gary Sanchez,0.654,77,0.232,0.841,NYY,669800
Brandon Drury,0.747,41,0.218,0.642,TOR,1300000
Maikel Franco,0.759,56,0.234,0.705,PHI,5200000
Nicholas Lopez,0.636,30,0.24,0.601,KC,555000
Jesse Winker,0.698,38,0.269,0.83,CIN,580000
Jose Peraza,0.87,33,0.239,0.631,CIN,2775000
Jose Martinez,0.79,42,0.27,0.751,STL,1125000
Delino DeShields,0.728,32,0.249,0.672,TEX,1400000
Stephen Piscotty,0.586,44,0.249,0.72,OAK,7333333
Michael Chavis,0.586,58,0.254,0.766,BOS,555000
Lourdes Gurriel Jr.,0.525,50,0.277,0.869,TOR,1928571
Justin Smoak,0.765,61,0.208,0.748,TOR,8000000
Tommy La Stella,0.506,44,0.295,0.832,LAA,1350000
Christin Stewart,0.646,40,0.234,0.695,DET,556400
Rio Ruiz,0.784,46,0.232,0.682,BAL,558500
Dwight Smith Jr.,0.624,53,0.241,0.708,BAL,560100
Hunter Pence,0.519,59,0.297,0.91,TEX,2000000
Mitch Garver,0.574,67,0.273,0.995,MIN,575000
Luis Rengifo,0.667,33,0.238,0.685,LAA,555000
Rowdy Tellez,0.685,54,0.227,0.742,TOR,555000
Victor Reyes,0.422,25,0.306,0.769,DET,555000
Willie Calhoun,0.519,48,0.269,0.848,TEX,555000
Cavan Biggio,0.617,48,0.235,0.793,TOR,555000
Yandy Diaz,0.494,38,0.267,0.816,TB,558400
Chad Pinder,0.772,45,0.238,0.694,OAK,565000
Albert Almora,0.803,32,0.236,0.651,CHC,615500
Brandon Lowe,0.519,51,0.27,0.85,TB,1000000
Corey Dickerson,0.482,59,0.304,0.906,PHI,8500000
Carlos Correa,0.469,59,0.279,0.926,HOU,5000000
J.P. Crawford,0.574,46,0.226,0.684,SEA,555000
David Bote,0.784,41,0.257,0.785,CHC,571500
Didi Gregorius,0.506,61,0.238,0.718,NYY,11750000
Brock Holt,0.537,31,0.297,0.771,BOS,3575000
Greg Garcia,0.827,31,0.248,0.718,SD,910000
Ben Gamel,0.827,33,0.248,0.71,MIL,567700
Carson Kelly,0.685,47,0.245,0.826,ARI,560000
Cheslor Cuthbert,0.537,40,0.246,0.673,KC,850000
Pedro Severino,0.593,44,0.249,0.74,BAL,563500
Mitch Moreland,0.562,58,0.252,0.835,BOS,6500000
Josh Phegley,0.654,62,0.239,0.693,OAK,1075000
Jesus Aguilar,0.809,50,0.236,0.714,TB,637500
Garrett Hampson,0.648,27,0.248,0.686,COL,557000
Steve Wilkerson,0.735,35,0.225,0.669,BAL,555000
Pablo Sandoval,0.667,41,0.268,0.82,SF,555000
Tucker Barnhart,0.71,40,0.231,0.708,CIN,2937500
Elias Diaz,0.63,28,0.241,0.603,PIT,578500
Logan Forsythe,0.63,39,0.227,0.678,TEX,2000000
Mike Tauchman,0.537,47,0.277,0.865,NYY,557000
Danny Jansen,0.661,43,0.208,0.64,TOR,558700
Donovan Solano,0.5,23,0.33,0.815,SF,555000
Tom Murphy,0.469,40,0.273,0.858,SEA,557500
Byron Buxton,0.543,46,0.262,0.827,MIN,1750000
Harrison Bader,0.796,39,0.205,0.68,STL,578300
Yan Gomes,0.605,43,0.223,0.704,WSH,7083333
Jacoby Jones,0.553,26,0.235,0.74,DET,567100
Jon Berti,0.463,24,0.273,0.755,MIA,555000
Jose Osuna,0.586,36,0.264,0.766,PIT,573500
Cameron Maybin,0.512,32,0.285,0.858,NYY,555000
Jake Marisnick,0.741,34,0.233,0.7,HOU,2212500
Jeimer Candelario,0.584,32,0.204,0.645,DET,555000
Jay Bruce,0.617,59,0.216,0.784,PHI,14000000
Stephen Vogt,0.611,40,0.263,0.804,SF,555000
Dawel Lugo,0.478,26,0.243,0.643,DET,555000
Matt Beaty,0.611,46,0.265,0.775,LAD,555000
Victor Caratini,0.586,34,0.266,0.794,CHC,569500
Gerardo Parra,0.735,48,0.234,0.684,WSH,555000
Austin Romine,0.451,35,0.281,0.748,NYY,1800000
Phillip Ervin,0.58,23,0.271,0.797,CIN,555000
Austin Nola,0.488,31,0.269,0.796,SEA,555000
Ryan O'Hearn,0.648,38,0.195,0.65,KC,557650
Josh Naylor,0.58,32,0.249,0.719,SD,555000
Tyler Flowers,0.525,34,0.229,0.733,ATL,4000000
Austin Riley,0.494,49,0.226,0.75,ATL,555000
Joey Gallo,0.438,49,0.253,0.986,TEX,605500
Bo Bichette,0.284,21,0.311,0.93,TOR,555000
Ronny Rodriguez,0.528,43,0.222,0.693,DET,555000
Steven Duggar,0.457,28,0.234,0.619,SF,558125
Francisco Mejia,0.488,22,0.266,0.754,SD,556300
Clint Frazier,0.426,38,0.267,0.806,NYY,563300
Matt Joyce,0.796,23,0.295,0.858,ATL,1000000
Richie Martin,0.741,23,0.209,0.581,BAL,555000
Adam Haseley,0.42,26,0.266,0.72,PHI,555000
Curtis Granderson,0.852,34,0.183,0.637,MIA,1750000
Yonder Alonso,0.747,37,0.199,0.641,COL,555000
Martin Prado,0.642,15,0.233,0.559,MIA,15000000
Aledmys Diaz,0.426,40,0.271,0.823,HOU,2000000
Ronald Guzman,0.537,36,0.219,0.723,TEX,569500
Chris Davis,0.654,36,0.179,0.601,BAL,21065362
Jason Castro,0.494,30,0.232,0.767,MIN,8000000
Ehire Adrianza,0.519,22,0.272,0.765,MIN,1300000
Juan Lagares,0.821,27,0.213,0.605,NYM,9000000
Joe Wendle,0.463,19,0.231,0.633,TB,570400
Austin Hedges,0.636,36,0.176,0.563,SD,2060000
Adam Engel,0.553,26,0.242,0.687,CHW,571000
Mitch Haniger,0.395,32,0.22,0.778,SEA,590100
Johan Camargo,0.605,32,0.233,0.663,ATL,575000
Ildemaro Vargas,0.574,24,0.269,0.712,ARI,555000
Josh VanMeter,0.593,23,0.237,0.735,CIN,555000
Billy McKinney,0.519,28,0.215,0.696,TOR,559400
Hernan Perez,0.562,18,0.228,0.643,MIL,2500000
Aristides Aquino,0.346,47,0.259,0.891,CIN,555000
Tim Locastro,0.562,17,0.25,0.697,ARI,555000
Aaron Hicks,0.364,36,0.235,0.769,NYY,6285714
Curt Casali,0.519,32,0.251,0.741,CIN,950000
Tony Kemp,0.679,29,0.212,0.671,CHC,583600
David Freese,0.494,29,0.315,1.002,LAD,4500000
Addison Russell,0.506,23,0.237,0.699,CHC,3400000
Willians Astudillo,0.358,21,0.268,0.678,MIN,560000
Jake Cave,0.444,25,0.258,0.805,MIN,572500
Dylan Moore,0.698,28,0.207,0.691,SEA,565000
Tyler White,0.512,23,0.208,0.612,LAD,582900
Jacob Stallings,0.451,13,0.262,0.708,PIT,564000
Dominic Smith,0.556,25,0.283,0.881,NYM,559320
Ender Inciarte,0.401,24,0.246,0.74,ATL,5700000
Gordon Beckham,0.516,15,0.215,0.643,DET,700000
Welington Castillo,0.46,41,0.209,0.684,CHW,7250000
Kevan Smith,0.42,20,0.251,0.71,LAA,572500
Alex Dickerson,0.432,28,0.276,0.82,SF,555000
Ryan Cordell,0.603,24,0.221,0.645,CHW,555000
Isiah Kiner-Falefa,0.401,21,0.238,0.62,TEX,569500
Luis Urias,0.438,24,0.223,0.655,SD,556400
Justin Upton,0.389,40,0.215,0.724,LAA,18000000
Derek Dietrich,0.698,43,0.187,0.79,CIN,2000000
Russell Martin,0.512,20,0.22,0.667,LAD,20000000
Guillermo Heredia,0.549,20,0.226,0.668,TB,782000
Yairo Munoz,0.543,13,0.267,0.653,STL,562000
Ryan Zimmerman,0.321,27,0.257,0.736,WSH,18000000
Mike Zunino,0.556,32,0.165,0.544,TB,4447500
Brandon Nimmo,0.432,29,0.221,0.783,NYM,598285
Daniel Robertson,0.457,19,0.213,0.607,TB,570300
Austin Barnes,0.463,25,0.203,0.633,LAD,575000
Will Smith,0.333,42,0.253,0.907,SF,4225000
Will Smith,0.333,42,0.253,0.907,LAD,555000
Will Smith,0.389,2,1.0,2.0,SF,4225000
Will Smith,0.389,2,1.0,2.0,LAD,555000
Ty France,0.426,24,0.234,0.696,SD,555000
Kyle Farmer,0.605,27,0.23,0.689,CIN,557500
Grayson Greiner,0.36,19,0.203,0.561,DET,558600
Brad Miller,0.488,25,0.26,0.894,PHI,555000
Bubba Starling,0.346,12,0.215,0.572,KC,555000
Ryon Healy,0.29,26,0.237,0.744,SEA,579800
Austin Slater,0.42,21,0.238,0.75,SF,555000
Shed Long,0.259,15,0.263,0.787,SEA,555000
Austin Dean,0.395,21,0.225,0.665,MIA,555000
Nate Lowe,0.309,19,0.263,0.781,TB,555000
Ben Zobrist,0.296,17,0.26,0.671,CHC,12500000
Lewis Brinson,0.463,15,0.173,0.457,MIA,570000
Joey Rickard,0.42,10,0.226,0.669,SF,570000
Travis Demeritte,0.298,10,0.225,0.63,DET,555000
Gregory Polanco,0.265,17,0.242,0.726,PIT,6100000
Matt Duffy,0.284,12,0.252,0.67,TB,2675000
Ian Happ,0.358,30,0.264,0.898,CHC,603500
Marco Hernandez,0.389,11,0.25,0.617,BOS,564000
Tyler O'Neill,0.377,16,0.262,0.723,STL,564000
Mike Ford,0.309,25,0.259,0.909,NYY,555000
Jeff Mathis,0.543,12,0.158,0.433,TEX,3250000
Matt Wieters,0.414,27,0.214,0.702,STL,1500000
Manuel Pina,0.469,25,0.228,0.724,MIL,1600000
Jake Lamb,0.482,30,0.193,0.676,ARI,4825000
Travis Shaw,0.531,16,0.157,0.551,MIL,4675000
Erik Gonzalez,0.327,6,0.254,0.618,PIT,577000
Ryan Goins,0.323,10,0.25,0.681,CHW,975000
Michael Brosseau,0.321,16,0.273,0.781,TB,555000
Trent Grisham,0.315,24,0.231,0.738,MIL,555000
Charlie Culberson,0.667,20,0.259,0.731,ATL,1395000
Chance Sisco,0.364,20,0.21,0.729,BAL,555000
Alex Avila,0.389,24,0.207,0.774,ARI,4250000
Keon Broxton,0.617,16,0.167,0.517,SEA,571765
Nick Solak,0.204,17,0.293,0.884,TEX,555000
Sandy Leon,0.401,19,0.192,0.548,BOS,2475000
Wilmer Difo,0.265,8,0.252,0.628,WSH,581100
Bryan Holaday,0.278,12,0.276,0.772,MIA,1250000
Adam Duvall,0.253,19,0.267,0.882,ATL,2875000
Cesar Puello,0.278,18,0.248,0.74,MIA,555000
Cole Tucker,0.352,13,0.211,0.626,PIT,555000
Sam Travis,0.364,16,0.215,0.656,BOS,558500
Matt Thaiss,0.327,23,0.211,0.714,LAA,555000
Cameron Gallagher,0.284,12,0.246,0.692,KC,557125
Jose Trevino,0.247,13,0.258,0.655,TEX,555000
Isan Diaz,0.303,23,0.173,0.566,MIA,555000
D.J. Stewart,0.272,15,0.238,0.698,BAL,555000
Timmy Lopes,0.259,12,0.27,0.72,SEA,555000
Josh Rojas,0.253,16,0.217,0.624,ARI,555000
Tyler Austin,0.549,24,0.188,0.705,MIL,555000
Andrew Knapp,0.457,8,0.213,0.642,PHI,565000
Reese McGuire,0.185,11,0.299,0.872,TOR,555000
Mauricio Dubon,0.185,9,0.274,0.74,SF,555000
Pablo Reyes,0.444,19,0.203,0.596,PIT,565500
Odubel Herrera,0.241,16,0.222,0.629,PHI,5350000
Meibrys Viloria,0.259,15,0.211,0.544,KC,555000
Derek Fisher,0.358,17,0.185,0.657,TOR,559400
Tomas Nido,0.309,14,0.191,0.547,NYM,556300
Sean Rodriguez,0.469,12,0.223,0.723,PHI,555000
J.T. Riddle,0.315,12,0.189,0.601,MIA,560000
Humberto Arteaga,0.253,4,0.197,0.487,KC,555000
Roman Quinn,0.272,11,0.213,0.668,PHI,559000
Tyler Wade,0.265,11,0.245,0.692,NYY,572000
Willi Castro,0.186,8,0.23,0.624,DET,555000
Michael Taylor,0.327,3,0.25,0.669,WSH,3250000
Cory Spangenberg,0.198,10,0.232,0.635,MIL,1200000
Nico Hoerner,0.124,17,0.282,0.741,CHC,555000
Ryan McBroom,0.142,6,0.293,0.721,KC,555000
Seth Brown,0.161,13,0.293,0.815,OAK,555000
Austin Hays,0.13,13,0.309,0.947,BAL,555000
Nick Martini,0.198,7,0.226,0.653,SD,557500
Sam Hilliard,0.167,13,0.273,1.006,COL,555000
Yonathan Daza,0.272,3,0.206,0.494,COL,555000
Kris Negron,0.247,8,0.247,0.63,LAD,555000
Kyle Lewis,0.111,13,0.268,0.885,SEA,555000
Kelvin Gutierrez,0.124,11,0.26,0.66,KC,555000
Rafael Ortega,0.21,10,0.205,0.578,ATL,555000
Max Stassi,0.327,5,0.136,0.378,LAA,590100
Kyle Tucker,0.136,11,0.269,0.857,HOU,555000
Luke Maile,0.284,9,0.151,0.44,TOR,579000
Richard Urena,0.185,4,0.243,0.597,TOR,562000
Gavin Lux,0.142,9,0.24,0.705,LAD,555000
Giancarlo Stanton,0.111,13,0.288,0.894,NYY,26000000
Philip Gosselin,0.272,7,0.262,0.602,PHI,555000
Brendan Rodgers,0.154,7,0.224,0.522,COL,555000
Abraham Toro-Hernandez,0.154,9,0.218,0.688,HOU,555000
Steven Pearce,0.179,9,0.18,0.503,BOS,6250000
Jedd Gyorko,0.383,9,0.174,0.498,LAD,13000000
Zack Collins,0.168,12,0.186,0.656,CHW,555000
Nick Williams,0.414,5,0.151,0.442,PHI,575000
Thairo Estrada,0.216,12,0.25,0.732,NYY,555000
Jared Walsh,0.216,5,0.203,0.605,LAA,555000
Pat Valaika,0.247,4,0.19,0.572,COL,555000
Matt Skole,0.168,6,0.208,0.511,CHW,555000
Austin Wynns,0.173,5,0.214,0.518,BAL,558000
Luis Guillorme,0.278,3,0.246,0.684,NYM,555960
Jonathan Davis,0.228,6,0.181,0.531,TOR,555000
Kevin Cron,0.241,16,0.211,0.79,ARI,555000
Robel Garcia,0.191,11,0.208,0.775,CHC,555000
Zack Greinke,0.222,8,0.28,0.888,HOU,34500000
Austin Allen,0.21,3,0.215,0.559,SD,555000
Jake Rogers,0.217,8,0.125,0.481,DET,555000
Sheldon Neuse,0.154,7,0.255,0.609,OAK,555000
Steven Brault,0.21,2,0.333,0.777,PIT,574500
Magneuris Sierra,0.093,1,0.35,0.806,MIA,555000
Jacob deGrom,0.21,6,0.2,0.569,NYM,9500000
Steven Matz,0.222,1,0.228,0.509,NYM,2625000
Sean Murphy,0.117,8,0.25,0.916,OAK,555000
Edwin Rios,0.173,8,0.277,1.01,LAD,555000
Stephen Strasburg,0.21,10,0.167,0.422,WSH,39333334
Zack Cozart,0.241,7,0.124,0.322,LAA,12666666
Tim Federowicz,0.179,7,0.16,0.559,TEX,555000
Zack Wheeler,0.191,6,0.211,0.561,NYM,5975000
Kenta Maeda,0.253,6,0.25,0.542,LAD,8525000
Andrew Knizner,0.111,7,0.226,0.67,STL,555000
Kyle Higashioka,0.111,11,0.214,0.675,NYY,562900
Brandon Woodruff,0.167,4,0.267,0.638,MIL,561400
Chad Wallach,0.117,3,0.25,0.708,MIA,555000
Lane Thomas,0.21,12,0.316,1.093,STL,555000
Josh Fuentes,0.148,7,0.218,0.632,COL,555000
Danny Mendick,0.099,4,0.308,0.787,CHW,555000
John Ryan Murphy,0.161,7,0.175,0.659,ATL,900000
Andrew Stevenson,0.185,0,0.367,0.953,WSH,559100
German Marquez,0.179,11,0.229,0.583,COL,1300000
Max Fried,0.247,4,0.196,0.53,ATL,565000
Breyvic Valera,0.105,6,0.234,0.691,TOR,555000
LaMonte Wade,0.161,5,0.196,0.723,MIN,555000
Nick Dini,0.124,6,0.196,0.627,KC,555000
Max Scherzer,0.179,2,0.182,0.364,WSH,37505562
Jake Elmore,0.124,4,0.213,0.479,PIT,555000
Michael Lorenzen,0.654,6,0.208,0.596,CIN,1950000
Jack Flaherty,0.235,4,0.185,0.451,STL,562100
Corban Joseph,0.173,7,0.156,0.441,PIT,555000
Caleb Smith,0.185,3,0.233,0.529,MIA,556500
Michael Perez,0.142,2,0.217,0.672,TB,556700
Jack Mayfield,0.161,5,0.156,0.497,HOU,555000
Jon Lester,0.198,6,0.188,0.556,CHC,27500000
Abraham Almonte,0.105,4,0.29,0.969,ARI,555000
Peter Lambert,0.136,2,0.321,0.709,COL,555000
Alex Blandino,0.142,3,0.25,0.781,CIN,557500
Daniel Palka,0.186,4,0.107,0.372,CHW,567000
Brett Phillips,0.185,6,0.139,0.512,KC,555000
Jason Martin,0.124,2,0.25,0.631,PIT,555000
Adam Wainwright,0.198,2,0.16,0.409,STL,10000000
Madison Bumgarner,0.228,4,0.127,0.458,SF,12000000
Miles Mikolas,0.198,2,0.136,0.288,STL,8750000
Hyun-Jin Ryu,0.185,3,0.157,0.453,LAD,17900000
Kyle Hendricks,0.191,5,0.148,0.36,CHC,7405000
Mason Williams,0.068,2,0.267,0.624,BAL,555000
Tyler Saladino,0.173,8,0.123,0.413,MIL,887500
Rangel Ravelo,0.179,7,0.205,0.666,STL,555000
Taylor Ward,0.124,2,0.191,0.625,LAA,555000
Zach Davies,0.216,3,0.154,0.362,MIL,2600000
Joe Musgrove,0.284,3,0.157,0.424,PIT,582500
Zach Eflin,0.198,2,0.16,0.34,PHI,590000
Brian O'Grady,0.173,3,0.191,0.72,CIN,555000
Jake Arrieta,0.148,4,0.156,0.352,PHI,25000000
Logan Morrison,0.179,3,0.2,0.663,PHI,1000000
Drew Butera,0.099,3,0.163,0.462,COL,555000
Gorkys Hernandez,0.13,2,0.143,0.463,BOS,1000000
Cristhian Adames,0.062,2,0.318,0.739,SF,555000
Sonny Gray,0.21,3,0.152,0.383,CIN,7500000
