Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Andrew Benintendi,OF,148,0.914,579,168,16,87,0.29,0.83,BOS,620500,620500,620500,21904,0.835396,335241,28224,256,7569,0.0841,0.6889
Ozzie Albies,2B,158,0.975,639,167,24,72,0.261,0.757,ATL,555000,555000,555000,24964,0.9506249999999999,408321,27889,576,5184,0.068121,0.573049
Starlin Castro,2B,154,0.957,593,165,12,54,0.278,0.729,MIA,10000000,10857142,10857142,23716,0.9158489999999999,351649,27225,144,2916,0.07728400000000002,0.5314409999999999
Giancarlo Stanton,DH,159,0.982,617,164,38,100,0.266,0.852,NYY,25000000,25000000,25000000,25281,0.964324,380689,26896,1444,10000,0.07075600000000001,0.725904
David Peralta,RF,147,0.907,560,164,30,87,0.293,0.868,ARI,3300000,3300000,3300000,21609,0.8226490000000001,313600,26896,900,7569,0.085849,0.753424
Adam Jones,CF,146,0.901,580,163,15,63,0.281,0.732,BAL,17000000,17333333,17333333,21316,0.811801,336400,26569,225,3969,0.07896100000000002,0.535824
Anthony Rendon,3B,137,0.846,529,163,24,92,0.308,0.909,WSH,12300000,12300000,12300000,18769,0.7157159999999999,279841,26569,576,8464,0.094864,0.826281
Marcell Ozuna,LF,150,0.926,582,163,23,88,0.28,0.758,STL,9000000,9000000,9000000,22500,0.8574760000000001,338724,26569,529,7744,0.07840000000000001,0.574564
Jose Martinez,1B,152,0.938,534,163,17,83,0.305,0.821,STL,560400,560400,560400,23104,0.8798439999999998,285156,26569,289,6889,0.093025,0.6740409999999999
Andrelton Simmons,SS,148,0.914,554,162,11,75,0.292,0.754,LAA,11000000,11000000,11000000,21904,0.835396,306916,26244,121,5625,0.08526399999999999,0.568516
Marcus Semien,SS,159,0.982,632,161,15,70,0.255,0.706,OAK,3125000,3125000,3125000,25281,0.964324,399424,25921,225,4900,0.065025,0.49843599999999993
Eddie Rosario,LF,139,0.858,559,161,24,77,0.288,0.803,MIN,602500,602500,602500,19321,0.7361639999999999,312481,25921,576,5929,0.08294399999999999,0.6448090000000001
Brian Anderson,RF,156,0.969,590,161,11,65,0.273,0.757,MIA,545000,545000,545000,24336,0.9389609999999999,348100,25921,121,4225,0.07452900000000001,0.573049
Anthony Rizzo,1B,154,0.945,566,160,25,101,0.283,0.846,CHC,7000000,7285714,7285714,23716,0.893025,320356,25600,625,10201,0.08008899999999998,0.7157159999999999
Jed Lowrie,2B,157,0.969,596,159,23,99,0.267,0.801,OAK,6000000,6000000,6000000,24649,0.9389609999999999,355216,25281,529,9801,0.071289,0.6416010000000001
Ender Inciarte,CF,156,0.963,597,158,10,61,0.265,0.705,ATL,4000000,4700000,4700000,24336,0.9273689999999999,356409,24964,100,3721,0.07022500000000001,0.49702499999999994
Yulieski Gurriel,1B,136,0.84,537,156,13,85,0.291,0.751,HOU,12000000,12400000,12400000,18496,0.7055999999999999,288369,24336,169,7225,0.08468099999999999,0.564001
Starling Marte,CF,146,0.907,559,155,20,72,0.277,0.787,PIT,7500000,7833333,7833333,21316,0.8226490000000001,312481,24025,400,5184,0.07672900000000002,0.6193690000000001
Eduardo Escobar,3B,152,0.938,566,154,23,84,0.272,0.824,ARI,4850000,4850000,1694875,23104,0.8798439999999998,320356,23716,529,7056,0.07398400000000001,0.6789759999999999
Cesar Hernandez,2B,161,0.994,605,153,15,60,0.253,0.718,PHI,5100000,5100000,5100000,25921,0.988036,366025,23409,225,3600,0.064009,0.515524
Matt Chapman,3B,145,0.895,547,152,24,68,0.278,0.864,OAK,547500,547500,547500,21025,0.801025,299209,23104,576,4624,0.07728400000000002,0.7464959999999999
Corey Dickerson,LF,135,0.839,504,151,13,55,0.3,0.804,PIT,5950000,5950000,5950000,18225,0.7039209999999999,254016,22801,169,3025,0.09,0.6464160000000001
Dee Gordon,2B,142,0.877,556,149,4,36,0.268,0.637,SEA,10500000,10800000,10800000,20164,0.769129,309136,22201,16,1296,0.07182400000000001,0.405769
Freddy Galvis,SS,162,1.0,602,149,13,67,0.248,0.68,SD,6825000,6825000,6825000,26244,1.0,362404,22201,169,4489,0.061503999999999996,0.4624000000000001
Eugenio Suarez,3B,144,0.889,527,149,34,104,0.283,0.892,CIN,2250000,2535714,2535714,20736,0.790321,277729,22201,1156,10816,0.08008899999999998,0.795664
Shin-Soo Choo,DH,146,0.901,560,148,21,62,0.264,0.812,TEX,20000000,20100000,20100000,21316,0.811801,313600,21904,441,3844,0.06969600000000001,0.659344
Xander Bogaerts,SS,136,0.84,513,148,23,103,0.289,0.883,BOS,7050000,7050000,7050000,18496,0.7055999999999999,263169,21904,529,10609,0.08352099999999998,0.779689
Matt Duffy,3B,133,0.821,503,148,4,44,0.294,0.727,TB,930000,930000,930000,17689,0.6740409999999999,253009,21904,16,1936,0.08643599999999999,0.5285289999999999
Mike Trout,CF,140,0.864,471,147,39,79,0.312,1.088,LAA,33250000,34083333,34083333,19600,0.7464959999999999,221841,21609,1521,6241,0.097344,1.1837440000000001
D.J. LeMahieu,2B,129,0.791,533,147,15,62,0.276,0.749,COL,8500000,8500000,8500000,16641,0.625681,284089,21609,225,3844,0.07617600000000001,0.561001
Joe Wendle,2B,139,0.858,487,146,7,61,0.3,0.789,TB,545000,545000,545000,19321,0.7361639999999999,237169,21316,49,3721,0.09,0.6225210000000001
Stephen Piscotty,RF,151,0.932,546,146,27,88,0.267,0.821,OAK,1000000,1333333,1333333,22801,0.8686240000000001,298116,21316,729,7744,0.071289,0.6740409999999999
Andrew McCutchen,RF,155,0.957,569,145,20,65,0.255,0.792,NYY,14750000,14750000,1229165,24025,0.9158489999999999,323761,21025,400,4225,0.065025,0.627264
Matt Carpenter,1B,156,0.963,564,145,36,81,0.257,0.897,STL,13500000,13750000,13750000,24336,0.9273689999999999,318096,21025,1296,6561,0.066049,0.804609
Yolmer Sanchez,3B,155,0.957,600,145,8,55,0.242,0.678,CHW,2350000,2350000,2350000,24025,0.9158489999999999,360000,21025,64,3025,0.058564,0.45968400000000004
Cody Bellinger,1B,162,0.994,557,145,25,76,0.26,0.814,LAD,585000,585000,585000,26244,0.988036,310249,21025,625,5776,0.06760000000000001,0.662596
George Springer,CF,141,0.87,544,144,22,71,0.265,0.78,HOU,12000000,12000000,12000000,19881,0.7569,295936,20736,484,5041,0.07022500000000001,0.6084
Joey Votto,1B,145,0.895,503,143,12,67,0.284,0.837,CIN,25000000,25075000,25075000,21025,0.801025,253009,20449,144,4489,0.08065599999999999,0.700569
Asdrubal Cabrera,2B,148,0.914,546,143,23,75,0.262,0.774,PHI,8250000,8250000,2883075,21904,0.835396,298116,20449,529,5625,0.06864400000000001,0.599076
Matt Olson,1B,162,1.0,580,143,29,84,0.247,0.788,OAK,547500,547500,547500,26244,1.0,336400,20449,841,7056,0.061009,0.620944
Khris Davis,DH,151,0.932,576,142,48,123,0.247,0.874,OAK,10500000,10500000,10500000,22801,0.8686240000000001,331776,20164,2304,15129,0.061009,0.763876
Mallex Smith,LF,141,0.87,480,142,2,40,0.296,0.773,TB,553000,553000,553000,19881,0.7569,230400,20164,4,1600,0.08761599999999999,0.597529
Amed Rosario,SS,154,0.951,554,142,9,51,0.256,0.676,NYM,548940,548940,548940,23716,0.9044009999999999,306916,20164,81,2601,0.065536,0.45697600000000005
Jon Jay,CF,143,0.883,527,141,3,40,0.268,0.678,ARI,3000000,4500000,1887093,20449,0.779689,277729,19881,9,1600,0.07182400000000001,0.45968400000000004
Trey Mancini,LF,156,0.963,582,141,24,58,0.242,0.715,BAL,556500,556500,556500,24336,0.9273689999999999,338724,19881,576,3364,0.058564,0.5112249999999999
Odubel Herrera,CF,148,0.914,550,140,22,71,0.255,0.73,PHI,3000000,3350000,3350000,21904,0.835396,302500,19600,484,5041,0.065025,0.5328999999999999
Ben Zobrist,2B,140,0.859,455,139,9,58,0.306,0.817,CHC,16000000,16500000,16500000,19600,0.737881,207025,19321,81,3364,0.093636,0.6674889999999999
Justin Upton,LF,146,0.901,533,137,30,85,0.257,0.808,LAA,16000000,16000000,16000000,21316,0.811801,284089,18769,900,7225,0.066049,0.6528640000000001
Joe Mauer,1B,127,0.784,486,137,6,48,0.282,0.729,MIN,23000000,23000000,23000000,16129,0.6146560000000001,236196,18769,36,2304,0.07952399999999998,0.5314409999999999
Bryce Harper,CF,160,0.988,550,137,34,100,0.249,0.889,WSH,21625000,21725000,21725000,25600,0.976144,302500,18769,1156,10000,0.062001,0.790321
Rhys Hoskins,LF,153,0.944,558,137,34,96,0.246,0.85,PHI,552500,552500,552500,23409,0.8911359999999999,311364,18769,1156,9216,0.060516,0.7224999999999999
Chris Taylor,SS,155,0.951,536,136,17,63,0.254,0.775,LAD,575000,575000,575000,24025,0.9044009999999999,287296,18496,289,3969,0.064516,0.6006250000000001
Tommy Pham,CF,139,0.858,494,136,21,63,0.275,0.83,TB,570100,570100,190030,19321,0.7361639999999999,244036,18496,441,3969,0.07562500000000001,0.6889
Yoan Moncada,2B,149,0.92,578,136,17,61,0.235,0.714,CHW,555000,555000,555000,22201,0.8464,334084,18496,289,3721,0.055224999999999996,0.5097959999999999
Tim Anderson,SS,153,0.944,567,136,20,64,0.24,0.687,CHW,1000000,1000000,1000000,23409,0.8911359999999999,321489,18496,400,4096,0.0576,0.4719690000000001
Brandon Crawford,SS,151,0.932,531,135,14,54,0.254,0.719,SF,15000000,15200000,15200000,22801,0.8686240000000001,281961,18225,196,2916,0.064516,0.516961
Didi Gregorius,SS,134,0.827,504,135,27,86,0.268,0.829,NYY,8500000,8500000,8500000,17956,0.6839289999999999,254016,18225,729,7396,0.07182400000000001,0.6872409999999999
Jesus Aguilar,1B,149,0.914,492,135,35,108,0.274,0.89,MIL,557200,557200,557200,22201,0.835396,242064,18225,1225,11664,0.07507600000000002,0.7921
Ketel Marte,2B,153,0.944,520,135,14,59,0.26,0.768,ARI,1000000,3000000,3000000,23409,0.8911359999999999,270400,18225,196,3481,0.06760000000000001,0.589824
Matt Kemp,RF,146,0.896,462,134,21,85,0.29,0.818,LAD,21500000,21500000,18000000,21316,0.8028160000000001,213444,17956,441,7225,0.0841,0.6691239999999999
Nelson Cruz,DH,146,0.901,519,133,37,97,0.256,0.85,SEA,14000000,14275000,14275000,21316,0.811801,269361,17689,1369,9409,0.065536,0.7224999999999999
Jurickson Profar,SS,146,0.901,524,133,20,77,0.254,0.792,TEX,1050000,1050000,1050000,21316,0.811801,274576,17689,400,5929,0.064516,0.627264
Derek Dietrich,LF,149,0.926,499,132,16,45,0.265,0.751,MIA,2900000,2900000,2900000,22201,0.8574760000000001,249001,17424,256,2025,0.07022500000000001,0.564001
Jose Abreu,1B,128,0.79,499,132,22,78,0.265,0.798,CHW,13000000,13000000,13000000,16384,0.6241000000000001,249001,17424,484,6084,0.07022500000000001,0.636804
J.T. Realmuto,C,126,0.783,477,132,21,74,0.277,0.825,MIA,2900000,2900000,2900000,15876,0.613089,227529,17424,441,5476,0.07672900000000002,0.6806249999999999
Michael Conforto,RF,153,0.944,543,132,28,82,0.243,0.797,NYM,605094,605094,605094,23409,0.8911359999999999,294849,17424,784,6724,0.059049,0.635209
Ian Desmond,1B,160,0.982,555,131,22,88,0.236,0.729,COL,22000000,22000000,22000000,25600,0.964324,308025,17161,484,7744,0.055695999999999996,0.5314409999999999
Josh Bell,1B,148,0.919,501,131,12,62,0.262,0.768,PIT,572500,572500,572500,21904,0.8445610000000001,251001,17161,144,3844,0.06864400000000001,0.589824
Kyle Seager,3B,156,0.963,583,129,22,78,0.221,0.673,SEA,18500000,19000000,19000000,24336,0.9273689999999999,339889,16641,484,6084,0.048841,0.4529290000000001
Kevin Pillar,CF,142,0.877,512,129,15,59,0.252,0.708,TOR,3250000,3250000,3250000,20164,0.769129,262144,16641,225,3481,0.063504,0.5012639999999999
Albert Almora,CF,153,0.939,444,127,5,41,0.286,0.701,CHC,584500,584500,584500,23409,0.8817209999999999,197136,16129,25,1681,0.08179599999999998,0.4914009999999999
C.J. Cron,DH,140,0.864,501,127,30,74,0.254,0.816,TB,2300000,2300000,2300000,19600,0.7464959999999999,251001,16129,900,5476,0.064516,0.6658559999999999
Ronald Acuna Jr.,LF,111,0.685,433,127,26,64,0.293,0.917,ATL,545000,545000,465870,12321,0.46922500000000006,187489,16129,676,4096,0.085849,0.8408890000000001
Nomar Mazara,RF,130,0.803,489,126,20,77,0.258,0.753,TEX,563560,563560,563560,16900,0.6448090000000001,239121,15876,400,5929,0.066564,0.567009
Johan Camargo,3B,135,0.833,464,126,19,76,0.272,0.806,ATL,555000,555000,555000,18225,0.693889,215296,15876,361,5776,0.07398400000000001,0.6496360000000001
Brett Gardner,LF,140,0.864,530,125,12,45,0.236,0.69,NYY,11000000,11500000,11500000,19600,0.7464959999999999,280900,15625,144,2025,0.055695999999999996,0.4760999999999999
Alex Gordon,LF,142,0.877,506,124,13,54,0.245,0.694,KC,20000000,20000000,20000000,20164,0.769129,256036,15376,169,2916,0.060024999999999995,0.48163599999999995
Miguel Rojas,SS,154,0.957,488,123,11,53,0.252,0.643,MIA,1180000,1180000,1180000,23716,0.9158489999999999,238144,15129,121,2809,0.063504,0.413449
Justin Smoak,1B,147,0.907,505,122,25,77,0.242,0.808,TOR,4125000,4125000,4125000,21609,0.8226490000000001,255025,14884,625,5929,0.058564,0.6528640000000001
Marwin Gonzalez,LF,145,0.895,489,121,16,68,0.247,0.733,HOU,5125000,5125000,5125000,21025,0.801025,239121,14641,256,4624,0.061009,0.537289
Nick Ahmed,SS,153,0.944,516,121,16,70,0.235,0.7,ARI,1275000,1275000,1275000,23409,0.8911359999999999,266256,14641,256,4900,0.055224999999999996,0.48999999999999994
Jonathan Villar,SS,141,0.87,466,121,14,46,0.26,0.709,BAL,2550000,2550000,850020,19881,0.7569,217156,14641,196,2116,0.06760000000000001,0.5026809999999999
Jeimer Candelario,3B,144,0.889,539,121,19,54,0.225,0.71,DET,548300,548300,548300,20736,0.790321,290521,14641,361,2916,0.050625,0.5041
Juan Soto,LF,116,0.716,414,121,22,70,0.292,0.923,WSH,545000,545000,392620,13456,0.512656,171396,14641,484,4900,0.08526399999999999,0.851929
Yadier Molina,C,124,0.765,459,120,20,74,0.261,0.75,STL,20000000,20000000,20000000,15376,0.585225,210681,14400,400,5476,0.068121,0.5625
Salvador Perez,C,129,0.796,510,120,27,80,0.235,0.713,KC,7500000,8700000,8700000,16641,0.6336160000000001,260100,14400,729,6400,0.055224999999999996,0.508369
Travis Shaw,3B,152,0.933,498,120,32,86,0.241,0.825,MIL,567400,567400,567400,23104,0.8704890000000001,248004,14400,1024,7396,0.058080999999999994,0.6806249999999999
Rougned Odor,2B,130,0.803,474,120,18,63,0.253,0.751,TEX,3000000,3333333,3333333,16900,0.6448090000000001,224676,14400,324,3969,0.064009,0.564001
Jason Heyward,RF,128,0.785,440,119,8,57,0.271,0.731,CHC,21500000,28166667,28166667,16384,0.616225,193600,14161,64,3249,0.073441,0.534361
Brian Dozier,2B,151,0.926,553,119,21,72,0.215,0.696,LAD,9000000,9000000,3000000,22801,0.8574760000000001,305809,14161,441,5184,0.046224999999999995,0.48441599999999996
Aaron Hicks,CF,138,0.852,480,119,27,79,0.248,0.833,NYY,2825000,2825000,2825000,19044,0.725904,230400,14161,729,6241,0.061503999999999996,0.693889
Billy Hamilton,CF,153,0.944,504,119,4,29,0.236,0.626,CIN,4600000,4600000,4600000,23409,0.8911359999999999,254016,14161,16,841,0.055695999999999996,0.391876
Max Kepler,CF,156,0.963,532,119,20,58,0.224,0.727,MIN,587500,587500,587500,24336,0.9273689999999999,283024,14161,400,3364,0.050176000000000005,0.5285289999999999
Adrian Beltre,3B,120,0.741,433,118,15,65,0.273,0.763,TEX,18000000,18000000,18000000,14400,0.549081,187489,13924,225,4225,0.07452900000000001,0.582169
Willson Contreras,C,138,0.847,474,118,10,54,0.249,0.73,CHC,604500,604500,604500,19044,0.717409,224676,13924,100,2916,0.062001,0.5328999999999999
Victor Martinez,DH,133,0.821,467,117,9,54,0.251,0.651,DET,18000000,18000000,18000000,17689,0.6740409999999999,218089,13689,81,2916,0.063001,0.42380100000000004
Evan Longoria,3B,126,0.778,480,117,16,54,0.244,0.694,SF,13500000,13500000,12000000,15876,0.605284,230400,13689,256,2916,0.059536,0.48163599999999995
Ian Kinsler,2B,128,0.79,487,117,14,48,0.24,0.681,BOS,11000000,11000000,1833340,16384,0.6241000000000001,237169,13689,196,2304,0.0576,0.4637610000000001
Wilson Ramos,C,111,0.685,382,117,15,70,0.306,0.845,PHI,10500000,10500000,3500024,12321,0.46922500000000006,145924,13689,225,4900,0.093636,0.7140249999999999
Gregory Polanco,RF,131,0.814,461,117,23,81,0.254,0.839,PIT,3500000,4100000,4100000,17161,0.662596,212521,13689,529,6561,0.064516,0.7039209999999999
Maikel Franco,3B,131,0.809,433,117,22,68,0.27,0.78,PHI,2950000,2950000,2950000,17161,0.6544810000000001,187489,13689,484,4624,0.0729,0.6084
Manuel Margot,CF,141,0.87,477,117,8,51,0.245,0.675,SD,556900,556900,556900,19881,0.7569,227529,13689,64,2601,0.060024999999999995,0.45562500000000006
Gleyber Torres,SS,124,0.765,431,117,24,77,0.272,0.82,NYY,545000,545000,474660,15376,0.585225,185761,13689,576,5929,0.07398400000000001,0.6723999999999999
Jose Iglesias,SS,125,0.772,432,116,5,48,0.269,0.699,DET,6275000,6275000,6275000,15625,0.5959840000000001,186624,13456,25,2304,0.07236100000000001,0.48860099999999995
Ryon Healy,1B,134,0.827,493,116,24,73,0.235,0.688,SEA,559200,559200,559200,17956,0.6839289999999999,243049,13456,576,5329,0.055224999999999996,0.47334399999999993
Aaron Judge,RF,112,0.691,413,115,27,67,0.279,0.919,NYY,622300,622300,622300,12544,0.47748099999999993,170569,13225,729,4489,0.07784100000000002,0.8445610000000001
Colin Moran,3B,145,0.901,415,115,11,58,0.277,0.747,PIT,550000,550000,550000,21025,0.811801,172225,13225,121,3364,0.07672900000000002,0.558009
Albert Pujols,DH,117,0.722,465,114,19,64,0.245,0.7,LAA,27000000,30000000,30000000,13689,0.521284,216225,12996,361,4096,0.060024999999999995,0.48999999999999994
Denard Span,LF,137,0.846,437,114,11,58,0.261,0.76,SEA,9000000,12500000,1491923,18769,0.7157159999999999,190969,12996,121,3364,0.068121,0.5776
Gerardo Parra,LF,142,0.871,401,114,6,53,0.284,0.714,COL,10000000,10000000,10000000,20164,0.758641,160801,12996,36,2809,0.08065599999999999,0.5097959999999999
Justin Turner,3B,103,0.632,365,114,14,52,0.312,0.924,LAD,11000000,12000000,12000000,10609,0.399424,133225,12996,196,2704,0.097344,0.8537760000000001
Tucker Barnhart,C,138,0.852,460,114,10,46,0.248,0.699,CIN,4000000,4437500,4437500,19044,0.725904,211600,12996,100,2116,0.061503999999999996,0.48860099999999995
Dansby Swanson,SS,136,0.84,478,114,14,59,0.239,0.699,ATL,565000,565000,565000,18496,0.7055999999999999,228484,12996,196,3481,0.057121,0.48860099999999995
Brandon Nimmo,CF,141,0.87,433,114,17,47,0.263,0.886,NYM,555968,555968,546987,19881,0.7569,187489,12996,289,2209,0.06916900000000001,0.784996
Teoscar Hernandez,LF,136,0.84,476,114,22,57,0.24,0.771,TOR,545000,545000,501030,18496,0.7055999999999999,226576,12996,484,3249,0.0576,0.594441
Buster Posey,C,106,0.654,398,113,5,41,0.284,0.741,SF,21400000,22202777,22202777,11236,0.42771600000000004,158404,12769,25,1681,0.08065599999999999,0.549081
Jackie Bradley Jr.,CF,144,0.889,474,111,13,59,0.234,0.717,BOS,6100000,6100000,6100000,20736,0.790321,224676,12321,169,3481,0.054756000000000006,0.5140889999999999
Aledmys Diaz,SS,130,0.803,422,111,18,55,0.263,0.756,TOR,2000000,2000000,2000000,16900,0.6448090000000001,178084,12321,324,3025,0.06916900000000001,0.571536
Jonathan Schoop,2B,132,0.81,473,110,21,61,0.233,0.682,MIL,8500000,8500000,2833338,17424,0.6561000000000001,223729,12100,441,3721,0.054289000000000004,0.4651240000000001
Jose Pirela,2B,146,0.901,438,109,5,32,0.249,0.645,SD,556200,556200,556200,21316,0.811801,191844,11881,25,1024,0.062001,0.41602500000000003
Niko Goodrum,2B,131,0.809,444,109,16,53,0.246,0.747,DET,545000,545000,545000,17161,0.6544810000000001,197136,11881,256,2809,0.060516,0.558009
Yasiel Puig,RF,126,0.773,405,108,23,63,0.267,0.82,LAD,7500000,9214285,9214285,15876,0.597529,164025,11664,529,3969,0.071289,0.6723999999999999
Robbie Grossman,DH,129,0.796,396,108,5,48,0.273,0.751,MIN,2000000,2000000,2000000,16641,0.6336160000000001,156816,11664,25,2304,0.07452900000000001,0.564001
Rafael Devers,3B,121,0.747,450,108,21,66,0.24,0.731,BOS,564500,564500,564500,14641,0.558009,202500,11664,441,4356,0.0576,0.534361
Yasmani Grandal,C,141,0.865,440,106,24,68,0.241,0.815,LAD,7900000,7900000,7900000,19881,0.748225,193600,11236,576,4624,0.058080999999999994,0.664225
A.J. Pollock,CF,113,0.698,413,106,21,65,0.257,0.8,ARI,7750000,7750000,7750000,12769,0.4872039999999999,170569,11236,441,4225,0.066049,0.6400000000000001
Kris Bryant,3B,102,0.626,389,106,13,52,0.273,0.834,CHC,10850000,10850000,10850000,10404,0.391876,151321,11236,169,2704,0.07452900000000001,0.695556
Yangervis Solarte,3B,122,0.753,468,106,17,54,0.227,0.655,TOR,4000000,4125000,4125000,14884,0.567009,219024,11236,289,2916,0.051529000000000005,0.42902500000000005
Josh Reddick,RF,135,0.833,433,105,17,47,0.243,0.718,HOU,13000000,13000000,13000000,18225,0.693889,187489,11025,289,2209,0.059049,0.515524
Addison Russell,SS,131,0.804,420,105,5,38,0.25,0.657,CHC,3200000,3200000,3200000,17161,0.6464160000000001,176400,11025,25,1444,0.0625,0.43164900000000006
Paul DeJong,SS,115,0.71,436,105,19,68,0.241,0.746,STL,1000000,1166666,1166666,13225,0.5041,190096,11025,361,4624,0.058080999999999994,0.556516
Randal Grichuk,CF,124,0.765,424,104,25,61,0.245,0.803,TOR,2800000,2800000,2800000,15376,0.585225,179776,10816,625,3721,0.060024999999999995,0.6448090000000001
Max Muncy,2B,137,0.841,395,104,35,79,0.263,0.973,LAD,545000,545000,489310,18769,0.7072809999999999,156025,10816,1225,6241,0.06916900000000001,0.9467289999999999
Nick Williams,RF,140,0.864,407,104,17,50,0.256,0.749,PHI,553000,553000,553000,19600,0.7464959999999999,165649,10816,289,2500,0.065536,0.561001
Ryan Braun,LF,126,0.773,405,103,20,64,0.254,0.782,MIL,19000000,20000000,20000000,15876,0.597529,164025,10609,400,4096,0.064516,0.6115240000000001
Kendrys Morales,DH,130,0.803,413,103,21,57,0.249,0.769,TOR,11000000,11000000,11000000,16900,0.6448090000000001,170569,10609,441,3249,0.062001,0.591361
Wilmer Flores,1B,126,0.778,386,103,11,51,0.267,0.736,NYM,3400000,3400000,3400000,15876,0.605284,148996,10609,121,2601,0.071289,0.541696
Enrique Hernandez,LF,145,0.89,402,103,21,52,0.256,0.806,LAD,1600000,1600000,1600000,21025,0.7921,161604,10609,441,2704,0.065536,0.6496360000000001
Joey Gallo,LF,150,0.926,500,103,40,92,0.206,0.81,TEX,560000,560000,560000,22500,0.8574760000000001,250000,10609,1600,8464,0.042435999999999995,0.6561000000000001
Kole Calhoun,RF,137,0.846,491,102,19,57,0.208,0.652,LAA,8500000,8500000,8500000,18769,0.7157159999999999,241081,10404,361,3249,0.043264,0.42510400000000004
Kyle Schwarber,LF,137,0.841,428,102,26,61,0.238,0.823,CHC,604500,604500,604500,18769,0.7072809999999999,183184,10404,676,3721,0.05664399999999999,0.677329
Scott Kingery,SS,147,0.907,452,102,8,35,0.226,0.605,PHI,750000,1000000,1000000,21609,0.8226490000000001,204304,10404,64,1225,0.051076,0.366025
Elvis Andrus,SS,97,0.599,395,101,6,33,0.256,0.675,TEX,15000000,15250000,15250000,9409,0.358801,156025,10201,36,1089,0.065536,0.45562500000000006
