Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Joaquin Arias,0.63,19,0.271,0.627,SF,925000
Kevin Frandsen,0.735,26,0.234,0.637,PHI,850000
Justin Maxwell,0.463,25,0.252,0.764,KC,492500
Jordan Pacheco,0.586,22,0.239,0.588,COL,491000
Brett Wallace,0.488,36,0.221,0.716,HOU,495000
Jordan Schafer,0.58,21,0.247,0.677,ATL,512500
Hank Conger,0.562,21,0.246,0.708,LAA,495000
Jonathan Herrera,0.5,16,0.292,0.701,COL,900000
Travis Snider,0.685,25,0.215,0.614,PIT,505000
John Jaso,0.432,21,0.271,0.759,OAK,1800000
Justin Turner,0.531,16,0.28,0.704,NYM,504547
Jeff Bianchi,0.617,25,0.237,0.564,MIL,490000
Jarrod Dyson,0.537,17,0.258,0.692,KC,506000
Munenori Kawasaki,0.593,24,0.229,0.634,TOR,490000
Kole Calhoun,0.358,32,0.282,0.808,LAA,491000
Greg Dobbs,0.704,22,0.228,0.603,MIA,1600000
Aaron Hicks,0.5,27,0.192,0.597,MIN,490000
Elliot Johnson,0.685,19,0.209,0.538,ATL,520500
Chris Heisey,0.537,23,0.237,0.694,CIN,1325000
Josh Satin,0.463,17,0.279,0.781,NYM,490000
Ryan Flaherty,0.519,27,0.218,0.668,BAL,493500
Nate Freiman,0.494,24,0.274,0.716,OAK,490000
Ryan Sweeney,0.432,19,0.266,0.772,CHC,490000
Xavier Paul,0.599,32,0.244,0.741,CIN,505000
Alex Presley,0.352,15,0.276,0.686,MIN,490000
Corey Dickerson,0.426,17,0.263,0.775,COL,490000
Jonathan Villar,0.358,8,0.243,0.64,HOU,490000
Chris Coghlan,0.432,10,0.256,0.672,MIA,503500
Tyler Flowers,0.519,24,0.195,0.603,CHW,510000
Curtis Granderson,0.377,15,0.229,0.723,NYY,15000000
Danny Valencia,0.321,23,0.304,0.888,BAL,490000
Chris Nelson,0.395,24,0.228,0.6,LAA,491000
Peter Bourjos,0.34,12,0.274,0.71,LAA,512500
Sean Rodriguez,0.589,23,0.246,0.704,TB,1000000
Freddy Galvis,0.432,19,0.234,0.668,PHI,490000
L.J. Hoes,0.29,10,0.282,0.696,HOU,490000
Logan Forsythe,0.463,19,0.214,0.613,SD,499000
Rob Brantly,0.414,18,0.211,0.528,MIA,490000
Ramon Santiago,0.494,14,0.224,0.586,DET,2100000
Chris Getz,0.482,18,0.22,0.561,KC,1050000
Marwin Gonzalez,0.444,14,0.221,0.571,HOU,494400
Ryan Hanigan,0.463,21,0.198,0.567,CIN,2150000
Willie Bloomquist,0.296,14,0.317,0.727,ARI,1900000
Carlos Corporan,0.395,20,0.225,0.648,HOU,495000
Jeff Mathis,0.451,29,0.181,0.535,MIA,1500000
