Jugador,Y,X,Posicion,Estado,Equipos_estado
Scott Baker,-1459.4879381082512,-0.5102568297730847,SP,Illinois,2.0
Scott Feldman,1064.2855185060803,0.6815940677933081,SP,Maryland,1.0
Scott Feldman,-1884.9770493662766,-0.5325287151187511,SP,Texas,2.0
Scott Hairston,565.8913237036058,-0.6143765627745602,RF,New York,2.0
Scott Kazmir,563.1395656365244,0.7012809351157462,SP,California,5.0
Sean Rodriguez,727.4538934351262,0.6280608041514294,2B,Pennsylvania,2.0
Sergio Romo,-797.9959649929149,-0.6409665039853908,RP,California,5.0
Sergio Romo,-14.297040154203842,0.7071067811865476,RP,Florida,2.0
Sergio Romo,-808.8114336003798,0.7598853483087152,RP,Minnesota,1.0
Sergio Romo,602.2732030462998,0.7895928001973276,RP,Minnesota,1.0
Sergio Romo,-179.0237142296694,-0.6285393610547088,RP,Florida,2.0
Shawn Kelley,-529.5402204100733,0.7506654835847382,RP,Washington DC,1.0
Stephen Drew,126.66052937940435,0.7506654835847382,2B,Washington DC,1.0
Stephen Drew,-550.5399294340696,-0.6776918635904803,2B,New York,2.0
Stephen Drew,606.7482026237622,0.7333348921295317,2B,Massachusetts,1.0
Stephen Drew,-1626.3996772946812,-0.6502841466721764,2B,New York,2.0
Steve Cishek,468.28375988486414,0.7166528424781935,RP,Washington,1.0
Steve Cishek,-1839.2170718761195,0.7299546951299288,RP,Illinois,2.0
Steven Pearce,312.8077883856681,0.7100332503077386,LF,Maryland,1.0
Taijuan Walker,1602.6839207971354,0.6902264647495104,SP,Toronto,1.0
Todd Frazier,-1023.1935353088838,-0.6392837207248802,3B,New York,2.0
Tom Gorzelanny,-719.26686530201,-0.5933877766671153,RP,Wisconsin,1.0
Tommy Hunter,-2172.2984595056737,0.6941056083938045,RP,Pennsylvania,2.0
Tony Barnette,-29.3784768902849,0.7681550050616361,RP,Texas,2.0
Tony Sipp,1846.1857929312998,-0.5325287151187511,RP,Texas,2.0
Tony Watson,-793.8453928895698,-0.5535919548310037,RP,California,5.0
Torii Hunter,-271.3214974086791,0.7576767609436587,RF,Michigan,1.0
Travis d'Arnaud,2127.161003900629,0.758931998689661,C,Florida,2.0
Trevor Cahill,1428.7659606819593,0.7468016390580665,RP,Illinois,2.0
Trevor Cahill,-1857.6899834713147,-0.5732004472203629,RP,California,5.0
Trevor Cahill,-118.94099612313948,0.6462848622232977,RP,Missouri,2.0
Trevor Cahill,-799.5828357539478,0.7984359711335656,RP,Illinois,2.0
Trevor Cahill,1816.576365276923,0.7730028489344021,SP,California,5.0
