"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","WAR","TVS","Payroll Salary2022","Cash2022","AAV2022","Earnings2022","Age","Weight","Height",""
"","Gregory Polanco","RF","PIT","131","0.814","122","0.758","461","117","32","6","23","81","0.254","0.340","0.499","0.839","1.88","75.07","$0","$0","$0","$0","26","235","6'5""",""
"","Maikel Franco","3B","PHI","131","0.809","111","0.685","433","117","17","1","22","68","0.270","0.314","0.467","0.780","0.40","37.68","$0","$0","$0","$0","25","225","6'1""",""
"","Gleyber Torres","SS","NYY","124","0.765","119","0.735","431","117","16","1","24","77","0.272","0.340","0.480","0.820","2.91","80.29","$6,250,000","$6,250,000","$6,250,000","$13,280,082","21","205","6'1""",""
"","Ryon Healy","1B","SEA","134","0.827","129","0.796","493","116","15","0","24","73","0.235","0.277","0.412","0.688","-0.62","25.70","$0","$0","$0","$0","26","230","6'4""",""
"","Aaron Judge","RF","NYY","112","0.691","108","0.667","413","115","22","0","27","67","0.279","0.392","0.528","0.919","5.48","98.90","$19,000,000","$19,000,000","$19,000,000","$36,115,671","26","282","6'7""",""
"","Colin Moran","3B","PIT","145","0.901","110","0.683","415","115","19","1","11","58","0.277","0.340","0.407","0.747","0.98","35.78","$1,000,000","$1,000,000","$1,000,000","$9,286,778","25","220","6'4""",""
"","Albert Pujols","DH","LAA","117","0.722","117","0.722","465","114","20","0","19","64","0.245","0.289","0.411","0.700","0.51","5.10","$2,500,000","$2,500,000","$2,500,000","$341,710,741","38","235","6'3""",""
"","Denard Span","LF","SEA","137","0.846","111","0.685","437","114","22","7","11","58","0.261","0.341","0.419","0.760","0.92","31.76","$0","$0","$0","$0","34","210","6'0""",""
"","Dansby Swanson","SS","ATL","136","0.840","132","0.815","478","114","25","4","14","59","0.239","0.304","0.395","0.699","2.34","51.85","$10,000,000","$10,000,000","$10,000,000","$25,445,717","24","190","6'1""",""
"","Brandon Nimmo","CF","NYM","141","0.870","115","0.710","433","114","28","8","17","47","0.263","0.404","0.483","0.886","4.35","94.28","$7,000,000","$7,000,000","$7,000,000","$16,470,086","25","207","6'3""",""
"","Teoscar Hernandez","LF","TOR","136","0.840","119","0.735","476","114","29","7","22","57","0.240","0.302","0.468","0.771","0.17","49.79","$10,650,000","$10,650,000","$10,650,000","$16,522,916","25","205","6'2""",""
"","Buster Posey","C","SF","106","0.654","101","0.624","398","113","22","1","5","41","0.284","0.359","0.382","0.741","2.92","21.05","$0","$0","$0","$0","31","210","6'1""",""
"","Alcides Escobar","SS","KC","140","0.864","139","0.858","485","112","22","3","4","34","0.231","0.279","0.313","0.593","-2.16","8.90","$0","$0","$0","$0","31","185","6'1""",""
"","Aledmys Diaz","SS","TOR","130","0.803","120","0.741","422","111","26","0","18","55","0.263","0.303","0.453","0.756","2.14","42.40","$4,450,000","$4,450,000","$4,450,000","$20,412,963","27","195","6'1""",""
"","Jonathan Schoop","2B","MIL","132","0.810","113","0.693","473","110","22","1","21","61","0.233","0.266","0.416","0.682","1.34","21.22","$7,500,000","$7,500,000","$7,500,000","$35,437,231","26","225","6'1""",""
"","Jose Pirela","2B","SD","146","0.901","103","0.636","438","109","23","2","5","32","0.249","0.300","0.345","0.645","-0.06","14.69","$0","$0","$0","$0","28","220","6'0""",""
"","Niko Goodrum","2B","DET","131","0.809","117","0.722","444","109","29","3","16","53","0.246","0.315","0.432","0.747","1.46","56.19","$0","$0","$0","$0","26","198","6'3""",""
"","Yasiel Puig","RF","LAD","126","0.773","107","0.656","405","108","21","1","23","63","0.267","0.327","0.494","0.820","2.69","68.47","$0","$0","$0","$0","27","240","0'0""",""
"","Robbie Grossman","DH","MIN","129","0.796","105","0.648","396","108","27","1","5","48","0.273","0.367","0.384","0.751","1.45","44.28","$5,000,000","$1,758,272","$5,000,000","$18,670,037","28","216","6'0""",""
"","Rafael Devers","3B","BOS","121","0.747","115","0.710","450","108","24","0","21","66","0.240","0.298","0.433","0.731","0.23","44.92","$11,200,000","$11,200,000","$11,200,000","$19,245,481","21","240","6'0""",""
"","Yasmani Grandal","C","LAD","141","0.865","111","0.681","440","106","23","2","24","68","0.241","0.349","0.466","0.815","3.29","66.07","$18,250,000","$18,250,000","$18,250,000","$83,074,259","29","225","6'2""",""
"","A.J. Pollock","CF","ARI","113","0.698","105","0.648","413","106","21","5","21","65","0.257","0.316","0.484","0.800","2.49","68.30","$14,500,000","$11,500,000","$12,000,000","$66,841,944","30","210","6'1""",""
"","Kris Bryant","3B","CHC","102","0.626","99","0.607","389","106","28","3","13","52","0.273","0.374","0.460","0.834","2.27","63.29","$18,000,000","$24,000,000","$26,000,000","$83,020,737","26","230","6'5""",""
"","Yangervis Solarte","3B","TOR","122","0.753","116","0.716","468","106","20","0","17","54","0.227","0.277","0.378","0.655","-0.74","16.27","$0","$0","$0","$0","30","205","0'0""",""
"","Josh Reddick","RF","HOU","135","0.833","119","0.735","433","105","13","2","17","47","0.243","0.318","0.400","0.718","1.76","22.08","$0","$0","$0","$0","31","197","6'2""",""
"","Addison Russell","SS","CHC","131","0.804","110","0.675","420","105","21","1","5","38","0.250","0.317","0.340","0.657","1.99","26.41","$0","$0","$0","$0","24","200","6'0""",""
"","Paul DeJong","SS","STL","115","0.710","111","0.685","436","105","25","1","19","68","0.241","0.313","0.433","0.746","2.92","70.58","$6,166,666","$6,000,000","$4,333,333","$14,790,556","24","205","6'0""",""
"","Randal Grichuk","CF","TOR","124","0.765","111","0.685","424","104","32","1","25","61","0.245","0.301","0.502","0.803","2.16","64.48","$10,333,333","$3,950,000","$10,400,000","$40,587,869","26","216","6'2""",""
"","Max Muncy","2B","LAD","137","0.841","102","0.626","395","104","17","2","35","79","0.263","0.391","0.582","0.973","4.24","97.42","$13,000,000","$11,500,000","$8,666,667","$25,787,562","27","215","6'0""",""
"","Nick Williams","RF","PHI","140","0.864","102","0.630","407","104","12","3","17","50","0.256","0.324","0.425","0.749","-1.03","25.69","$0","$0","$0","$0","24","195","6'3""",""
