"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","WAR","TVS","Payroll Salary2022","Cash2022","AAV2022","Earnings2022","Age","Weight","Height",""
"","Miguel Cabrera","1B","DET","38","0.235","37","0.228","134","40","11","0","3","22","0.299","0.395","0.448","0.843","0.23","0.00","$32,000,000","$32,000,000","$31,000,000","$353,023,111","35","249","6'4""",""
"","Greg Garcia","2B","STL","114","0.704","34","0.210","181","40","6","0","3","15","0.221","0.309","0.304","0.613","0.26","7.15","$0","$0","$0","$0","28","200","6'0""",""
"","Cedric Mullins","CF","BAL","45","0.278","43","0.265","170","40","9","0","4","11","0.235","0.312","0.359","0.671","-0.15","0.00","$716,500","$716,500","$716,500","$1,854,750","23","175","5'8""",""
"","Jeff Mathis","C","ARI","69","0.426","61","0.377","195","39","9","1","1","20","0.200","0.272","0.272","0.544","0.17","0.00","$0","$0","$0","$0","35","205","6'0""",""
"","Jarrod Dyson","RF","ARI","67","0.414","56","0.346","206","39","4","2","2","12","0.189","0.282","0.257","0.539","0.12","0.00","$0","$0","$0","$0","33","165","5'9""",""
"","Ryan O'Hearn","1B","KC","45","0.278","42","0.259","149","39","10","2","12","30","0.262","0.353","0.597","0.950","1.07","0.00","$1,300,000","$1,300,000","$1,300,000","$2,819,559","24","200","6'3""",""
"","Preston Tucker","RF","ATL","97","0.599","36","0.222","166","38","11","0","6","27","0.229","0.299","0.404","0.703","-0.09","0.00","$0","$0","$0","$0","27","210","6'0""",""
"","Jesus Sucre","C","TB","73","0.451","52","0.321","182","38","5","0","1","17","0.209","0.247","0.253","0.500","-0.23","0.00","$0","$0","$0","$0","30","200","6'0""",""
"","Brian Goodwin","CF","KC","77","0.475","34","0.210","159","38","6","0","6","25","0.239","0.318","0.390","0.708","-0.16","0.00","$0","$0","$0","$0","27","200","6'0""",""
"","Yoenis Cespedes","CF","NYM","38","0.235","36","0.222","141","37","6","0","9","29","0.262","0.325","0.496","0.821","0.76","0.00","$0","$0","$0","$0","32","220","0'0""",""
"","Andrew Knapp","C","PHI","84","0.519","42","0.259","187","37","6","2","4","15","0.198","0.294","0.316","0.610","-0.30","0.00","$700,000","$134,610","$700,000","$4,377,885","26","189","6'1""",""
"","Mason Williams","CF","CIN","51","0.315","27","0.167","123","36","5","1","2","6","0.293","0.331","0.398","0.729","0.08","0.00","$0","$0","$0","$0","26","195","6'1""",""
"","Steven Duggar","CF","SF","41","0.253","37","0.228","141","36","11","1","2","17","0.255","0.303","0.390","0.693","0.94","0.00","$0","$0","$0","$0","24","189","6'2""",""
"","Chase Utley","2B","LAD","87","0.534","35","0.215","164","35","10","1","1","14","0.213","0.305","0.305","0.610","-0.21","0.00","$0","$0","$0","$0","39","195","6'1""",""
"","Ryan Flaherty","3B","ATL","81","0.500","33","0.204","161","35","6","0","2","13","0.217","0.298","0.292","0.590","-0.97","0.00","$0","$0","$0","$0","31","220","6'3""",""
"","Noel Cuevas","RF","COL","75","0.460","34","0.209","146","34","4","1","2","10","0.233","0.268","0.315","0.583","-1.39","0.00","$0","$0","$0","$0","26","210","0'0""",""
"","Willians Astudillo","C","MIN","30","0.185","23","0.142","93","33","4","1","3","21","0.355","0.371","0.516","0.887","0.81","0.00","$0","$0","$0","$0","26","225","5'9""",""
"","Franchy Cordero","OF","SD","40","0.247","36","0.222","139","33","5","1","7","19","0.237","0.307","0.439","0.746","-0.09","0.00","$825,000","$630,087","$825,000","$2,774,332","23","175","6'3""",""
"","Pedro Severino","C","WSH","70","0.432","56","0.346","190","32","9","0","2","15","0.168","0.254","0.247","0.501","-1.07","0.00","$0","$0","$0","$0","24","235","6'1""",""
"","Dominic Smith","1B","NYM","56","0.346","33","0.204","143","32","11","1","5","11","0.224","0.255","0.420","0.675","-0.63","0.00","$0","$0","$0","$0","23","239","6'0""",""
"","Drew Butera","C","COL","62","0.380","49","0.301","163","31","9","0","3","21","0.190","0.264","0.301","0.564","-0.66","0.00","$0","$0","$0","$0","34","205","6'1""",""
"","Bryan Holaday","C","MIA","61","0.379","37","0.230","151","31","5","0","1","16","0.205","0.261","0.258","0.519","0.13","0.00","$0","$0","$0","$0","30","215","6'0""",""
"","Tyler Saladino","SS","MIL","58","0.356","30","0.184","126","31","4","0","5","16","0.246","0.299","0.397","0.696","-0.01","0.00","$0","$0","$0","$0","28","200","6'0""",""
"","Alex Blandino","SS","CIN","69","0.426","26","0.161","128","30","4","0","1","8","0.234","0.324","0.289","0.613","-0.17","0.00","$0","$0","$0","$0","25","190","6'0""",""
"","Billy McKinney","OF","TOR","38","0.235","33","0.204","119","30","7","0","6","13","0.252","0.318","0.462","0.780","-0.13","0.00","$0","$0","$0","$0","23","205","6'1""",""
"","Jose Briceno","C","LAA","48","0.220","35","0.161","122","30","2","0","5","12","0.246","0.308","0.385","0.694","1.04","0.00","$0","$0","$0","$0","25","225","6'1""",""
"","Kelby Tomlinson","2B","SF","63","0.389","31","0.191","140","29","4","2","0","10","0.207","0.265","0.264","0.529","-0.06","0.00","$0","$0","$0","$0","28","175","6'2""",""
"","Spencer Kieboom","C","WSH","52","0.321","39","0.241","125","29","5","0","2","13","0.232","0.322","0.320","0.642","0.42","0.00","$0","$0","$0","$0","27","220","6'0""",""
"","Chance Sisco","C","BAL","64","0.395","44","0.272","160","29","8","0","2","16","0.181","0.288","0.269","0.557","-0.15","0.00","$0","$0","$0","$0","23","210","6'3""",""
"","Richard Urena","SS","TOR","40","0.247","27","0.167","99","29","4","0","1","6","0.293","0.340","0.364","0.703","0.47","0.00","$0","$0","$0","$0","22","195","6'0""",""
"","Ronald Torreyes","2B","NYY","45","0.278","24","0.148","100","28","7","1","0","7","0.280","0.294","0.370","0.664","0.28","0.00","$0","$0","$0","$0","25","151","5'8""",""
"","Austin Wynns","C","BAL","42","0.259","33","0.204","110","28","2","0","4","11","0.255","0.287","0.382","0.669","0.34","0.00","$700,000","$457,674","$700,000","$1,407,769","27","190","6'0""",""
"","Francisco Pena","C","STL","58","0.358","30","0.185","133","27","3","0","2","8","0.203","0.239","0.271","0.510","-0.98","0.00","$0","$0","$0","$0","28","230","6'2""",""
"","Ryan Rua","RF","TEX","62","0.383","39","0.241","139","27","3","1","6","12","0.194","0.221","0.360","0.580","-0.71","0.00","$0","$0","$0","$0","28","205","6'2""",""
"","Corey Seager","SS","LAD","26","0.160","24","0.147","101","27","5","1","2","13","0.267","0.348","0.396","0.744","0.42","0.00","$33,000,000","$37,500,000","$32,500,000","$62,190,784","24","215","6'4""",""
"","Carlos Tocci","LF","TEX","66","0.407","36","0.222","120","27","3","2","0","5","0.225","0.271","0.283","0.555","-1.33","0.00","$0","$0","$0","$0","22","160","6'2""",""
"","Andrew Romine","SS","SEA","75","0.463","29","0.179","119","25","2","1","0","2","0.210","0.260","0.244","0.504","-0.13","0.00","$0","$0","$0","$0","32","190","6'1""",""
"","Brett Phillips","RF","KC","51","0.315","35","0.216","134","25","4","3","2","11","0.187","0.252","0.306","0.558","0.02","0.00","$0","$0","$0","$0","24","195","6'0""",""
"","J.P. Crawford","SS","PHI","49","0.303","36","0.222","117","25","6","3","3","12","0.214","0.319","0.393","0.712","0.21","0.00","$6,000,000","$10,000,000","$10,200,000","$15,546,137","23","180","6'2""",""
"","Austin Dean","LF","MIA","35","0.217","32","0.199","113","25","4","0","4","14","0.221","0.279","0.363","0.642","-0.30","0.00","$0","$0","$0","$0","24","215","6'0""",""
"","Bobby Wilson","C","CHC","47","0.290","45","0.278","135","24","8","0","2","16","0.178","0.242","0.281","0.523","0.11","0.00","$0","$0","$0","$0","35","230","6'0""",""
"","Yadiel Rivera","2B","MIA","111","0.689","28","0.174","139","24","3","0","1","9","0.173","0.269","0.216","0.485","-0.58","1.49","$0","$0","$0","$0","26","185","6'3""",""
"","Taylor Ward","C","LAA","40","0.247","39","0.241","135","24","3","0","6","15","0.178","0.245","0.333","0.578","-0.01","0.00","$720,000","$720,000","$720,000","$3,085,139","24","200","6'1""",""
"","Jose Osuna","1B","PIT","51","0.317","22","0.137","106","24","9","0","3","11","0.226","0.252","0.396","0.648","-0.12","0.00","$0","$0","$0","$0","25","240","6'2""",""
"","Jose Rondon","SS","CHW","42","0.259","23","0.142","100","23","6","0","6","14","0.230","0.280","0.470","0.750","0.52","0.00","$0","$0","$0","$0","24","195","6'1""",""
"","Willie Calhoun","LF","TEX","35","0.216","26","0.161","99","22","5","0","2","11","0.222","0.269","0.333","0.602","-0.69","0.00","$0","$0","$0","$0","23","187","5'8""",""
"","Rowdy Tellez","1B","TOR","23","0.142","17","0.105","70","22","9","0","4","14","0.314","0.329","0.614","0.943","0.39","0.00","$1,940,000","$1,940,000","$1,940,000","$4,388,349","23","255","6'4""",""
"","Tom Murphy","C","COL","38","0.233","20","0.123","93","21","7","1","2","11","0.226","0.250","0.387","0.637","-0.25","0.00","$1,575,000","$1,575,000","$1,575,000","$4,362,283","27","218","6'1""",""
"","Grayson Greiner","C","DET","30","0.185","30","0.185","96","21","6","0","0","12","0.219","0.328","0.281","0.609","0.04","0.00","$0","$0","$0","$0","25","239","6'6""",""
"","Brandon Dixon","2B","CIN","74","0.457","21","0.130","118","21","6","0","5","10","0.178","0.218","0.356","0.574","-0.55","0.00","$0","$0","$0","$0","26","215","0'0""",""
"","Chase d'Arnaud","3B","SF","42","0.259","20","0.124","93","20","5","0","3","9","0.215","0.253","0.366","0.618","0.06","0.00","$0","$0","$0","$0","31","205","6'1""",""
"","Juan Lagares","CF","NYM","30","0.185","13","0.080","59","20","1","1","0","6","0.339","0.375","0.390","0.765","1.01","0.00","$0","$0","$0","$0","29","215","6'1""",""
"","Cheslor Cuthbert","3B","KC","30","0.185","28","0.173","103","20","2","0","3","7","0.194","0.282","0.301","0.583","-0.32","0.00","$0","$0","$0","$0","25","210","6'1""",""
"","Aramis Garcia","C","SF","20","0.067","18","0.060","67","20","1","0","4","11","0.299","0.319","0.493","0.811","0.58","0.00","$700,000","$700,000","$700,000","$2,636,041","25","228","6'2""",""
"","Alex Verdugo","OF","LAD","37","0.227","16","0.098","77","20","6","0","1","4","0.260","0.329","0.377","0.706","0.41","0.00","$3,550,000","$3,550,000","$3,550,000","$6,125,201","22","192","6'0""",""
"","Drew Robinson","LF","TEX","48","0.296","30","0.185","109","20","3","0","3","9","0.184","0.288","0.294","0.582","-0.52","0.00","$0","$0","$0","$0","26","200","6'1""",""
"","David Freitas","C","SEA","36","0.222","32","0.198","93","20","6","0","1","5","0.215","0.277","0.312","0.589","-0.19","0.00","$0","$0","$0","$0","29","250","6'2""",""
"","Dawel Lugo","SS","DET","27","0.167","26","0.161","94","20","4","1","1","8","0.213","0.267","0.309","0.576","0.48","0.00","$0","$0","$0","$0","23","220","6'0""",""
"","Danny Jansen","C","TOR","31","0.191","24","0.148","81","20","6","0","3","8","0.247","0.347","0.432","0.779","0.66","0.00","$1,950,000","$1,950,000","$1,950,000","$3,572,148","23","225","6'2""",""
"","Chris Young","RF","LAA","59","0.364","33","0.204","113","19","2","1","6","13","0.168","0.252","0.363","0.615","-0.58","0.00","$0","$0","$0","$0","34","200","6'2""",""
"","Josh Phegley","C","OAK","40","0.247","27","0.167","93","19","7","0","2","15","0.204","0.255","0.344","0.599","0.30","0.00","$0","$0","$0","$0","30","225","0'0""",""
"","Kevin Newman","SS","PIT","31","0.193","24","0.149","91","19","2","0","0","6","0.209","0.247","0.231","0.478","-0.89","0.00","$1,950,000","$1,950,000","$1,950,000","$5,633,428","24","185","6'0""",""
"","Andrew Stevenson","OF","WSH","57","0.352","10","0.062","75","19","2","0","1","13","0.253","0.306","0.320","0.626","-0.18","0.00","$0","$0","$0","$0","24","192","6'0""",""
"","Pat Valaika","SS","COL","69","0.423","25","0.153","122","19","5","0","2","5","0.156","0.214","0.246","0.460","-1.32","0.00","$0","$0","$0","$0","25","200","6'0""",""
"","Chris Herrmann","C","SEA","36","0.222","21","0.130","76","18","4","2","2","7","0.237","0.322","0.421","0.743","0.50","0.00","$0","$0","$0","$0","30","200","6'0""",""
"","Peter O'Brien","LF","MIA","22","0.137","17","0.106","66","18","5","0","4","10","0.273","0.338","0.530","0.868","0.65","0.00","$0","$0","$0","$0","27","235","6'4""",""
"","German Marquez","SP","COL","33","0.203","33","0.203","60","18","0","0","1","5","0.300","0.300","0.350","0.650","4.67","90.91","$11,300,000","$11,000,000","$8,600,000","$24,053,538","23","230","6'1""",""
"","Dan Vogelbach","1B","SEA","37","0.228","26","0.161","87","18","2","0","4","13","0.207","0.324","0.368","0.691","0.17","0.00","$800,000","$329,700","$1,000,000","$4,952,630","25","270","6'0""",""
"","J.D. Davis","3B","HOU","42","0.259","25","0.154","103","18","2","0","1","5","0.175","0.248","0.223","0.471","-0.78","0.00","$2,760,000","$970,560","$2,760,000","$7,168,133","25","218","6'3""",""
"","Max Scherzer","SP","WSH","35","0.216","33","0.204","70","17","2","0","0","6","0.243","0.274","0.271","0.545","8.75","92.95","$43,333,333","$43,333,333","$43,333,333","$197,908,333","33","208","6'3""",""
"","Victor Robles","OF","WSH","21","0.130","12","0.074","59","17","3","1","3","10","0.288","0.349","0.525","0.874","0.42","0.00","$1,650,000","$1,650,000","$1,650,000","$3,309,594","21","190","6'0""",""
"","Jordan Luplow","RF","PIT","37","0.230","21","0.130","92","17","1","3","3","7","0.185","0.272","0.359","0.631","0.28","0.00","$0","$0","$0","$0","24","195","6'1""",""
"","Pablo Reyes","LF","PIT","18","0.112","13","0.081","58","17","2","0","3","7","0.293","0.349","0.483","0.832","0.30","0.00","$0","$0","$0","$0","24","175","5'8""",""
"","Pedro Florimon","SS","PHI","50","0.309","10","0.062","71","16","6","1","2","5","0.225","0.276","0.423","0.699","-0.29","0.00","$0","$0","$0","$0","31","185","6'2""",""
"","Christin Stewart","OF","DET","17","0.105","16","0.099","60","16","1","1","2","10","0.267","0.375","0.417","0.792","-0.05","0.00","$0","$0","$0","$0","24","205","6'0""",""
"","Kyle Farmer","C","LAD","39","0.239","14","0.086","68","16","4","1","0","9","0.235","0.312","0.324","0.635","0.20","0.00","$3,155,000","$3,155,000","$3,155,000","$4,908,540","27","205","6'0""",""
"","Tzu-Wei Lin","SS","BOS","37","0.228","13","0.080","65","16","6","1","1","6","0.246","0.329","0.415","0.744","-0.05","0.00","$0","$0","$0","$0","24","155","5'9""",""
"","Adrian Sanchez","2B","WSH","28","0.173","13","0.080","58","16","2","1","0","3","0.276","0.288","0.345","0.633","0.08","0.00","$0","$0","$0","$0","27","208","6'0""",""
"","Matt Holliday","OF","COL","25","0.153","14","0.086","53","15","2","0","2","3","0.283","0.415","0.434","0.849","0.13","0.00","$0","$0","$0","$0","38","250","6'4""",""
"","Zack Greinke","SP","ARI","34","0.210","33","0.204","64","15","4","0","0","5","0.234","0.269","0.297","0.566","4.15","49.80","$13,000,000","$13,000,000","$13,000,000","$277,455,276","34","200","6'2""",""
"","Pete Kozma","SS","DET","27","0.167","20","0.124","69","15","4","1","1","8","0.217","0.236","0.348","0.584","0.45","0.00","$0","$0","$0","$0","30","190","6'0""",""
"","Kaleb Cowart","3B","LAA","47","0.290","32","0.198","112","15","7","1","1","10","0.134","0.210","0.241","0.451","-1.17","0.00","$0","$0","$0","$0","26","225","6'3""",""
"","Keon Broxton","RF","MIL","51","0.313","17","0.104","78","14","2","2","4","11","0.180","0.281","0.410","0.691","1.74","0.00","$0","$0","$0","$0","28","200","6'3""",""
"","Tomas Nido","C","NYM","34","0.210","24","0.148","84","14","3","0","1","9","0.167","0.200","0.238","0.438","-0.48","0.00","$890,000","$890,000","$890,000","$2,706,075","24","210","6'0""",""
"","John Andreoli","OF","BAL","26","0.161","19","0.117","61","14","2","0","0","4","0.230","0.284","0.262","0.546","0.19","0.00","$0","$0","$0","$0","28","215","6'1""",""
"","Brandon Drury","2B","TOR","26","0.161","21","0.130","77","13","4","0","1","10","0.169","0.256","0.260","0.516","-0.29","0.00","$900,000","$316,480","$900,000","$4,954,730","25","215","6'2""",""
"","Cameron Gallagher","C","KC","22","0.136","20","0.124","63","13","3","0","1","7","0.206","0.250","0.302","0.552","0.02","0.00","$0","$0","$0","$0","25","230","6'3""",""
"","Isaac Galloway","RF","MIA","43","0.267","13","0.081","64","13","3","0","3","7","0.203","0.301","0.391","0.692","0.61","0.00","$0","$0","$0","$0","28","205","6'2""",""
"","Patrick Wisdom","3B","STL","32","0.198","8","0.049","50","13","1","0","4","10","0.260","0.362","0.520","0.882","0.59","0.00","$730,000","$730,000","$730,000","$2,079,259","26","220","6'2""",""
"","Chris Gimenez","C","MIN","25","0.154","18","0.111","57","12","1","0","2","7","0.211","0.288","0.333","0.621","-0.07","0.00","$0","$0","$0","$0","35","230","6'2""",""
"","Patrick Corbin","SP","ARI","33","0.204","33","0.204","61","12","1","0","0","5","0.197","0.222","0.213","0.435","4.58","91.42","$23,416,666","$23,000,000","$23,333,333","$85,475,037","28","220","6'4""",""
"","Kyle Higashioka","C","NYY","29","0.179","20","0.124","72","12","2","0","3","6","0.167","0.241","0.319","0.560","-0.19","0.00","$935,000","$935,000","$935,000","$3,205,335","28","202","6'1""",""
"","Michael Hermosillo","OF","LAA","31","0.191","17","0.105","57","12","4","0","1","1","0.211","0.274","0.333","0.608","-0.14","0.00","$707,000","$707,000","$707,000","$1,446,953","23","205","6'0""",""
"","Clayton Kershaw","SP","LAD","27","0.166","26","0.160","46","11","2","0","0","7","0.239","0.340","0.283","0.622","3.29","54.57","$17,000,000","$17,000,000","$17,000,000","$268,342,641","30","225","6'4""",""
"","Zack Wheeler","SP","NYM","29","0.179","29","0.179","56","11","2","0","0","4","0.196","0.193","0.232","0.425","3.91","94.70","$26,000,000","$26,000,000","$23,600,000","$70,305,242","28","195","6'4""",""
"","Tanner Roark","SP","WSH","31","0.191","30","0.185","58","11","2","1","0","8","0.190","0.217","0.259","0.475","2.96","65.82","$0","$0","$0","$0","31","238","6'2""",""
"","Jacob deGrom","SP","NYM","34","0.210","32","0.198","67","11","1","0","0","5","0.164","0.211","0.179","0.390","9.56","99.81","$36,000,000","$18,500,000","$27,500,000","$72,659,998","30","180","6'4""",""
"","Tyler Wade","1B","NYY","36","0.222","15","0.093","66","11","4","0","1","5","0.167","0.214","0.273","0.487","-0.07","0.00","$0","$0","$0","$0","23","188","6'1""",""
"","Carlos Perez","C","TEX","28","0.173","21","0.130","70","10","2","0","1","3","0.143","0.178","0.214","0.392","-0.36","0.00","$0","$0","$0","$0","27","210","6'0""",""
"","D.J. Stewart","OF","BAL","17","0.105","11","0.068","40","10","3","0","3","10","0.250","0.340","0.550","0.890","0.46","0.00","$0","$0","$0","$0","24","230","6'0""",""
"","Chris Shaw","1B","SF","22","0.136","15","0.093","54","10","2","0","1","7","0.185","0.274","0.278","0.552","-0.36","0.00","$0","$0","$0","$0","24","226","6'3""",""
"","Francisco Mejia","C","SD","21","0.130","12","0.074","56","10","2","0","3","8","0.179","0.258","0.375","0.633","0.01","0.00","$1,455,000","$1,455,000","$1,455,000","$3,258,053","22","188","5'8""",""
"","Luis Urias","2B","SD","12","0.074","12","0.074","48","10","1","0","2","5","0.208","0.264","0.354","0.618","0.15","0.00","$2,550,000","$2,550,000","$2,550,000","$3,686,631","21","186","5'9""",""
"","Jhoulys Chacin","SP","MIL","36","0.221","35","0.215","56","9","1","0","0","1","0.161","0.203","0.179","0.382","1.98","70.03","$1,250,000","$1,250,000","$1,250,000","$30,239,595","30","215","6'3""",""
"","Jason Castro","C","MIN","19","0.117","19","0.117","63","9","3","0","1","3","0.143","0.257","0.238","0.495","-0.13","0.00","$4,750,000","$3,750,000","$3,500,000","$51,407,433","31","215","6'3""",""
"","Miles Mikolas","SP","STL","34","0.210","32","0.198","63","9","1","0","2","6","0.143","0.167","0.254","0.421","4.08","93.91","$16,750,000","$15,750,000","$17,000,000","$58,484,870","29","220","6'5""",""
"","Michael Lorenzen","RP","CIN","55","0.340","3","0.019","31","9","1","0","4","10","0.290","0.333","0.710","1.043","1.32","87.66","$6,750,000","$6,750,000","$6,750,000","$17,293,531","26","220","6'3""",""
"","Vincent Velasquez","SP","PHI","32","0.198","30","0.185","40","9","1","0","0","1","0.225","0.225","0.250","0.475","1.89","51.01","$3,000,000","$3,000,000","$3,000,000","$13,139,412","26","205","6'3""",""
"","Kyle Tucker","RF","HOU","28","0.173","15","0.093","64","9","2","1","0","4","0.141","0.236","0.203","0.439","-0.85","0.00","$764,200","$764,200","$764,200","$5,829,182","21","199","6'4""",""
"","Reese McGuire","C","TOR","14","0.086","10","0.062","31","9","3","0","2","4","0.290","0.333","0.581","0.914","0.36","0.00","$722,400","$254,016","$722,400","$3,960,197","23","215","6'0""",""
"","Carlos Martinez","SP","STL","34","0.210","18","0.111","33","8","2","0","1","4","0.242","0.235","0.394","0.629","1.52","48.06","$0","$0","$0","$0","26","190","6'0""",""
"","Gordon Beckham","2B","SEA","22","0.136","12","0.074","44","8","1","0","0","1","0.182","0.250","0.205","0.455","0.53","0.00","$0","$0","$0","$0","31","190","0'0""",""
"","Tyson Ross","SP","STL","34","0.210","23","0.142","41","8","0","0","1","4","0.195","0.209","0.268","0.478","0.21","44.32","$0","$0","$0","$0","31","245","6'6""",""
"","Christian Walker","1B","ARI","37","0.228","5","0.031","49","8","2","0","3","6","0.163","0.226","0.388","0.614","-0.22","0.00","$2,600,000","$2,600,000","$2,600,000","$4,656,810","27","220","6'0""",""
"","Sam Travis","1B","BOS","19","0.117","6","0.037","36","8","3","0","1","7","0.222","0.263","0.389","0.652","-0.21","0.00","$0","$0","$0","$0","24","205","6'0""",""
"","Jacob Stallings","C","PIT","14","0.087","9","0.056","37","8","0","0","0","5","0.216","0.268","0.216","0.485","-0.10","0.00","$2,450,000","$2,450,000","$2,450,000","$5,043,238","28","225","6'5""",""
"","Chad Wallach","C","MIA","15","0.093","13","0.081","45","8","1","0","1","5","0.178","0.275","0.267","0.541","0.09","0.00","$700,000","$184,608","$700,000","$1,718,766","26","246","6'2""",""
"","Steve Wilkerson","3B","BAL","16","0.099","12","0.074","46","8","3","0","0","3","0.174","0.225","0.239","0.464","-0.25","0.00","$0","$0","$0","$0","26","195","6'1""",""
"","Jon Lester","SP","CHC","34","0.209","32","0.196","59","7","0","0","1","9","0.119","0.119","0.169","0.288","3.39","43.53","$0","$0","$0","$0","34","240","6'4""",""
"","Madison Bumgarner","SP","SF","22","0.136","21","0.130","44","7","2","0","0","4","0.159","0.174","0.205","0.378","2.39","69.06","$23,000,000","$23,000,000","$17,000,000","$105,782,222","28","257","6'4""",""
"","Jose Lobaton","C","NYM","22","0.136","14","0.086","49","7","2","1","0","4","0.143","0.246","0.224","0.470","-0.51","0.00","$0","$0","$0","$0","33","212","6'1""",""
"","Julio Teheran","SP","ATL","31","0.191","31","0.191","40","7","0","0","1","4","0.175","0.191","0.250","0.440","1.76","61.94","$0","$0","$0","$0","27","205","6'2""",""
"","Kris Negron","RF","SEA","20","0.124","9","0.056","32","7","0","0","1","4","0.219","0.242","0.313","0.555","0.11","0.00","$0","$0","$0","$0","32","195","6'0""",""
"","Hyun-Jin Ryu","SP","LAD","16","0.098","15","0.092","26","7","1","0","0","2","0.269","0.321","0.308","0.629","2.22","0.00","$20,000,000","$20,000,000","$20,000,000","$101,382,407","31","255","6'3""",""
"","Socrates Brito","LF","ARI","24","0.148","9","0.056","40","7","0","0","1","3","0.175","0.227","0.250","0.477","-0.26","0.00","$0","$0","$0","$0","25","205","6'2""",""
"","Walker Buehler","RP","LAD","24","0.147","23","0.141","43","7","0","0","0","1","0.163","0.200","0.163","0.363","3.39","0.00","$7,250,000","$6,250,000","$4,000,000","$14,162,267","23","185","6'2""",""
"","Jack Flaherty","SP","STL","31","0.191","28","0.173","46","7","0","0","0","0","0.152","0.188","0.152","0.340","2.60","77.82","$5,000,000","$5,000,000","$5,000,000","$12,210,242","22","225","6'4""",""
"","Nick Ciuffo","C","TB","16","0.099","14","0.086","37","7","1","0","1","5","0.189","0.262","0.297","0.559","-0.22","0.00","$0","$0","$0","$0","23","200","6'0""",""
"","Andrew Toles","CF","LAD","17","0.104","5","0.031","30","7","2","0","0","4","0.233","0.281","0.300","0.581","0.10","0.00","$0","$0","$700,000","$2,011,584","26","192","5'9""",""
"","Garrett Cooper","1B","MIA","14","0.087","10","0.062","33","7","1","0","0","2","0.212","0.316","0.242","0.558","0.23","0.00","$2,500,000","$2,500,000","$2,500,000","$5,966,963","27","235","6'5""",""
"","Colby Rasmus","LF","BAL","18","0.111","10","0.062","45","6","1","0","1","1","0.133","0.204","0.222","0.426","-0.25","0.00","$0","$0","$0","$0","31","195","6'2""",""
"","Jake Arrieta","SP","PHI","31","0.191","31","0.191","45","6","0","0","1","3","0.133","0.188","0.200","0.388","2.96","32.43","$0","$0","$0","$0","32","230","6'4""",""
"","Wei-Yin Chen","SP","MIA","27","0.168","26","0.162","40","6","1","0","0","2","0.150","0.150","0.175","0.325","-0.48","13.59","$0","$0","$0","$0","32","200","0'0""",""
"","Lane Adams","RF","ATL","26","0.161","2","0.012","25","6","1","0","2","6","0.240","0.345","0.520","0.865","0.29","0.00","$0","$0","$0","$0","28","220","6'4""",""
"","Anthony DeSclafani","SP","CIN","21","0.130","21","0.130","42","6","0","0","1","4","0.143","0.143","0.214","0.357","0.28","44.02","$12,000,000","$12,000,000","$12,000,000","$25,705,463","28","195","6'1""",""
"","Noah Syndergaard","SP","NYM","25","0.154","25","0.154","47","6","2","0","0","3","0.128","0.143","0.170","0.313","3.96","93.41","$21,000,000","$7,384,640","$21,000,000","$45,418,904","25","240","6'6""",""
"","Kyle Freeland","SP","COL","33","0.203","33","0.203","65","6","2","0","0","2","0.092","0.119","0.123","0.242","8.44","98.86","$7,000,000","$7,000,000","$12,900,000","$16,909,249","25","201","6'4""",""
"","Luke Weaver","SP","STL","35","0.216","25","0.154","38","6","0","0","0","2","0.158","0.180","0.158","0.337","-1.10","20.73","$2,875,000","$1,026,786","$2,875,000","$8,302,240","24","170","6'2""",""
"","Chris Stratton","SP","SF","28","0.173","26","0.161","43","6","1","0","0","5","0.140","0.136","0.163","0.299","-0.84","31.99","$2,700,000","$949,440","$2,700,000","$7,621,649","27","205","6'2""",""
"","Brent Suter","SP","MIL","21","0.129","18","0.110","26","6","2","0","1","3","0.231","0.355","0.423","0.778","-0.26","51.79","$2,700,000","$2,700,000","$2,700,000","$6,467,918","28","213","6'4""",""
"","Dylan Cozens","OF","PHI","26","0.161","8","0.049","38","6","2","0","1","2","0.158","0.273","0.289","0.562","-0.18","0.00","$0","$0","$0","$0","24","245","6'6""",""
"","Luis Castillo","SP","CIN","31","0.191","31","0.191","59","6","1","0","0","2","0.102","0.131","0.119","0.250","1.61","62.39","$7,350,000","$2,705,795","$7,350,000","$13,443,241","25","200","6'2""",""
"","Stephen Strasburg","SP","WSH","22","0.136","22","0.136","41","5","0","0","0","1","0.122","0.163","0.122","0.285","2.64","36.23","$35,000,000","$23,571,428","$35,000,000","$172,648,014","29","235","6'5""",""
"","Wade Miley","SP","MIL","16","0.098","16","0.098","27","5","0","0","0","0","0.185","0.214","0.185","0.399","1.48","0.00","$10,000,000","$10,000,000","$7,500,000","$49,918,222","31","220","6'2""",""
"","Dan Straily","SP","MIA","26","0.162","23","0.143","31","5","1","0","0","1","0.161","0.350","0.194","0.544","0.26","36.28","$0","$0","$0","$0","29","220","6'2""",""
"","Robbie Erlin","RP","SD","40","0.247","12","0.074","23","5","0","0","0","0","0.217","0.250","0.217","0.467","-0.22","0.00","$0","$0","$0","$0","27","190","6'0""",""
"","Steven Matz","SP","NYM","30","0.185","30","0.185","46","5","1","0","2","4","0.109","0.163","0.261","0.424","1.50","55.02","$8,500,000","$10,000,000","$11,000,000","$22,538,438","27","201","6'2""",""
