Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Sean Poppen,P,4,0,8.3,10,7,7,5,9,0,0,0,1.8,7.56,MIN,555000
Jonny Venters,RP,12,1,8.0,12,16,11,10,12,0,1,1,2.75,12.38,WSH,2250000
Adrian Morejon,P,5,2,8.0,15,9,9,3,9,0,0,0,2.25,10.13,SD,555000
Donnie Hart,RP,5,0,7.7,4,0,0,4,3,0,0,0,1.04,0.0,NYM,555000
Keynan Middleton,RP,11,0,7.7,4,1,1,7,6,0,0,0,1.43,1.17,LAA,563500
Ben Heller,RP,6,0,7.3,6,1,1,3,9,0,0,0,1.23,1.23,NYY,555000
Robby Scott,RP,11,0,7.3,8,4,4,7,9,1,0,0,2.05,4.91,ARI,555000
Gabe Speier,P,9,0,7.3,5,6,6,6,10,0,0,0,1.5,7.36,KC,555000
Phillip Diehl,P,10,0,7.3,10,6,6,2,8,0,0,0,1.64,7.36,COL,555000
Steve Nogosek,P,7,0,6.7,12,8,8,2,6,0,1,0,2.1,10.8,NYM,555000
Justin Dunn,P,4,4,6.7,2,2,2,9,5,0,0,0,1.65,2.7,SEA,555000
Bryan Garcia,P,7,0,6.7,9,9,9,5,7,0,0,0,2.1,12.15,DET,555000
Ryan Borucki,SP,2,2,6.7,15,10,8,6,6,0,1,0,3.15,10.8,TOR,565200
Corey Oswalt,SP,2,0,6.7,9,9,9,6,5,0,1,0,2.25,12.15,NYM,555000
Steven Wright,RP,6,0,6.3,11,6,6,4,5,0,1,0,2.37,8.53,BOS,1375000
Brian Moran,RP,10,0,6.3,6,3,3,2,10,1,0,0,1.26,4.26,MIA,555000
Hunter Harvey,RP,7,0,6.3,3,1,1,4,11,1,0,0,1.11,1.42,BAL,555000
Jimmy Herget,RP,5,0,6.3,8,3,3,3,0,0,0,0,1.74,4.26,CIN,555000
Rico Garcia,P,2,1,6.0,9,7,7,5,2,0,1,0,2.33,10.5,COL,555000
Luis Escobar,RP,4,0,5.7,10,5,5,4,2,0,0,0,2.47,7.94,PIT,555000
Darren O'Day,RP,8,0,5.3,3,1,1,1,6,0,0,0,0.75,1.69,ATL,9000000
Tommy Hunter,RP,5,0,5.3,2,0,0,0,5,0,0,0,0.38,0.0,PHI,9000000
Steve Wilkerson,2B,119,87,5.3,6,4,4,0,1,0,0,1,1.13,6.75,BAL,555000
Pedro Avila,SP,1,1,5.3,4,1,1,2,5,0,0,0,1.13,1.69,SD,555000
Enderson Franco,P,5,0,5.3,4,2,2,1,4,0,0,0,0.94,3.38,SF,555000
Art Warren,RP,6,0,5.3,2,0,0,2,5,1,0,0,0.75,0.0,SEA,555000
Jared Walsh,RP,35,21,5.0,3,1,1,6,5,0,0,0,1.8,1.8,LAA,555000
Jesse Hahn,RP,6,0,4.7,7,7,7,6,7,0,1,0,2.79,13.5,KC,800000
Yohander Mendez,RP,3,0,4.7,4,3,3,5,8,1,0,0,1.93,5.79,TEX,558000
Victor Arano,RP,3,0,4.7,2,2,2,2,7,1,0,0,0.86,3.86,PHI,555000
Russell Martin,C,83,52,4.0,2,0,0,0,2,0,0,0,0.5,0.0,LAD,20000000
Arodys Vizcaino,RP,4,0,4.0,3,1,1,3,6,1,0,1,1.5,2.25,SEA,4800000
Jose De Leon,RP,3,0,4.0,3,2,1,3,7,1,0,0,1.5,2.25,TB,558000
Anthony Banda,RP,3,0,4.0,6,3,3,0,2,0,0,0,1.5,6.75,TB,556800
Jordan Montgomery,SP,2,1,4.0,7,3,3,0,5,0,0,0,1.75,6.75,NYY,596600
Michael Brosseau,3B,52,32,4.0,5,2,2,0,0,0,0,0,1.25,4.5,TB,555000
Jake Barrett,RP,2,0,3.7,6,6,6,2,4,0,0,0,2.18,14.73,NYY,555000
Keury Mella,RP,3,0,3.7,5,3,3,2,4,0,0,0,1.91,7.36,CIN,555000
Hoby Milner,RP,4,0,3.7,4,3,3,1,3,0,0,0,1.36,7.36,TB,555000
Aaron Loup,RP,4,0,3.3,2,0,0,1,5,0,0,0,0.9,0.0,SD,1200000
Danny Hultzen,RP,6,0,3.3,4,0,0,2,5,0,0,0,1.8,0.0,CHC,555000
Roman Quinn,CF,44,23,3.3,7,3,3,3,1,0,1,0,3.0,8.1,PHI,559000
Tyler White,1B,83,64,3.3,7,8,8,5,2,0,0,0,3.6,21.6,LAD,582900
Hernan Perez,2B,91,49,3.0,2,1,1,2,1,0,0,0,1.33,3.0,MIL,2500000
Tom Murphy,C,76,71,3.0,1,2,2,1,2,0,0,0,0.67,6.0,SEA,557500
John Ryan Murphy,C,26,17,3.0,10,9,9,3,0,0,0,0,4.33,27.0,ATL,900000
Alexander Reyes,RP,4,0,3.0,2,5,5,6,1,0,1,0,2.67,15.0,STL,564600
Alex Gordon,LF,150,147,2.3,8,5,5,2,0,0,0,0,4.29,19.29,KC,20000000
Aaron Barrett,RP,3,0,2.3,5,4,4,4,1,0,0,0,3.86,15.43,WSH,555000
Ricardo Pinto,RP,2,0,2.3,4,4,4,2,0,0,0,0,2.57,15.43,SF,555000
Jose Osuna,1B,95,58,2.3,3,1,1,0,0,0,0,0,1.29,3.86,PIT,573500
Jeff Mathis,C,88,76,2.0,3,2,2,0,1,0,0,0,1.5,9.0,TEX,3250000
Alex Avila,C,63,49,2.0,2,1,1,1,1,0,0,0,1.5,4.5,ARI,4250000
Xavier Cedeno,RP,5,0,2.0,4,0,0,3,1,0,0,0,3.5,0.0,CHC,900000
Charlie Culberson,2B,108,15,2.0,2,0,0,2,1,0,0,0,2.0,0.0,ATL,1395000
Luke Maile,C,46,41,2.0,1,0,0,0,3,0,0,0,0.5,0.0,TOR,579000
Victor Caratini,C,95,60,2.0,2,2,2,1,0,0,0,0,1.5,9.0,CHC,569500
Mike Ford,1B,50,36,2.0,6,5,5,0,1,0,0,0,3.0,22.5,NYY,555000
Brandon Dixon,1B,118,97,2.0,1,2,2,0,1,0,0,0,0.5,9.0,DET,555000
Ty France,3B,69,45,2.0,2,1,1,0,0,0,0,0,1.0,4.5,SD,555000
Michael King,P,1,0,2.0,2,1,0,0,1,0,0,0,1.0,0.0,NYY,555000
Humberto Arteaga,SS,41,33,1.7,2,1,1,1,0,0,0,0,1.8,5.4,KC,555000
Jorge Alcala,P,2,0,1.7,1,0,0,1,1,0,0,0,1.2,0.0,MIN,555000
Sean Rodriguez,2B,76,24,1.3,0,0,0,0,1,0,0,0,0.0,0.0,PHI,555000
Jose Peraza,SS,141,88,1.3,1,0,0,0,0,0,0,0,0.75,0.0,CIN,2775000
Kyle Farmer,C,98,35,1.3,1,0,0,0,0,0,0,0,0.75,0.0,CIN,557500
Ben Zobrist,2B,48,38,1.0,0,0,0,2,1,0,0,0,2.0,0.0,CHC,12500000
Pablo Sandoval,3B,108,55,1.0,0,0,0,0,0,0,0,0,0.0,0.0,SF,555000
Chris Davis,1B,106,86,1.0,2,1,1,0,1,0,0,0,2.0,9.0,BAL,21065362
Ian Desmond,CF,140,107,1.0,1,0,0,0,0,0,0,0,1.0,0.0,COL,15000000
Austin Romine,C,73,62,1.0,4,3,3,0,0,0,0,0,4.0,27.0,NYY,1800000
Tim Federowicz,C,29,23,1.0,3,1,1,0,0,0,0,0,3.0,9.0,TEX,555000
Ehire Adrianza,SS,84,54,1.0,5,3,3,0,1,0,0,0,5.0,27.0,MIN,1300000
Taijuan Walker,SP,1,1,1.0,1,0,0,0,1,0,0,0,1.0,0.0,ARI,5025000
Hanser Alberto,SS,140,127,1.0,1,2,2,2,0,0,0,0,3.0,18.0,BAL,578000
Daniel Robertson,SS,74,58,1.0,1,0,0,0,0,0,0,0,1.0,0.0,TB,570300
Richard Urena,SS,30,21,1.0,4,4,4,1,0,0,0,0,5.0,36.0,TOR,562000
Jacob Stallings,C,73,53,1.0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,564000
Nick Martini,RF,32,23,1.0,0,0,0,2,1,0,0,0,2.0,0.0,SD,557500
Dylan Moore,SS,113,67,1.0,5,4,4,2,0,0,0,0,7.0,36.0,SEA,565000
Dellin Betances,RP,1,0,0.7,0,0,0,0,2,0,0,0,0.0,0.0,NYY,7250000
Jose Castillo,RP,1,0,0.7,0,0,0,1,2,0,0,0,1.5,0.0,SD,560300
James Bourque,P,1,0,0.7,3,4,4,2,0,0,0,0,7.5,54.0,WSH,555000
Yennsy Diaz,SP,1,0,0.7,1,2,2,4,0,0,0,0,7.5,27.0,TOR,555000
Bryan Holaday,C,45,34,0.3,0,0,0,0,0,0,0,0,0.0,0.0,MIA,1250000
Jedd Gyorko,3B,62,15,0.3,0,0,0,0,1,0,0,0,0.0,0.0,LAD,13000000
Max Stassi,C,53,44,0.3,0,0,0,0,0,0,0,0,0.0,0.0,LAA,590100
Taylor Hearn,P,1,1,0.3,3,5,4,4,0,0,1,0,21.0,108.0,TEX,555000
Austen Williams,RP,2,0,0.3,5,6,6,1,1,0,0,0,18.0,162.0,WSH,556000
Gerardo Parra,RF,119,59,0.0,1,5,5,4,0,0,0,0,0.0,0.0,WSH,555000
