Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Jorge Lopez,SP,39,18,123.7,140,94,87,42,109,4,9,1,1.47,6.33,KC,562250
Ariel Jurado,SP,32,18,122.3,148,94,79,36,81,7,11,0,1.5,5.81,TEX,555000
Brandon Woodruff,SP,27,22,121.7,109,49,49,30,143,11,3,0,1.14,3.63,MIL,561400
Wade LeBlanc,RP,26,10,121.3,145,80,77,31,92,6,7,0,1.45,5.71,SEA,2800000
Chris Archer,SP,24,23,119.7,114,73,69,55,143,3,9,0,1.41,5.19,PIT,7666668
Vincent Velasquez,SP,35,23,117.3,120,69,64,43,130,7,8,0,1.39,4.91,PHI,2249000
Mike Foltynewicz,SP,21,21,117.0,109,65,59,37,105,8,6,0,1.25,4.54,ATL,5475000
Tyler Beede,SP,25,22,117.0,127,70,66,46,113,5,10,0,1.48,5.08,SF,555000
Matthew Strahm,SP,48,16,114.7,121,61,60,22,118,6,11,0,1.25,4.71,SD,581700
Drew Smyly,SP,25,21,114.0,126,83,79,55,120,4,7,1,1.59,6.24,PHI,7000000
Steven Brault,SP,34,20,113.3,117,69,65,53,100,4,6,0,1.5,5.16,PIT,574500
Jordan Zimmermann,SP,23,23,112.0,145,89,86,25,82,1,13,0,1.52,6.91,DET,25000000
Tom Milone,SP,23,7,111.7,102,61,59,23,94,4,10,0,1.12,4.76,SEA,555000
Adrian Houser,SP,35,18,111.3,101,49,46,37,117,6,7,0,1.24,3.72,MIL,555000
Pablo Lopez,SP,22,21,111.3,111,64,63,27,95,5,8,0,1.24,5.09,MIA,555000
Gabriel Ynoa,SP,36,13,110.7,126,77,69,26,67,1,10,0,1.37,5.61,BAL,555000
Aaron Brooks,SP,29,18,110.0,118,72,69,34,82,6,8,1,1.38,5.65,BAL,560000
C.C. Sabathia,SP,24,22,107.3,112,64,59,39,107,5,8,0,1.41,4.95,NYY,8000000
David Price,SP,22,22,107.3,109,57,51,32,128,7,5,0,1.31,4.28,BOS,31000000
Blake Snell,SP,23,23,107.0,96,53,51,40,147,6,8,0,1.27,4.29,TB,1600000
