Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Kevin Plawecki,C,64,45,1.0,0,0,0,0,0,0,0,0,0.0,0.0,BOS,1600000
Tyler Beede,RP,1,0,1.0,2,3,3,0,2,0,0,0,2.0,27.0,SF,575000
Jake Rogers,C,38,35,1.0,2,2,2,1,0,0,0,0,3.0,18.0,DET,570500
Brett Phillips,RF,119,74,1.0,2,1,1,2,0,0,0,0,4.0,9.0,TB,584400
Christian Arroyo,SS,57,45,1.0,1,2,0,1,0,0,0,0,2.0,0.0,BOS,581500
Seranthony Dominguez,RP,1,0,1.0,0,0,0,0,1,0,0,0,0.0,0.0,PHI,727500
Austin Wynns,C,45,39,1.0,1,1,1,0,0,0,0,0,1.0,9.0,BAL,570500
Luis Guillorme,SS,69,36,1.0,3,2,2,1,0,0,0,0,4.0,18.0,NYM,580701
Kyle Dohy,P,1,0,1.0,1,0,0,1,1,0,0,0,2.0,0.0,PHI,570500
Anthony Rizzo,1B,141,137,0.7,0,0,0,1,1,0,0,0,1.5,0.0,NYY,16500000
Andres Munoz,RP,1,0,0.7,0,0,0,2,1,0,0,0,3.0,0.0,SEA,575000
Jake Cronenworth,2B,152,144,0.7,1,0,0,0,1,0,0,0,1.5,0.0,SD,584900
John Axford,RP,1,0,0.3,2,2,2,1,0,0,0,0,9.0,54.0,MIL,1000000
Matt Duffy,3B,97,69,0.3,0,0,0,0,0,0,0,0,0.0,0.0,CHC,1000000
Hanser Alberto,2B,103,56,0.3,0,0,0,0,0,0,0,0,0.0,0.0,KC,1650000
Andrew Knapp,C,62,37,0.3,0,0,0,0,0,0,0,0,0.0,0.0,PHI,1100000
Austin Slater,LF,129,55,0.3,0,0,0,1,0,0,0,0,3.0,0.0,SF,1150000
Sergio Alcantara,2B,89,65,0.3,0,0,0,0,0,0,0,0,0.0,0.0,CHC,570500
Jack Mayfield,2B,87,77,0.3,0,0,0,0,0,0,0,0,0.0,0.0,LAA,570500
