Acronimo,Altura,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Victorias,WAR,WAR_2,WS ganadas
LAA,6.2,48,2304,10,100,5,3,30,Los Angeles Angels,California,3,9,21,60,441,Anthony Bemboom,0.744,0.553536,1,200,10,0.208,0.043264,0.35,0.12249999999999998,C,0.4333333333333333,5,25,563500,563500,137060,0.0,0.0,260850000,26,0.41,0.16809999999999997,1
LAA,5.9,6,36,2,4,5,3,30,Los Angeles Angels,California,0,0,3,60,9,Elliot Soto,0.929,0.8630410000000001,1,160,10,0.333,0.11088900000000002,0.05,0.0025000000000000005,SS,0.4333333333333333,0,0,563500,563500,18690,0.0,0.0,260850000,26,0.09,0.0081,1
CHW,6.3,240,57600,76,5776,2,5,33,Chicago White Sox,Illinois,19,361,60,60,3600,Jose Abreu,0.987,0.974169,6,235,10,0.317,0.10048900000000001,1.0,1.0,1B,0.5833333333333334,60,3600,12781666,11000000,5740740,96.16,9246.7456,151500000,35,3.01,9.060099999999998,3
CHW,6.1,208,43264,67,4489,2,5,27,Chicago White Sox,Illinois,10,100,49,60,2401,Tim Anderson,0.886,0.784996,6,185,10,0.322,0.10368400000000001,0.817,0.6674889999999999,SS,0.5833333333333334,21,441,4000000,4000000,1481481,94.79,8985.144100000001,151500000,35,2.33,5.4289000000000005,3
CHW,6.4,213,45369,63,3969,2,5,23,Chicago White Sox,Illinois,14,196,55,60,3025,Eloy Jimenez,0.891,0.7938810000000001,6,235,10,0.296,0.08761599999999999,0.917,0.8408890000000001,DH,0.5833333333333334,41,1681,2333333,1500000,1388889,78.09,6098.048100000001,151500000,35,1.13,1.2768999999999997,3
CHW,6.2,202,40804,47,2209,2,5,22,Chicago White Sox,Illinois,11,121,56,60,3136,Luis Robert,0.738,0.544644,6,220,10,0.233,0.054289000000000004,0.933,0.8704890000000001,CF,0.5833333333333334,31,961,1500000,1500000,555556,71.03,5045.2609,151500000,35,1.58,2.4964000000000004,3
CHW,6.2,200,40000,45,2025,2,5,25,Chicago White Sox,Illinois,6,36,52,60,2704,Yoan Moncada,0.705,0.49702499999999994,6,225,10,0.225,0.050625,0.867,0.7516889999999999,3B,0.5833333333333334,24,576,1800000,1000000,1170370,30.41,924.7681,151500000,35,0.48,0.2304,3
CHW,5.8,103,10609,35,1225,2,5,23,Chicago White Sox,Illinois,0,0,29,60,841,Nick Madrigal,0.745,0.555025,6,175,10,0.34,0.11560000000000002,0.483,0.233289,SS,0.5833333333333334,11,121,563500,563500,183784,0.0,0.0,151500000,35,0.4,0.16000000000000003,3
CHW,6.4,136,18496,31,961,2,5,25,Chicago White Sox,Illinois,1,1,42,60,1764,Nomar Mazara,0.589,0.346921,6,215,10,0.228,0.051984,0.7,0.48999999999999994,RF,0.5833333333333334,15,225,5560000,5560000,2059259,9.19,84.45609999999999,151500000,35,-0.27,0.0729,3
CHW,6.3,97,9409,28,784,2,5,30,Chicago White Sox,Illinois,7,49,31,60,961,James McCann,0.896,0.8028160000000001,6,220,10,0.289,0.08352099999999998,0.517,0.267289,C,0.5833333333333334,15,225,5400000,5400000,2000000,0.0,0.0,151500000,35,1.2,1.44,3
CHW,6.2,88,7744,26,676,2,5,28,Chicago White Sox,Illinois,3,9,36,60,1296,Adam Engel,0.811,0.6577210000000001,6,220,10,0.296,0.08761599999999999,0.6,0.36,CF,0.5833333333333334,12,144,588000,588000,217778,44.24,1957.1776000000002,151500000,35,0.57,0.32489999999999997,3
CHW,5.8,59,3481,16,256,2,5,29,Chicago White Sox,Illinois,3,9,16,60,256,Leury Garcia,0.758,0.574564,6,190,10,0.271,0.073441,0.267,0.071289,OF,0.5833333333333334,8,64,3250000,3250000,1203704,0.0,0.0,151500000,35,0.6,0.36,3
CHW,5.8,16,256,5,25,2,5,28,Chicago White Sox,Illinois,1,1,12,60,144,Yolmer Sanchez,1.164,1.3548959999999999,6,205,10,0.313,0.097969,0.2,0.04000000000000001,3B,0.5833333333333334,1,1,575000,575000,88999,0.0,0.0,151500000,35,0.32,0.1024,3
CIN,6.2,186,34596,42,1764,2,4,36,Cincinnati Reds,Ohio,11,121,54,59,2916,Joey Votto,0.8,0.6400000000000001,10,220,16,0.226,0.051076,0.9,0.81,1B,0.5254237288135594,22,484,25000000,25000000,9259259,21.16,447.7456,144825000,31,-0.19,0.0361,5
CIN,6.3,149,22201,38,1444,2,4,26,Cincinnati Reds,Ohio,12,144,54,59,2916,Jesse Winker,0.932,0.8686240000000001,10,215,16,0.255,0.065025,0.9,0.81,LF,0.5254237288135594,23,529,605000,605000,224074,88.49,7830.480099999999,144825000,31,1.12,1.2544000000000002,5
CIN,6.0,155,24025,38,1444,2,4,32,Cincinnati Reds,Ohio,0,0,54,59,2916,Shogo Akiyama,0.654,0.42771600000000004,10,190,16,0.245,0.060024999999999995,0.9,0.81,CF,0.5254237288135594,9,81,6000000,6000000,2222222,26.15,683.8224999999999,144825000,31,0.77,0.5929,5
CIN,6.0,144,20736,31,961,2,4,29,Cincinnati Reds,Ohio,6,36,50,59,2500,Brian Goodwin,0.715,0.5112249999999999,10,200,16,0.215,0.046224999999999995,0.833,0.693889,RF,0.5254237288135594,22,484,2200000,2200000,340520,40.15,1612.0224999999998,144825000,31,0.0,0.0,5
CIN,6.2,76,5776,17,289,2,4,31,Cincinnati Reds,Ohio,6,36,31,59,961,Curt Casali,0.866,0.749956,10,220,16,0.224,0.050176000000000005,0.517,0.267289,C,0.5254237288135594,8,64,1462500,1462500,541667,0.0,0.0,144825000,31,0.48,0.2304,5
CIN,6.0,64,4096,17,289,2,4,29,Cincinnati Reds,Ohio,0,0,32,59,1024,Kyle Farmer,0.641,0.410881,10,205,16,0.266,0.07075600000000001,0.533,0.28408900000000004,C,0.5254237288135594,4,16,571000,571000,211481,0.0,0.0,144825000,31,0.43,0.18489999999999998,5
CIN,6.1,70,4900,13,169,2,4,25,Cincinnati Reds,Ohio,2,4,24,59,576,Nick Senzel,0.604,0.364816,10,205,16,0.186,0.034596,0.4,0.16000000000000003,3B,0.5254237288135594,8,64,570000,570000,211111,0.0,0.0,144825000,31,-0.23,0.0529,5
CIN,6.4,47,2209,8,64,2,4,26,Cincinnati Reds,Ohio,2,4,23,59,529,Aristides Aquino,0.623,0.388129,10,220,16,0.17,0.028900000000000006,0.383,0.146689,RF,0.5254237288135594,8,64,563500,563500,124600,0.0,0.0,144825000,31,-0.08,0.0064,5
PHI,6.5,160,25600,54,2916,2,4,23,Philadelphia Phillies,Pennsylvania,4,16,44,60,1936,Alec Bohm,0.881,0.776161,7,225,14,0.338,0.11424400000000001,0.733,0.537289,3B,0.4666666666666667,23,529,563500,563500,143290,79.85,6376.022499999999,134350000,28,0.84,0.7055999999999999,2
PHI,6.1,173,29929,46,2116,2,4,29,Philadelphia Phillies,Pennsylvania,11,121,47,60,2209,J.T. Realmuto,0.84,0.7055999999999999,7,210,14,0.266,0.07075600000000001,0.783,0.613089,C,0.4666666666666667,32,1024,10000000,10000000,3703704,77.65,6029.522500000001,134350000,28,1.18,1.3923999999999999,2
PHI,6.4,151,22801,37,1369,2,4,27,Philadelphia Phillies,Pennsylvania,10,100,41,60,1681,Rhys Hoskins,0.887,0.786769,7,225,14,0.245,0.060024999999999995,0.683,0.4664890000000001,1B,0.4666666666666667,26,676,605000,605000,224074,92.62,8578.4644,134350000,28,0.71,0.5041,2
PHI,6.1,92,8464,23,529,2,4,31,Philadelphia Phillies,Pennsylvania,3,9,39,60,1521,Philip Gosselin,0.726,0.527076,7,200,14,0.25,0.0625,0.65,0.42250000000000004,2B,0.4666666666666667,12,144,575000,575000,212963,24.85,617.5225,134350000,28,-0.08,0.0064,2
PHI,6.1,79,6241,22,484,2,4,24,Philadelphia Phillies,Pennsylvania,0,0,40,60,1600,Adam Haseley,0.69,0.4760999999999999,7,195,14,0.279,0.07784100000000002,0.667,0.44488900000000003,CF,0.4666666666666667,13,169,569500,569500,210926,16.06,257.92359999999996,134350000,28,-0.13,0.016900000000000002,2
PHI,6.1,72,5184,20,400,2,4,28,Philadelphia Phillies,Pennsylvania,2,4,33,60,1089,Andrew Knapp,0.849,0.7208009999999999,7,189,14,0.278,0.07728400000000002,0.55,0.30250000000000005,C,0.4666666666666667,15,225,710000,710000,262963,0.0,0.0,134350000,28,0.6,0.36,2
PHI,5.9,8,64,4,16,2,4,21,Philadelphia Phillies,Pennsylvania,1,1,3,60,9,Rafael Marchan,1.431,2.047761,7,170,14,0.5,0.25,0.05,0.0025000000000000005,C,0.4666666666666667,3,9,563500,563500,46725,0.0,0.0,134350000,28,0.23,0.0529,2
PHI,6.1,22,484,3,9,2,4,28,Philadelphia Phillies,Pennsylvania,0,0,12,60,144,Kyle Garlick,0.356,0.126736,7,210,14,0.136,0.018496000000000002,0.2,0.04000000000000001,RF,0.4666666666666667,3,9,564500,564500,127941,0.0,0.0,134350000,28,-0.43,0.18489999999999998,2
MIN,6.2,185,34225,56,3136,1,7,40,Minnesota Twins,Minnesota,16,256,53,60,2809,Nelson Cruz,0.992,0.9840639999999999,6,230,17,0.303,0.091809,0.883,0.779689,DH,0.6,33,1089,12000000,12000000,4444444,87.97,7738.720899999999,134000000,36,1.84,3.3856,3
MIN,6.1,210,44100,54,2916,1,7,28,Minnesota Twins,Minnesota,13,169,57,60,3249,Eddie Rosario,0.792,0.627264,6,180,17,0.257,0.066049,0.95,0.9025,LF,0.6,42,1764,7750000,7750000,2870370,64.39,4146.0721,134000000,36,0.86,0.7395999999999999,3
MIN,6.4,171,29241,39,1521,1,7,27,Minnesota Twins,Minnesota,9,81,48,60,2304,Max Kepler,0.76,0.5776,6,220,17,0.228,0.051984,0.8,0.6400000000000001,RF,0.6,23,529,6250000,6250000,2314815,59.79,3574.8441,134000000,36,0.79,0.6241000000000001,3
MIN,6.4,186,34596,38,1444,1,7,27,Minnesota Twins,Minnesota,13,169,53,60,2809,Miguel Sano,0.757,0.573049,6,272,17,0.204,0.04161599999999999,0.883,0.779689,1B,0.6,25,625,7000000,7000000,1111111,31.65,1001.7224999999999,134000000,36,-0.22,0.0484,3
MIN,6.2,130,16900,33,1089,1,7,26,Minnesota Twins,Minnesota,13,169,39,60,1521,Byron Buxton,0.844,0.712336,6,190,17,0.254,0.064516,0.65,0.42250000000000004,CF,0.6,27,729,3075000,3075000,1138889,84.92,7211.4064,134000000,36,2.06,4.2436,3
