Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
WSH,0.0,2020,2019,2019,1,416,173056,99,9801,0,7,32,31,Washington Nationals,LAD,30597500,20,400,135,162,18225,Brian Dozier,0.771,0.594441,1,200,6,0.238,0.05664399999999999,0.833,0.693889,2B,0.5740740740740741,50,2500,UFA,9000000,9000000,9000000,27.48,755.1504,9000000,184550000,9000000,9000000,93,1.27,1.6129,1,16.012735135300492,16.012735135300492,16.012735135300492
LAA,6.4,2020,2019,2019,1,3,9,1,1,0,4,31,30,Los Angeles Angels,OAK,48461516,0,0,39,161,1521,Trevor Cahill,0.667,0.44488900000000003,1,230,10,0.333,0.11088900000000002,0.241,0.058080999999999994,RP,0.4472049689440994,0,0,UFA,9000000,9000000,9000000,0.0,0.0,9000000,31000000,9000000,9000000,72,-0.36,0.1296,1,16.012735135300492,16.012735135300492,16.012735135300492
SD,6.0,2022,2019,2019,2,258,66564,56,3136,0,4,37,36,San Diego Padres,BOS,107247708,9,81,87,162,7569,Ian Kinsler,0.646,0.417316,2,200,5,0.217,0.047089,0.537,0.28836900000000004,2B,0.4320987654320987,22,484,UFA,3750000,3750000,3750000,0.0,0.0,8000000,326000000,8000000,4000000,70,-0.29,0.0841,0,15.137266397946593,15.137266397946593,15.137266397946593
TEX,6.2,2021,2019,2019,2,2,4,1,1,0,6,35,35,Texas Rangers,CHC,20142094,0,0,48,162,2304,Jesse Chavez,1.0,1.0,2,175,8,0.5,0.25,0.296,0.08761599999999999,RP,0.4814814814814814,0,0,UFA,4000000,4000000,4000000,0.0,0.0,8000000,47250000,8000000,4000000,78,0.71,0.5041,0,15.201804919084164,15.201804919084164,15.201804919084164
MIN,6.1,2020,2019,2019,1,433,187489,111,12321,0,4,27,27,Minnesota Twins,MIL,21177972,23,529,122,162,14884,Jonathan Schoop,0.777,0.6037290000000001,6,225,16,0.256,0.065536,0.753,0.567009,2B,0.6234567901234568,59,3481,UFA,7500000,7500000,7500000,37.44,1401.7535999999998,7500000,46800000,7500000,7500000,101,1.63,2.6569,3,15.830413578506539,15.830413578506539,15.830413578506539
CHC,6.2,2021,2019,2019,1,14,196,1,1,0,5,32,32,Chicago Cubs,SF,44696240,0,0,53,162,2809,Derek Holland,0.205,0.04202499999999999,17,213,20,0.071,0.0050409999999999995,0.327,0.10692900000000001,RP,0.5185185185185185,0,0,UFA,475000,6500000,6500000,2.31,5.3361,7000000,49325000,7000000,7000000,84,-0.82,0.6723999999999999,3,13.071070083016778,15.687312734865866,15.687312734865866
ATL,0.0,2021,2019,2019,1,414,171396,118,13924,0,6,35,35,Atlanta Braves,ATL,119282000,9,81,116,161,13456,Nick Markakis,0.776,0.602176,18,210,25,0.285,0.08122499999999999,0.716,0.512656,RF,0.6024844720496895,62,3844,UFA,4000000,4000000,4000000,39.67,1573.7089,6000000,52210000,6000000,6000000,97,0.77,0.5929,3,15.201804919084164,15.201804919084164,15.201804919084164
HOU,6.1,2020,2019,2019,1,366,133956,87,7569,0,3,35,34,Houston Astros,TEX,13313724,17,289,114,161,12996,Robinson Chirinos,0.79,0.6241000000000001,3,220,13,0.238,0.05664399999999999,0.704,0.49561599999999995,C,0.6583850931677019,58,3364,UFA,5750000,5750000,5750000,66.06,4363.9236,5750000,42250000,5750000,5750000,106,3.85,14.822500000000002,1,15.564710412773533,15.564710412773533,15.564710412773533
DET,6.3,2020,2019,2019,1,255,65025,69,4761,0,4,32,32,Detroit Tigers,PIT,20837784,9,81,74,161,5476,Jordy Mercer,0.75,0.5625,11,210,16,0.271,0.073441,0.46,0.2116,SS,0.2919254658385093,22,484,UFA,5250000,5250000,5250000,0.0,0.0,5250000,15500000,5250000,5250000,47,0.3,0.09,4,15.473738634567807,15.473738634567807,15.473738634567807
ATL,6.0,2021,2019,2019,1,316,99856,69,4761,0,6,28,28,Atlanta Braves,CIN,15000250,0,0,119,161,14161,Billy Hamilton,0.564,0.31809599999999993,18,160,25,0.218,0.047524,0.735,0.540225,CF,0.6024844720496895,15,225,UFA,959658,4250000,4450000,8.32,69.22240000000001,5250000,52210000,5250000,5250000,97,0.5,0.25,3,13.774332249971913,15.2624295409006,15.308414654142423
HOU,6.2,2020,2019,2019,1,4,16,0,0,0,3,32,32,Houston Astros,MIL,29231540,0,0,33,161,1089,Wade Miley,0.2,0.04000000000000001,3,220,13,0.0,0.0,0.204,0.04161599999999999,SP,0.6583850931677019,0,0,UFA,5000000,4500000,5000000,64.33,4138.3489,4500000,42250000,4500000,4500000,106,1.99,3.9601,1,15.424948470398375,15.319587954740548,15.424948470398375
ARI,6.3,2021,2019,2019,1,265,70225,84,7056,0,4,27,27,Arizona Diamondbacks,NYM,12114692,9,81,89,162,7921,Wilmer Flores,0.848,0.719104,1,205,6,0.317,0.10048900000000001,0.549,0.30140100000000003,2B,0.5246913580246914,37,1369,UFA,3750000,3750000,3750000,0.0,0.0,4250000,11600000,4250000,4250000,85,0.63,0.39690000000000003,1,15.137266397946593,15.137266397946593,15.137266397946593
WSH,6.3,2021,2019,2019,1,310,96100,70,4900,0,7,30,30,Washington Nationals,STL,15229427,20,400,111,162,12321,Matt Adams,0.741,0.549081,1,245,6,0.226,0.051076,0.685,0.46922500000000006,1B,0.5740740740740741,56,3136,UFA,3000000,3000000,3000000,20.88,435.97439999999995,4000000,184550000,4000000,4000000,93,0.54,0.2916,1,14.914122846632385,14.914122846632385,14.914122846632385
MIN,6.0,2021,2019,2019,1,3,9,0,0,0,4,28,27,Minnesota Twins,TEX,22244459,0,0,32,162,1024,Martin Perez,0.0,0.0,6,200,16,0.0,0.0,0.198,0.039204,SP,0.6234567901234568,0,0,UFA,3500000,3500000,3500000,32.44,1052.3536,4000000,46800000,4000000,4000000,101,0.23,0.0529,3,15.068273526459642,15.068273526459642,15.068273526459642
WSH,6.0,2020,2019,2019,1,447,199809,116,13456,0,7,33,33,Washington Nationals,PHI,63554332,18,324,132,162,17424,Asdrubal Cabrera,0.783,0.613089,1,235,6,0.26,0.06760000000000001,0.815,0.664225,2B,0.5740740740740741,91,8281,UFA,164120,555000,555000,52.47,2753.1009,3500000,184550000,555000,3500000,93,-0.23,0.0529,1,12.008353146556122,13.226723392728571,13.226723392728571
TB,6.4,2020,2019,2019,1,489,239121,138,19044,0,2,28,27,Tampa Bay Rays,CHW,17972946,20,400,126,161,15876,Avisail Garcia,0.796,0.6336160000000001,1,250,5,0.282,0.07952399999999998,0.778,0.605284,RF,0.5962732919254659,72,5184,UFA,4500000,3500000,4500000,60.32,3638.5024,3500000,33500000,3500000,3500000,96,2.04,4.1616,0,15.319587954740548,15.068273526459642,15.319587954740548
ARI,6.2,2020,2019,2019,1,485,235225,126,15876,0,4,33,33,Arizona Diamondbacks,BAL,102471180,16,256,137,162,18769,Adam Jones,0.728,0.529984,1,215,6,0.26,0.06760000000000001,0.846,0.7157159999999999,CF,0.5246913580246914,67,4489,UFA,4500000,3000000,4500000,24.39,594.8721,3000000,11600000,3000000,3000000,85,-0.36,0.1296,1,15.319587954740548,14.914122846632385,15.319587954740548
HOU,6.0,2020,2019,2019,1,333,110889,71,5041,0,3,32,32,Houston Astros,HOU,11664060,12,144,106,161,11236,Martin Maldonado,0.671,0.45024100000000006,3,230,13,0.213,0.045369,0.654,0.42771600000000004,C,0.6583850931677019,27,729,UFA,806452,2500000,2500000,22.5,506.25,2500000,42250000,2500000,2500000,106,1.1,1.2100000000000002,1,13.600399658347213,14.73180128983843,14.73180128983843
CHW,6.3,2021,2019,2019,1,439,192721,120,14400,0,3,29,28,Chicago White Sox,DET,7111234,18,324,119,161,14161,James McCann,0.789,0.6225210000000001,6,220,9,0.273,0.07452900000000001,0.739,0.546121,C,0.4472049689440994,60,3600,UFA,2500000,2500000,2500000,67.86,4604.9796,2500000,24500000,2500000,2500000,72,3.75,14.0625,3,14.73180128983843,14.73180128983843,14.73180128983843
LAA,6.3,2020,2019,2019,1,151,22801,26,676,0,4,31,30,Los Angeles Angels,PHI,7746022,8,64,52,161,2704,Justin Bour,0.623,0.388129,1,270,10,0.172,0.029583999999999996,0.321,0.10304100000000001,1B,0.4472049689440994,26,676,UFA,2500000,2500000,2500000,0.0,0.0,2500000,31000000,2500000,2500000,72,-0.57,0.32489999999999997,1,14.73180128983843,14.73180128983843,14.73180128983843
