Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,At-bats,At-bats_2,Bateos,Bateos_2,Bateos_promedio,Bateos_promedio_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Dobles,Dobles_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_iniciados,Juegos_iniciados_2,Jugador,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_On-base-plus-slugging,Porcentaje_On-base-plus-slugging_2,Porcentaje_juegos,Porcentaje_juegos_iniciados,Porcentaje_juegos_iniciados_2,Porcentaje_on-base,Porcentaje_on-base_2,Porcentaje_slugging,Porcentaje_slugging_2,Posicion,Promedio_victorias,Runs-batted-in,Runs-batted-in_2,Status_agente_libre,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Triples,Triples_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
DET,6.1,2020,2021,1,0,162,26244,45,2025,0.278,0.07728400000000002,0,1,5,4,16,28,28,Detroit Tigers,MIN,Michigan,23437231,8,64,44,57,44,1936,Jonathan Schoop,2259259,11,225,16,0.799,0.6384010000000001,0.759,0.759,0.5760810000000001,0.324,0.104976,0.475,0.225625,2B,0.4035087719298245,23,529,UFA,2259259,6100000,0.052,6100000,61.51,3783.4800999999998,2,4,6100000,6100000,19350000,6100000,6100000,23,1.29,1.6641000000000001,4,14.630547441379152,15.623799329143539,15.623799329143539
DET,6.4,2020,2021,1,1,42,1764,8,64,0.191,0.036481,0,1,5,3,9,30,29,Detroit Tigers,MIN,Michigan,12694674,4,16,13,57,13,169,C.J. Cron,2259259,11,235,16,0.894,0.7992360000000001,0.224,0.224,0.050176000000000005,0.346,0.11971599999999999,0.548,0.30030400000000007,1B,0.4035087719298245,8,64,UFA,2259259,6100000,0.052,6100000,0.0,0.0,0,0,6100000,6100000,19350000,6100000,6100000,23,0.32,0.1024,4,14.630547441379152,15.623799329143539,15.623799329143539
NYM,6.3,2020,2022,1,1,157,24649,37,1369,0.236,0.055695999999999996,0,2,5,9,81,34,33,New York Mets,NYM,New York,46642796,4,16,45,60,41,1681,Todd Frazier,541744,5,220,9,0.684,0.46785600000000005,0.75,0.683,0.4664890000000001,0.302,0.091204,0.382,0.145924,3B,0.4333333333333333,12,144,UFA,541744,3500000,0.007,3500000,24.26,588.5476000000001,1,1,5000000,5000000,26300000,5000000,5000000,26,0.29,0.0841,2,13.202548844118077,15.068273526459642,15.068273526459642
DET,6.1,2020,2021,1,0,130,16900,31,961,0.239,0.057121,0,1,5,5,25,31,31,Detroit Tigers,NYY,Michigan,7890065,2,4,37,57,37,1369,Austin Romine,1537037,11,220,16,0.582,0.33872399999999997,0.638,0.638,0.407044,0.259,0.067081,0.323,0.104329,C,0.4035087719298245,17,289,UFA,1537037,4150000,0.036,4150000,9.22,85.00840000000001,0,0,4150000,4150000,19350000,4150000,4150000,23,-0.19,0.0361,4,14.245367095100212,15.238618892206881,15.238618892206881
TOR,6.4,2020,2022,1,1,163,26569,39,1521,0.239,0.057121,0,1,3,10,100,30,29,Toronto Blue Jays,MIL,Toronto,8292551,6,36,50,61,42,1764,Travis Shaw,1639481,2,230,8,0.717,0.5140889999999999,0.833,0.7,0.48999999999999994,0.306,0.093636,0.411,0.168921,1B,0.5245901639344263,17,289,UFA,1639481,4000000,0.03,4158000,28.53,813.9609,0,0,4000000,4000000,108000000,4000000,4000000,32,0.23,0.0529,2,14.309890286300634,15.201804919084164,15.240544747400095
KC,6.1,2020,2021,1,1,163,26569,34,1156,0.209,0.043681,0,2,3,4,16,36,35,Kansas City Royals,KC,Missouri,121149481,4,16,50,59,48,2304,Alex Gordon,1481481,4,225,9,0.606,0.367236,0.833,0.8,0.6400000000000001,0.299,0.089401,0.307,0.094249,LF,0.423728813559322,11,121,UFA,1481481,4000000,0.043,4000000,14.24,202.7776,0,0,4000000,4000000,7550000,4000000,4000000,25,0.06,0.0036,2,14.208552821073829,15.201804919084164,15.201804919084164
WSH,6.0,2020,2022,1,0,123,15129,25,625,0.203,0.041209,0,1,10,5,25,33,33,Washington Nationals,MIL,Washington DC,19552420,3,9,41,62,35,1225,Eric Thames,1111111,1,210,6,0.617,0.380689,0.683,0.583,0.33988899999999994,0.3,0.09,0.317,0.10048900000000001,1B,0.4193548387096774,12,144,UFA,1111111,3000000,0.015,3000000,11.58,134.0964,0,0,4000000,4000000,316750000,4000000,4000000,26,-0.44,0.1936,1,13.920870973622096,14.914122846632385,14.914122846632385
SD,6.3,2020,2022,1,0,136,18496,36,1296,0.265,0.07022500000000001,0,5,2,9,81,34,34,San Diego Padres,BOS,California,33105726,10,100,42,61,36,1296,Mitch Moreland,400780,2,245,6,0.894,0.7992360000000001,0.7,0.6,0.36,0.342,0.11696400000000001,0.551,0.30360100000000007,1B,0.6229508196721312,29,841,UFA,400780,2500000,0.006,2500000,83.48,6968.910400000001,0,0,3000000,3000000,43000000,3000000,3000000,38,1.21,1.4641,0,12.901167927308135,14.73180128983843,14.73180128983843
ARI,6.0,2020,2022,1,0,72,5184,12,144,0.167,0.027889000000000004,0,1,4,5,25,35,35,Arizona Diamondbacks,SF,Arizona,9462499,1,1,26,60,21,441,Stephen Vogt,925926,1,225,6,0.525,0.275625,0.433,0.35,0.12249999999999998,0.247,0.061009,0.278,0.07728400000000002,C,0.4166666666666667,7,49,UFA,925926,2500000,0.014,2500000,0.0,0.0,0,0,3000000,3000000,24650000,3000000,3000000,25,0.01,0.0001,1,13.738549596828143,14.73180128983843,14.73180128983843
KC,6.1,2020,2021,1,0,223,49729,62,3844,0.278,0.07728400000000002,0,2,3,16,256,27,27,Kansas City Royals,PHI,Missouri,11203890,8,64,60,59,60,3600,Maikel Franco,1482593,4,225,9,0.778,0.605284,1.0,1.0,1.0,0.321,0.10304100000000001,0.457,0.208849,3B,0.423728813559322,38,1444,UFA,1482593,2950000,0.043,3340000,63.07,3977.8249,0,0,2950000,2950000,7550000,2950000,2950000,25,1.04,1.0816000000000001,2,14.209303139758294,14.897315728316002,15.021481364952884
WSH,6.0,2020,2021,1,0,190,36100,46,2116,0.242,0.058564,0,1,10,9,81,34,34,Washington Nationals,WSH,Washington DC,64665258,8,64,52,62,51,2601,Asdrubal Cabrera,1110926,1,235,6,0.753,0.567009,0.867,0.85,0.7224999999999999,0.305,0.093025,0.447,0.19980900000000001,3B,0.4193548387096774,31,961,UFA,1110926,2500000,0.015,2685000,46.82,2192.1124,3,9,2500000,2500000,316750000,2500000,2500000,26,0.16,0.0256,1,13.92070445974278,14.73180128983843,14.803191285925102
MIA,6.066556291390728,2020,2021,1,1,53,2809,13,169,0.245,0.060024999999999995,0,2,6,2,4,34,33,Miami Marlins,ATL,Florida,39399899,3,9,16,60,16,256,Francisco Cervelli,740741,2,210,3,0.808,0.6528640000000001,0.267,0.267,0.071289,0.355,0.126025,0.453,0.205209,C,0.5166666666666667,7,49,UFA,740741,2000000,0.021,2000000,0.0,0.0,0,0,2000000,2000000,25350000,2000000,2000000,31,0.77,0.5929,2,13.515406315513875,14.508657738524219,14.508657738524219
CHW,5.9,2020,2021,1,0,61,3721,11,121,0.18,0.0324,0,2,5,0,0,35,35,Chicago White Sox,ARI,Illinois,16179366,0,0,32,60,18,324,Jarrod Dyson,342736,6,165,10,0.411,0.168921,0.533,0.3,0.09,0.231,0.053361000000000006,0.18,0.0324,CF,0.5833333333333334,5,25,UFA,342736,2000000,0.006,2000000,0.0,0.0,0,0,2000000,2000000,151500000,2000000,2000000,35,-0.61,0.3721,3,12.744715750492597,14.508657738524219,14.508657738524219
STL,6.066556291390728,2020,2021,1,1,35,1225,7,49,0.2,0.04000000000000001,0,2,2,1,1,34,33,St. Louis Cardinals,STL,Missouri,57174958,0,0,19,58,12,144,Matt Wieters,740741,23,235,30,0.529,0.279841,0.328,0.207,0.042849,0.3,0.09,0.229,0.052441,C,0.5172413793103449,4,16,UFA,740741,2000000,0.01,2000000,0.0,0.0,0,0,2000000,2000000,7000000,2000000,2000000,30,0.03,0.0009,11,13.515406315513875,14.508657738524219,14.508657738524219
MIA,6.2,2020,2021,1,0,127,16129,32,1024,0.252,0.063504,0,2,6,4,16,35,35,Miami Marlins,ATL,Florida,26236312,2,4,46,60,37,1369,Matt Joyce,648556,2,194,3,0.682,0.4651240000000001,0.767,0.617,0.380689,0.351,0.12320099999999999,0.331,0.109561,LF,0.5166666666666667,14,196,UFA,648556,1500000,0.019,1593000,19.05,362.90250000000003,0,0,1500000,1500000,25350000,1500000,1500000,31,-0.44,0.1936,2,13.38250363213301,14.22097566607244,14.281129588892185
CHC,6.3,2020,2021,1,1,93,8649,23,529,0.247,0.061009,0,2,4,8,64,33,32,Chicago Cubs,NYY,Illinois,41643063,1,1,32,58,23,529,Cameron Maybin,232176,17,215,21,0.694,0.48163599999999995,0.533,0.383,0.146689,0.307,0.094249,0.387,0.149769,RF,0.5517241379310345,7,49,UFA,232176,1500000,0.003,1500000,0.0,0.0,1,1,1500000,1500000,2650000,1500000,1500000,32,-0.1,0.010000000000000002,3,12.355250983730874,14.22097566607244,14.22097566607244
ATL,6.066556291390728,2020,2021,1,1,59,3481,15,225,0.254,0.064516,0,1,7,3,9,31,30,Atlanta Braves,ATL,Georgia,29773591,0,0,27,60,14,196,Adeiny Hechavarria,370370,18,195,26,0.607,0.36844899999999997,0.45,0.233,0.054289000000000004,0.302,0.091204,0.305,0.093025,SS,0.5833333333333334,2,4,UFA,370370,1000000,0.006,1000000,0.0,0.0,0,0,1000000,1000000,95750000,1000000,1000000,35,-0.2,0.04000000000000001,3,12.822257784953491,13.815510557964274,13.815510557964274
BOS,6.2,2020,2023,1,1,82,6724,28,784,0.342,0.11696400000000001,0,1,8,5,25,29,28,Boston Red Sox,CLE,Massachusetts,4474095,1,1,24,60,19,361,Kevin Plawecki,433333,14,208,24,0.857,0.734449,0.4,0.317,0.10048900000000001,0.393,0.154449,0.463,0.21436900000000003,C,0.4,17,289,UFA,433333,900000,0.005,1000000,0.0,0.0,1,1,900000,900000,19100000,900000,900000,24,0.62,0.3844,9,12.979261764532591,13.710150042306449,13.815510557964274
HOU,6.2,2020,2025,1,0,38,1444,6,36,0.158,0.024964,0,2,3,0,0,32,32,Houston Astros,OAK,Texas,1401459,1,1,17,60,13,169,Dustin Garneau,250041,3,205,14,0.562,0.31584400000000007,0.283,0.217,0.047089,0.273,0.07452900000000001,0.289,0.08352099999999998,C,0.4833333333333333,4,16,UFA,250041,650000,0.003,659300,0.0,0.0,1,1,650000,650000,15650000,650000,650000,29,-0.24,0.0576,1,12.429380183397853,13.38472764187182,13.39893394510139
MIA,6.1,2020,2021,1,1,34,1156,4,16,0.118,0.013923999999999999,0,2,6,1,1,33,32,Miami Marlins,PHI,Florida,24802062,1,1,13,60,11,121,Logan Forsythe,212962,2,205,3,0.446,0.198916,0.217,0.183,0.033489,0.211,0.044521,0.235,0.055224999999999996,2B,0.5166666666666667,2,4,UFA,212963,575000,0.006,575000,0.0,0.0,0,0,0,575000,25350000,575000,0,31,-0.31,0.0961,2,12.268873720682233,13.262125319779487,13.262125319779487
OAK,6.3,2020,2021,1,0,88,7744,17,289,0.193,0.037249000000000004,0,5,2,5,25,29,29,Oakland Athletics,ARI,California,13447451,3,9,31,60,28,784,Jake Lamb,43610,15,215,29,0.635,0.403225,0.517,0.467,0.21808900000000003,0.283,0.08008899999999998,0.352,0.12390399999999999,1B,0.6,10,100,UFA,43610,563500,0.001,563500,0.0,0.0,0,0,0,563500,7500000,563500,0,36,-0.62,0.3844,9,10.683041760836812,13.241922612461968,13.241922612461968
