"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023","Age","Weight","Height",""
"","Jimmy Lambert","RP","CHW","42","2","47.0","40","18","17","24","45","1","2","0","1.36","3.26","0.73","0.00","$0","27","190","6'2""",""
"","Tommy Henry","SP","ARI","9","9","47.0","47","28","28","21","36","3","4","0","1.45","5.36","-0.17","0.00","$0","24","205","6'3""",""
"","Drew Smith","RP","NYM","44","0","46.0","38","17","17","15","53","3","3","0","1.15","3.33","0.68","0.00","$1,277,658","28","190","6'2""",""
"","Trent Thornton","RP","TOR","32","0","46.0","40","21","21","17","37","0","2","0","1.24","4.11","0.10","0.00","$1,050,000","28","195","6'0""",""
"","Trevor Gott","RP","MIL","45","0","45.7","35","25","21","12","44","3","4","0","1.03","4.14","-0.03","0.00","$1,200,000","29","185","6'0""",""
"","Amir Garrett","RP","KC","60","0","45.3","28","26","25","32","49","3","1","0","1.32","4.96","0.00","24.13","$2,397,683","30","239","6'5""",""
"","Brad Hand","RP","PHI","55","0","45.0","37","18","14","23","38","3","2","5","1.33","2.80","0.91","27.01","$0","32","224","6'3""",""
"","Trevor Megill","RP","MIN","40","0","45.0","50","29","24","17","49","4","3","0","1.49","4.80","-0.62","0.00","$0","28","235","6'8""",""
"","Corey Knebel","RP","PHI","46","0","44.7","33","22","17","28","41","3","5","12","1.37","3.43","0.58","0.00","$0","30","224","6'3""",""
"","Jeff Hoffman","RP","CIN","35","1","44.7","40","22","19","23","45","2","0","0","1.41","3.83","0.62","0.00","$0","29","235","6'5""",""
"","Matthew Strahm","RP","BOS","50","0","44.7","38","24","19","17","52","4","4","4","1.23","3.83","0.19","28.82","$7,500,000","30","190","6'2""",""
"","Kirby Snead","RP","OAK","46","0","44.7","56","31","29","22","35","1","1","1","1.75","5.84","-0.75","0.00","$0","27","218","6'1""",""
"","Ty Blach","RP","COL","24","1","44.3","51","29","29","11","29","1","0","1","1.40","5.89","-0.15","0.00","$0","31","215","6'1""",""
"","Connor Brogdon","RP","PHI","47","0","44.0","44","16","16","11","50","2","2","2","1.25","3.27","0.88","0.00","$0","27","192","6'6""",""
"","Ron Marinaccio","RP","NYY","40","0","44.0","22","12","10","24","56","1","0","0","1.04","2.05","1.19","0.00","$0","27","205","6'2""",""
"","Tyler Matzek","RP","ATL","42","0","43.7","26","21","17","29","36","4","2","1","1.26","3.50","0.48","0.00","$1,200,000","31","230","6'3""",""
"","Tommy Nance","RP","MIA","35","2","43.7","45","22","21","21","57","2","3","0","1.51","4.33","0.19","0.00","$0","31","235","6'6""",""
"","Lucas Gilbreath","RP","COL","47","0","43.0","37","22","20","26","49","2","0","0","1.47","4.19","0.60","0.00","$0","26","185","6'1""",""
"","Justin Lawrence","RP","COL","38","0","42.7","44","27","27","22","48","3","1","1","1.55","5.70","-0.14","0.00","$0","27","213","6'3""",""
"","Ryan Thompson","RP","TB","47","0","42.7","39","24","18","11","39","3","3","3","1.17","3.80","-0.16","0.00","$1,340,527","30","210","6'5""",""
"","Sammy Long","RP","SF","28","6","42.3","39","23","17","14","33","1","3","1","1.25","3.61","0.06","0.00","$0","26","185","6'1""",""
"","Victor Arano","RP","WSH","43","0","42.0","47","30","21","12","44","1","1","1","1.40","4.50","-0.70","0.00","$1,000,000","27","228","6'2""",""
"","Craig Stammen","RP","SD","33","1","40.7","45","22","20","10","35","1","2","0","1.35","4.43","0.17","0.00","$0","38","228","6'2""",""
"","Jovani Moran","RP","MIN","31","0","40.7","25","11","10","18","54","0","1","1","1.06","2.21","0.79","0.00","$0","25","167","6'1""",""
"","David Price","RP","LAD","40","0","40.3","38","11","11","9","37","2","0","2","1.16","2.46","0.74","0.00","$0","36","215","6'5""",""
"","Cole Ragans","SP","TEX","9","9","40.0","43","24","22","16","27","0","3","0","1.48","4.95","-0.10","0.00","$0","24","0","0'0""",""
"","Matt Barnes","RP","BOS","44","0","39.7","36","22","19","21","34","0","4","8","1.44","4.31","0.12","0.00","$7,500,000","32","208","6'4""",""
"","Jordan Weems","RP","WSH","32","0","39.7","35","24","23","12","41","0","1","0","1.18","5.22","-0.12","0.00","$0","29","175","6'3""",""
"","Hunter Harvey","RP","WSH","38","0","39.3","33","12","11","12","45","2","1","0","1.14","2.52","0.92","0.00","$973,877","27","210","6'3""",""
"","Daulton Jefferies","SP","OAK","8","8","39.3","46","26","25","8","28","1","7","0","1.37","5.72","-0.25","0.00","$0","26","182","6'0""",""
"","Maximo Castillo","RP","KC","14","6","39.3","38","28","26","15","37","0","2","0","1.35","5.95","0.19","0.00","$0","23","0","0'0""",""
"","Zach Pop","RP","TOR","36","0","39.0","41","13","12","4","25","4","0","0","1.15","2.77","0.18","0.00","$0","25","220","6'4""",""
"","James Karinchak","RP","CLE","38","0","39.0","22","9","9","21","62","2","0","3","1.10","2.08","1.34","0.00","$1,254,485","26","215","6'3""",""
"","Albert Abreu","RP","NYY","33","0","38.7","35","15","14","22","38","2","2","0","1.47","3.26","0.13","0.00","$0","26","190","6'2""",""
"","Josh Staumont","RP","KC","42","0","37.7","37","28","27","29","43","3","3","3","1.75","6.45","-0.76","0.00","$1,008,296","28","200","6'3""",""
"","Kirk McCarty","RP","CLE","13","2","37.7","37","23","19","13","26","4","3","0","1.33","4.54","-0.27","0.00","$0","26","0","0'0""",""
"","Javier Assad","SP","CHC","9","8","37.7","35","14","13","20","30","2","2","0","1.46","3.11","0.56","0.00","$0","24","0","0'0""",""
"","Yohan Ramirez","RP","PIT","30","0","37.3","32","19","19","20","32","4","1","1","1.39","4.58","-0.26","0.00","$0","27","190","6'4""",""
"","Wade Miley","SP","CHC","9","8","37.0","31","20","13","14","28","2","2","0","1.22","3.16","0.03","0.00","$0","35","220","6'2""",""
"","Joe Kelly","RP","CHW","43","1","37.0","36","26","25","23","53","1","3","1","1.60","6.08","-0.60","0.00","$9,000,000","34","174","6'1""",""
"","Kyle Nelson","RP","ARI","43","1","37.0","26","10","9","14","30","2","1","0","1.08","2.19","0.94","0.00","$0","25","175","6'1""",""
"","Vladimir Gutierrez","SP","CIN","10","8","36.7","46","31","31","24","29","1","6","0","1.91","7.61","-0.53","0.00","$0","26","190","6'0""",""
"","Aroldis Chapman","RP","NYY","43","0","36.3","24","18","18","28","43","4","4","9","1.43","4.46","-0.25","0.00","$0","34","218","6'4""",""
"","Jack Flaherty","SP","STL","9","8","36.0","36","18","17","22","33","2","1","0","1.61","4.25","-0.15","0.00","$5,428,686","26","225","6'4""",""
"","Ian Gibaut","RP","CIN","34","0","36.0","39","18","18","18","48","1","2","1","1.58","4.50","0.04","0.00","$0","28","250","6'3""",""
"","Art Warren","RP","CIN","39","0","36.0","37","29","26","22","40","2","3","3","1.64","6.50","-0.81","0.00","$0","29","230","6'3""",""
"","Luke Weaver","RP","KC","27","1","35.7","52","29","26","13","38","1","1","0","1.82","6.56","-0.41","0.00","$0","28","170","6'2""",""
"","Daniel Castano","SP","MIA","10","7","35.7","42","20","16","9","20","1","3","0","1.43","4.04","0.14","0.00","$0","27","231","6'3""",""
"","Yency Almonte","RP","LAD","33","0","35.3","18","4","4","10","33","0","0","1","0.79","1.02","1.39","0.00","$1,001,478","28","223","6'5""",""
"","Joe Barlow","RP","TEX","35","0","35.0","27","18","15","13","28","3","1","13","1.14","3.86","0.26","0.00","$0","26","210","6'2""",""
"","Josh Fleming","RP","TB","10","3","35.0","54","36","25","12","29","2","5","0","1.89","6.43","-1.35","0.00","$0","26","220","6'2""",""
"","Peter Strzelecki","RP","MIL","30","0","35.0","28","13","11","15","40","2","1","1","1.23","2.83","0.45","0.00","$0","27","0","0'0""",""
"","Caleb Ferguson","RP","LAD","37","1","34.7","23","9","7","17","37","1","0","0","1.15","1.82","0.70","0.00","$1,765,764","25","226","6'3""",""
"","Matthew Liberatore","SP","STL","9","7","34.7","42","23","23","18","28","2","2","0","1.73","5.97","-0.28","0.00","$0","22","0","0'0""",""
"","Zack Thompson","RP","STL","22","1","34.7","20","9","8","14","27","1","1","1","0.98","2.08","0.63","0.00","$0","24","225","6'2""",""
"","Mike Baumann","RP","BAL","13","4","34.3","43","19","18","9","23","1","3","0","1.51","4.72","0.16","0.00","$0","26","225","6'4""",""
"","Collin Snider","RP","KC","42","0","34.3","40","25","25","15","22","4","2","0","1.60","6.55","-0.66","0.00","$0","26","195","6'4""",""
"","Tyler Gilbert","SP","ARI","8","7","34.3","33","21","20","10","20","0","3","0","1.25","5.24","-0.23","0.00","$0","28","223","6'3""",""
"","Dany Jimenez","RP","OAK","34","0","34.3","23","16","13","18","34","3","4","11","1.19","3.41","0.38","0.00","$0","28","182","6'3""",""
"","Connor Overton","RP","CIN","6","4","33.0","21","10","10","11","14","1","0","0","0.97","2.73","1.00","0.00","$0","28","190","6'0""",""
"","Dinelson Lamet","RP","COL","32","0","32.3","30","23","22","19","45","1","2","0","1.51","6.12","-0.61","0.00","$5,000,000","29","187","6'4""",""
"","Huascar Brazoban","RP","MIA","27","0","32.0","26","13","11","21","40","1","1","0","1.47","3.09","0.55","0.00","$0","32","0","0'0""",""
"","Justin Dunn","SP","CIN","7","7","31.0","32","21","21","17","21","1","3","0","1.58","6.10","-0.09","0.00","$923,662","26","185","6'2""",""
"","Cole Sands","RP","MIN","11","3","30.7","35","21","20","13","28","0","3","1","1.57","5.87","-0.46","0.00","$0","24","215","6'3""",""
"","Jonathan Hernandez","RP","TEX","29","0","30.3","26","14","10","17","27","2","3","4","1.42","2.97","0.33","0.00","$860,732","25","175","6'2""",""
"","Dustin May","SP","LAD","6","6","30.0","21","17","15","14","29","2","3","0","1.17","4.50","-0.08","0.00","$2,119,550","24","180","6'6""",""
"","Tanner Rainey","RP","WSH","29","0","30.0","26","16","11","13","36","1","3","12","1.30","3.30","0.22","0.00","$1,500,000","29","235","6'2""",""
"","Kevin Ginkel","RP/CL","ARI","30","0","29.3","27","14","11","11","30","1","1","1","1.29","3.38","0.01","0.00","$0","28","235","6'4""",""
"","Miguel Castro","RP","NYY","34","0","29.0","27","16","13","15","31","5","0","0","1.45","4.03","-0.34","0.00","$3,500,000","27","205","6'7""",""
"","Anthony Misiewicz","RP","KC","32","0","29.0","27","15","14","10","27","1","2","0","1.28","4.35","-0.05","0.00","$0","27","200","6'1""",""
"","Sean Poppen","RP","ARI","29","0","28.7","27","15","14","12","22","2","2","0","1.36","4.40","0.00","0.00","$0","28","210","6'3""",""
"","Colin Holderman","RP","PIT","24","0","28.3","20","14","12","14","24","5","0","0","1.20","3.81","0.47","0.00","$0","26","0","0'0""",""
"","Kaleb Ort","RP","BOS","25","0","28.3","35","23","20","15","27","1","2","1","1.76","6.35","-0.42","0.00","$0","30","0","0'0""",""
"","Jandel Gustave","RP","MIL","27","0","28.0","25","13","12","11","27","2","0","0","1.29","3.86","0.07","0.00","$0","29","220","6'3""",""
"","Cody Poteet","RP","MIA","12","2","28.0","23","12","12","11","21","0","1","0","1.21","3.86","0.30","0.00","$0","27","190","6'1""",""
"","Hyun-Jin Ryu","SP","TOR","6","6","27.0","32","17","17","4","16","2","0","0","1.33","5.67","-0.30","0.00","$20,000,000","35","255","6'3""",""
"","Shane Baz","SP","TB","6","6","27.0","27","15","15","9","30","1","2","0","1.33","5.00","0.12","0.00","$0","23","190","6'2""",""
"","Erich Uelmen","RP","CHC","25","0","27.0","25","15","14","12","21","2","1","1","1.37","4.67","-0.06","0.00","$0","26","0","0'0""",""
"","Alex Young","RP","SF","25","1","26.7","29","11","7","11","21","1","1","0","1.50","2.36","0.01","0.00","$0","28","205","6'2""",""
"","Aaron Bummer","RP","CHW","32","0","26.7","30","11","7","10","30","2","1","2","1.50","2.36","0.52","0.00","$3,750,000","28","215","6'3""",""
"","Yerry De Los Santos","RP","PIT","26","0","25.7","22","18","14","11","26","0","3","3","1.29","4.91","-0.48","0.00","$0","24","0","0'0""",""
"","Ryan Borucki","RP","SEA","32","0","25.3","24","16","16","11","21","2","0","0","1.38","5.68","-0.44","0.00","$0","28","215","6'4""",""
"","Jose Cisnero","RP","DET","28","0","25.0","15","4","3","19","23","1","0","0","1.36","1.08","0.82","0.00","$2,243,435","33","245","6'3""",""
"","Trevor May","RP","NYM","26","0","25.0","27","14","14","9","30","2","0","1","1.44","5.04","-0.18","0.00","$7,000,000","32","240","6'5""",""
"","Mason Thompson","RP","WSH","24","0","24.7","19","8","8","9","15","1","1","1","1.13","2.92","0.37","0.00","$0","24","223","6'7""",""
"","Daniel Hudson","RP/CL","LAD","25","0","24.3","17","7","6","5","30","2","3","5","0.90","2.22","0.60","0.00","$6,500,000","35","215","6'3""",""
"","J.P. Feyereisen","RP","TB","22","2","24.3","7","1","0","5","25","4","0","1","0.49","0.00","1.38","0.00","$0","29","215","6'2""",""
"","Drey Jameson","SP","ARI","4","4","24.3","20","4","4","7","24","3","0","0","1.11","1.48","","0.00","$0","24","165","6'0""",""
"","Miguel Yajure","RP","PIT","12","1","24.3","31","26","24","16","16","1","1","1","1.93","8.88","-0.99","0.00","$0","24","220","6'1""",""
"","Chase Anderson","SP","CIN","9","7","24.0","17","18","17","15","23","2","4","0","1.33","6.38","-0.27","0.00","$0","34","200","6'1""",""
"","Tyler Kinley","RP","COL","25","0","24.0","21","5","2","6","27","1","1","0","1.13","0.75","1.09","0.00","$1,200,000","31","220","6'4""",""
"","Jeff Brigham","RP","MIA","16","0","24.0","22","10","9","10","28","0","1","1","1.33","3.38","0.33","0.00","$800,000","30","200","6'0""",""
"","Pete Fairbanks","RP","TB","24","0","24.0","13","3","3","3","38","0","0","8","0.67","1.13","1.29","0.00","$1,500,000","28","225","6'6""",""
"","Luis Perdomo","RP","MIL","14","0","23.7","24","10","10","3","12","3","0","0","1.14","3.80","0.19","0.00","$0","29","185","6'2""",""
"","Cody Morris","SP","CLE","7","5","23.7","21","8","6","12","23","1","2","0","1.39","2.28","0.43","0.00","$0","25","222","6'5""",""
"","Garrett Cleavinger","RP","TB","17","0","23.0","14","12","10","7","32","1","1","0","0.91","3.91","-0.36","0.00","$0","28","220","6'1""",""
"","Tommy Hunter","RP","NYM","18","0","22.3","21","8","6","6","22","0","1","0","1.21","2.42","0.32","0.00","$0","35","250","6'3""",""
"","J.T. Chargois","RP","TB","21","3","22.3","16","7","6","5","17","2","0","0","0.94","2.42","0.46","0.00","$1,460,315","31","200","6'3""",""
"","Josh Sborz","RP","TEX","19","1","22.3","25","16","16","11","32","0","0","0","1.61","6.45","-0.31","0.00","$0","28","215","6'3""",""
"","Eric Stout","RP","PIT","20","0","22.3","25","15","14","16","25","0","0","1","1.84","5.64","0.02","0.00","$0","29","0","0'0""",""
"","Chris Paddack","SP","MIN","5","5","22.3","25","10","10","2","20","1","2","0","1.21","4.03","0.21","0.00","$2,400,000","26","217","6'5""",""
"","Darren O'Day","RP","ATL","28","0","21.7","19","12","10","10","26","2","2","0","1.34","4.15","0.09","0.00","$0","39","220","6'4""",""
"","Drew VerHagen","RP","STL","19","0","21.7","27","18","16","14","18","3","1","0","1.89","6.65","-0.80","0.00","$3,000,000","31","230","6'6""",""
"","Anthony Gose","RP","CLE","22","0","21.0","15","13","11","14","28","3","0","0","1.38","4.71","-0.21","0.00","$0","31","200","6'0""",""
"","Jackson Tetreault","SP","WSH","4","4","21.0","23","15","12","10","9","2","2","0","1.57","5.14","-0.21","0.00","$0","26","0","0'0""",""
"","Jesus Tinoco","RP","TEX","17","2","20.7","12","5","5","10","18","0","0","0","1.07","2.18","0.70","0.00","$0","27","258","6'4""",""
"","Bryan Garcia","RP","DET","4","4","20.3","14","8","8","10","17","2","0","0","1.18","3.54","0.42","0.00","$0","27","215","6'1""",""
"","Andrew Kittredge","RP","TB","17","0","20.0","15","7","7","2","14","3","1","5","0.85","3.15","0.26","0.00","$2,014,438","32","230","6'1""",""
"","Derek Law","RP","CIN","17","0","19.7","23","13","9","8","17","2","3","0","1.58","4.12","-0.31","0.00","$0","31","215","6'3""",""
"","Tony Santillan","RP","CIN","21","0","19.7","23","14","12","12","21","0","1","4","1.78","5.49","-0.36","0.00","$0","25","240","6'3""",""
"","Anthony Bender","RP","MIA","22","0","19.3","17","7","7","8","17","1","3","6","1.29","3.26","0.42","0.00","$0","27","205","6'4""",""
"","Anthony DeSclafani","SP","SF","5","5","19.0","34","21","14","4","17","0","2","0","2.00","6.63","-0.79","0.00","$12,000,000","32","195","6'1""",""
"","Norge Ruiz","RP","OAK","14","0","19.0","30","16","15","7","18","0","1","0","1.95","7.11","-0.24","0.00","$0","28","0","0'0""",""
"","Archie Bradley","RP","LAA","21","0","18.7","17","13","10","7","15","0","1","2","1.29","4.82","-0.46","0.00","$0","29","215","6'4""",""
"","Junior Fernandez","RP","PIT","16","0","18.7","18","6","5","12","14","0","0","0","1.61","2.41","0.10","0.00","$0","25","215","6'3""",""
"","Ryne Nelson","SP","ARI","3","3","18.3","9","4","3","6","16","1","1","0","0.82","1.47","","0.00","$0","24","184","6'3""",""
"","Sam Selman","RP","OAK","16","0","18.3","16","10","10","5","18","0","0","0","1.14","4.91","-0.02","0.00","$0","31","190","6'3""",""
"","Javier Guerra","RP","TB","18","0","18.0","16","11","10","11","10","2","1","0","1.50","5.00","0.17","0.00","$0","26","185","6'0""",""
"","Yennier Cano","RP","BAL","13","0","18.0","26","23","23","16","21","1","1","0","2.33","11.50","-0.55","0.00","$0","28","0","0'0""",""
"","Alec Mills","SP","CHC","7","2","17.7","28","20","19","3","11","0","1","0","1.75","9.68","-0.71","0.00","$0","30","205","6'4""",""
"","Scott Alexander","RP","SF","17","4","17.3","12","2","2","1","10","0","0","2","0.75","1.04","1.06","0.00","$1,150,000","32","195","6'2""",""
"","Taylor Widener","RP","ARI","14","0","17.3","22","8","7","5","14","0","1","0","1.56","3.64","0.07","0.00","$0","27","195","6'0""",""
"","Logan Gillaspie","RP","BAL","17","0","17.3","20","8","6","3","10","1","0","0","1.33","3.12","0.10","0.00","$0","25","220","6'2""",""
"","Keynan Middleton","RP","ARI","18","0","17.0","16","13","10","3","15","1","2","0","1.12","5.29","-0.58","0.00","$0","28","215","6'3""",""
"","Cody Stashak","RP","MIN","11","0","16.3","16","7","7","0","15","3","0","0","0.98","3.86","0.08","0.00","$0","28","169","6'2""",""
"","Kyle Crick","RP","CHW","14","0","15.7","10","7","7","11","19","2","0","0","1.34","4.02","0.15","0.00","$0","29","225","6'4""",""
"","Jhonathan Diaz","SP","LAA","4","3","15.3","13","5","5","10","11","1","1","0","1.50","2.94","0.40","0.00","$0","25","170","6'0""",""
"","Thomas Szapucki","RP","SF","11","1","15.0","19","12","12","7","18","0","1","0","1.73","7.20","-0.40","0.00","$0","26","181","6'2""",""
"","Chad Green","RP","NYY","14","0","15.0","13","6","5","5","16","1","1","1","1.20","3.00","0.06","0.00","$0","31","215","6'3""",""
"","Andrew Nardi","RP","MIA","13","0","14.7","25","17","16","14","24","1","1","0","2.66","9.82","-0.63","0.00","$0","23","0","0'0""",""
"","Pierce Johnson","RP","SD","15","0","14.3","14","8","8","8","21","1","2","0","1.53","5.02","-0.03","0.00","$5,000,000","31","200","6'2""",""
"","Jimmy Yacabonis","RP","TB","14","1","14.0","20","15","13","10","21","1","1","0","2.14","8.36","-0.26","0.00","$0","30","205","6'3""",""
"","D.L. Hall","RP","BAL","11","1","13.7","17","9","9","6","19","1","1","1","1.68","5.93","-0.26","0.00","$0","23","195","6'2""",""
"","Matt Boyd","RP","SEA","10","0","13.3","5","2","2","8","13","2","0","0","0.98","1.35","0.43","0.00","$10,000,000","31","234","6'3""",""
"","Zack Weiss","RP","LAA","12","0","13.3","7","6","5","7","18","0","1","0","1.05","3.38","0.28","0.00","$0","30","210","6'3""",""
"","Adbert Alzolay","RP","CHC","6","0","13.3","9","5","5","2","19","2","1","0","0.82","3.38","-0.02","0.00","$0","27","208","6'1""",""
"","Tyler Cyr","RP","OAK","12","0","13.3","11","4","4","5","16","1","0","0","1.20","2.70","-0.05","0.00","$0","29","211","6'2""",""
"","Jake Cousins","RP","MIL","12","0","13.3","10","4","4","8","21","2","1","0","1.35","2.70","0.19","0.00","$0","27","185","6'4""",""
"","Miguel Sanchez","RP","MIL","12","0","13.3","12","7","6","8","9","1","1","0","1.50","4.05","0.02","0.00","$0","28","205","6'3""",""
"","Tommy Kahnle","RP","LAD","13","0","12.7","5","4","4","3","14","0","0","1","0.63","2.84","0.31","0.00","$5,750,000","32","235","6'1""",""
"","Bryan Hoeing","RP","MIA","8","1","12.7","19","17","17","5","6","1","1","0","1.89","12.08","-0.63","0.00","$0","25","0","0'0""",""
"","Angel De Jesus","RP","DET","8","0","12.7","9","3","3","4","7","0","0","0","1.03","2.13","0.24","0.00","$0","25","200","6'4""",""
"","Angel Zerpa","SP","KC","3","2","11.0","9","3","2","3","3","2","1","0","1.09","1.64","0.45","0.00","$0","22","175","6'0""",""
"","Mark Appel","RP","PHI","6","0","10.3","9","2","2","3","5","0","0","0","1.16","1.74","0.28","0.00","$0","30","0","0'0""",""
"","Sean Reid-Foley","RP","NYM","7","0","10.0","7","6","6","7","8","0","0","0","1.40","5.40","-0.04","0.00","$0","26","220","6'3""",""
"","Casey Mize","SP","DET","2","2","10.0","13","6","6","2","4","0","1","0","1.50","5.40","-0.06","0.00","$0","25","220","6'3""",""
"","Steven Brault","RP","CHC","9","0","9.0","8","4","3","5","8","0","0","0","1.44","3.00","0.22","0.00","$0","30","195","6'0""",""
"","Luis Ortiz","SP","SF","6","0","8.7","5","1","1","3","6","0","0","0","0.92","1.04","0.19","0.00","$0","26","230","6'3""",""
"","Evan Lee","RP","WSH","4","1","8.7","9","5","4","7","7","0","1","0","1.85","4.15","0.02","0.00","$0","25","200","6'1""",""
"","Andrew Vasquez","RP","SF","10","0","8.7","6","6","6","4","10","0","0","0","1.15","6.23","-0.15","0.00","$0","28","228","6'6""",""
"","John Means","SP","BAL","2","2","8.0","8","3","3","2","7","0","0","0","1.25","3.38","0.20","0.00","$2,975,000","29","235","6'3""",""
"","Justin Topa","RP","MIL","7","0","7.3","9","6","4","4","4","0","0","0","1.77","4.91","-0.29","0.00","$0","31","200","6'4""",""
"","Shelby Miller","SP","SF","4","0","7.0","6","5","5","3","14","0","1","0","1.29","6.43","-0.19","0.00","$1,500,000","31","225","6'3""",""
"","A.J. Alexy","RP","TEX","4","0","7.0","10","9","9","9","6","1","1","0","2.71","11.57","-0.41","0.00","$0","24","195","6'4""",""
"","Kody Clemens","2B","DET","57","31","7.0","12","3","3","1","1","0","0","0","1.86","3.86","-0.34","0.00","$0","26","170","6'1""",""
"","Tyler Glasnow","SP","TB","2","2","6.7","4","1","1","2","10","0","0","0","0.90","1.35","0.35","0.00","$5,350,000","28","225","6'8""",""
"","Lucas Sims","RP","CIN","6","0","6.7","5","7","7","6","5","1","0","1","1.65","9.45","-0.31","0.00","$1,289,084","28","225","6'2""",""
"","Huascar Ynoa","SP","ATL","2","2","6.7","11","10","10","6","8","0","2","0","2.55","13.50","-0.45","0.00","$0","24","220","6'2""",""
"","Darwinzon Hernandez","RP","BOS","7","0","6.7","14","17","16","8","9","0","1","0","3.30","21.60","-0.88","0.00","$0","25","255","6'2""",""
"","Luis Gonzalez","RF","SF","98","89","6.3","9","4","4","1","0","0","0","0","1.58","5.68","0.23","34.41","$0","26","195","6'1""",""
"","Max Meyer","SP","MIA","2","2","6.0","7","5","5","2","6","0","1","0","1.50","7.50","-0.12","0.00","$0","23","195","6'0""",""
"","Chris Sale","SP","BOS","2","2","5.7","5","3","2","1","5","0","1","0","1.06","3.18","0.03","0.00","$27,500,000","33","183","6'6""",""
"","Sean Doolittle","RP","WSH","6","0","5.3","1","0","0","0","6","0","0","0","0.19","0.00","0.37","0.00","$0","35","204","6'2""",""
"","Jake Brentz","RP","KC","8","0","5.3","11","15","14","10","9","0","3","0","3.94","23.63","-1.31","0.00","$0","27","205","6'1""",""
"","Blake Treinen","RP","LAD","5","0","5.0","1","1","1","1","6","1","1","0","0.40","1.80","0.16","0.00","$8,000,000","34","225","6'5""",""
"","Max Kranick","SP","PIT","2","0","5.0","3","0","0","3","4","0","0","0","1.20","0.00","0.39","0.00","$0","24","210","6'3""",""
"","Stephen Strasburg","SP","WSH","1","1","4.7","8","7","7","2","5","0","1","0","2.14","13.50","-0.29","0.00","$23,571,428","33","235","6'5""",""
"","Carson Kelly","C","ARI","104","88","4.7","9","4","4","2","0","0","0","0","2.36","7.71","1.20","21.21","$4,443,254","27","220","6'2""",""
"","Damon Jones","RP","PHI","4","0","4.7","4","5","5","5","5","0","0","0","1.93","9.64","-0.16","0.00","$0","27","233","6'5""",""
"","Chris Ellis","SP","BAL","2","2","4.3","5","5","5","6","2","0","0","0","2.54","10.39","-0.25","0.00","$0","29","205","6'5""",""
"","Cade Cavalli","SP","WSH","1","1","4.3","6","7","7","2","6","0","1","0","1.85","14.54","-0.31","0.00","$0","23","226","6'4""",""
"","Christian Bethancourt","C","TB","101","84","4.0","6","1","1","1","1","0","0","0","1.75","2.25","0.12","26.52","$1,798,911","30","213","6'2""",""
"","Rob Zastryzny","RP","LAA","6","0","4.0","3","4","3","1","3","0","0","0","1.00","6.75","-0.03","0.00","$0","30","205","6'3""",""
"","Luis Gil","SP","NYY","1","1","4.0","5","4","4","2","5","0","0","0","1.75","9.00","-0.17","0.00","$0","24","185","6'2""",""
"","Justin Wilson","RP","CIN","5","0","3.7","3","1","1","0","7","0","1","0","0.82","2.46","0.13","0.00","$0","34","205","6'2""",""
"","Wil Myers","RF","SD","77","70","3.7","4","3","3","0","0","0","0","0","1.09","7.36","0.90","0.00","$6,000,000","31","207","6'3""",""
"","Nick Gordon","SS","MIN","138","113","3.7","10","9","9","4","0","0","0","0","3.82","22.09","1.96","46.84","$0","26","160","6'0""",""
"","Miguel Diaz","RP","DET","3","0","3.7","1","1","1","2","3","0","0","0","0.82","2.46","-0.02","0.00","$0","27","214","6'0""",""
"","Gregory Santos","RP","SF","2","0","3.7","3","2","2","3","2","0","0","0","1.64","4.91","0.02","0.00","$0","22","190","6'2""",""
"","Josh Harrison","2B","CHW","119","107","3.0","9","6","6","2","2","0","0","0","3.67","18.00","1.73","24.46","$0","34","185","5'8""",""
"","Jordan Holloway","RP","MIA","1","0","2.7","3","1","1","1","2","0","0","0","1.50","3.38","0.02","0.00","$0","26","230","6'6""",""
"","Tayler Saucedo","RP","TOR","4","0","2.7","6","4","4","1","0","0","0","0","2.63","13.50","-0.26","0.00","$0","29","185","6'5""",""
"","Austin Adams","RP","SD","2","0","2.3","0","0","0","3","2","1","0","0","1.29","0.00","0.09","0.00","$0","31","220","6'3""",""
"","Jake Hager","OF","ARI","28","17","2.3","3","2","2","0","1","0","0","0","1.29","7.71","-0.07","0.00","$0","29","170","6'1""",""
"","Jorge Alcala","RP","MIN","2","0","2.3","2","0","0","2","2","0","0","0","1.71","0.00","0.12","0.00","$1,037,364","26","205","6'3""",""
"","Darin Ruf","DH","NYM","119","81","2.0","1","0","0","0","0","0","0","0","0.50","0.00","-0.52","18.18","$3,000,000","35","250","6'3""",""
"","Charlie Culberson","3B","TEX","70","40","2.0","1","0","0","1","0","0","0","0","1.00","0.00","-0.27","0.00","$0","33","200","6'1""",""
"","Michael Taylor","CF","KC","124","115","2.0","5","2","2","2","2","0","0","0","3.50","9.00","3.24","44.16","$4,500,000","31","215","6'4""",""
"","Luis Torrens","C","SEA","57","44","2.0","3","2","1","0","0","1","0","0","1.50","4.50","-0.11","0.00","$0","26","175","6'0""",""
"","Ernie Clement","2B","OAK","70","40","2.0","6","4","4","0","0","0","0","0","3.00","18.00","-0.36","0.00","$0","26","170","6'0""",""
"","Austin Wynns","C","SF","66","48","2.0","3","3","3","1","0","0","0","0","2.00","13.50","0.55","0.00","$0","31","190","6'0""",""
