"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023","Age","Weight","Height",""
"","Walker Buehler","SP","LAD","12","12","65.0","67","30","29","17","58","5","3","0","1.29","4.02","0.41","0.00","$8,100,000","27","185","6'2""",""
"","Jarlin Garcia","RP","SF","58","0","65.0","60","34","27","18","56","1","4","1","1.20","3.74","0.38","34.17","$2,500,000","29","215","6'3""",""
"","Seth Lugo","RP","NYM","62","0","65.0","58","26","26","18","69","4","2","3","1.17","3.60","0.74","36.18","$7,500,000","32","225","6'4""",""
"","Andres Munoz","RP","SEA","64","0","65.0","43","20","18","15","96","2","5","4","0.89","2.49","1.37","74.97","$1,500,000","23","165","6'2""",""
"","John Schreiber","RP","BOS","64","0","65.0","45","19","16","19","74","4","4","8","0.99","2.22","2.58","88.53","$0","28","210","6'2""",""
"","Ryan Helsley","RP/CL","STL","54","0","64.7","28","11","9","20","94","9","1","19","0.74","1.25","2.63","99.66","$2,303,575","27","230","6'2""",""
"","Hoby Milner","RP","MIL","67","0","64.7","61","29","27","15","64","3","3","0","1.17","3.76","0.39","42.20","$1,147,093","31","175","6'3""",""
"","Jacob deGrom","SP","NYM","11","11","64.3","40","22","22","8","102","5","4","0","0.75","3.08","1.42","0.00","$30,000,000","34","180","6'4""",""
"","Taylor Rogers","RP","MIL","66","0","64.3","57","38","34","19","84","4","8","31","1.18","4.76","-0.19","23.49","$9,000,000","31","190","6'3""",""
"","Kenley Jansen","RP/CL","ATL","65","0","64.0","45","25","24","22","85","5","2","41","1.05","3.38","0.89","29.72","$16,000,000","34","265","6'5""",""
"","Trevor Richards","RP","TOR","62","4","64.0","57","41","38","35","82","3","2","0","1.44","5.34","-0.83","9.76","$1,325,311","29","195","6'2""",""
"","Rowan Wick","RP","CHC","64","0","64.0","79","37","30","29","69","4","7","9","1.69","4.22","-0.06","13.90","$1,550,000","29","235","6'3""",""
"","Paul Sewald","RP/CL","SEA","65","0","64.0","32","21","19","17","72","5","4","20","0.77","2.67","1.49","87.62","$5,883,467","32","207","6'3""",""
"","Jordan Romano","RP/CL","TOR","63","0","64.0","44","18","15","21","73","5","4","36","1.02","2.11","2.82","98.92","$3,417,241","29","225","6'5""",""
"","David Phelps","RP","TOR","65","1","63.7","52","22","20","31","64","0","2","1","1.30","2.83","1.10","45.13","$0","35","198","6'2""",""
"","Michael Fulmer","RP","MIN","67","0","63.7","59","27","24","28","61","5","6","3","1.37","3.39","0.36","26.14","$0","29","246","6'3""",""
"","Clay Holmes","RP/CL","NYY","62","0","63.7","45","21","18","20","65","7","4","20","1.02","2.55","1.31","90.73","$3,530,435","29","230","6'5""",""
"","Trevor Stephan","RP","CLE","66","0","63.7","57","24","19","18","82","6","5","3","1.18","2.69","0.96","64.64","$0","26","225","6'5""",""
"","Alexis Diaz","RP/CL","CIN","59","0","63.7","28","18","13","33","83","7","3","10","0.96","1.84","2.93","97.07","$0","25","224","6'2""",""
"","Chris Stratton","RP","STL","60","1","63.3","72","34","30","25","60","10","4","2","1.53","4.26","-0.37","24.12","$2,800,000","31","205","6'2""",""
"","Alex Lange","RP","DET","71","0","63.3","49","30","27","31","82","7","4","0","1.26","3.84","0.62","45.17","$0","26","197","6'3""",""
"","Jason Adam","RP","TB","67","0","63.3","31","12","11","17","75","2","3","8","0.76","1.56","2.68","93.28","$1,750,000","30","229","6'3""",""
"","Davis Martin","SP","CHW","14","9","63.3","63","36","34","19","48","3","6","0","1.29","4.83","0.89","0.00","$0","25","0","0'0""",""
"","Matt Manning","SP","DET","13","13","63.0","55","27","24","19","48","2","3","0","1.17","3.43","0.83","0.00","$0","24","215","6'6""",""
"","Emilio Pagan","RP","MIN","59","0","63.0","60","36","31","26","84","4","6","9","1.37","4.43","-0.54","12.48","$4,019,209","31","208","6'2""",""
"","Will Vest","RP","DET","59","1","63.0","62","30","28","22","63","3","3","1","1.33","4.00","0.20","38.24","$0","27","180","6'0""",""
"","Evan Phillips","RP","LAD","64","0","63.0","33","11","8","15","77","7","3","2","0.76","1.14","2.74","97.44","$1,300,000","27","215","6'2""",""
"","Tanner Scott","RP","MIA","67","0","62.7","55","34","30","46","90","4","5","20","1.61","4.31","-0.11","29.51","$2,519,961","27","235","6'0""",""
"","Ryan Brasier","RP","BOS","68","0","62.3","68","43","40","13","64","0","3","1","1.30","5.78","-0.77","5.88","$2,308,469","34","227","6'0""",""
"","Hunter Strickland","RP","CIN","66","0","62.3","61","37","34","33","60","3","3","7","1.51","4.91","0.00","10.20","$0","33","225","6'3""",""
"","Elieser Hernandez","RP","MIA","20","10","62.3","67","48","44","22","60","3","6","0","1.43","6.35","-1.04","0.00","$1,750,000","27","210","6'0""",""
"","Raisel Iglesias","RP/CL","ATL","67","0","62.0","46","20","17","14","78","2","6","17","0.97","2.47","0.13","14.65","$16,000,000","32","190","6'2""",""
"","C.J. Edwards","RP","WSH","57","0","62.0","51","22","19","25","56","6","3","2","1.23","2.76","1.38","71.29","$1,600,000","30","170","6'3""",""
"","Edwin Diaz","RP/CL","NYM","61","0","62.0","34","9","9","18","118","3","1","32","0.84","1.31","3.08","94.20","$23,750,000","28","165","6'3""",""
"","Sam Hentges","RP","CLE","57","0","62.0","41","17","16","19","72","3","2","1","0.97","2.32","1.23","77.83","$0","25","245","6'8""",""
"","Shawn Armstrong","RP","TB","50","3","61.7","66","32","30","17","66","2","2","2","1.35","4.38","-0.40","20.08","$2,053,110","31","225","6'2""",""
