Acronimo,Agente_libre,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,At_bats,At_bats_2,Bateos,Bateos_2,Bateos_promedio,Bateos_promedio_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Dobles,Dobles_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Home_runs,Home_runs_2,Juegos,Juegos totales,Juegos_iniciados,Juegos_iniciados_2,Jugador,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_On_base_plus_slugging,Porcentaje_On_base_plus_slugging_2,Porcentaje_juegos,Porcentaje_juegos_iniciados,Porcentaje_juegos_iniciados_2,Porcentaje_on_base,Porcentaje_on_base_2,Porcentaje_slugging,Porcentaje_slugging_2,Posicion,Promedio_victorias,Runs_batted_in,Runs_batted_in_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Triples,Triples_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
KC,No,6.1,2012,0,4,1,642,412164,189,35721,0.294,0.08643599999999999,0,2,2,51,2601,28,27,Kansas City Royals,Missouri,13818000,14,196,161,162,159,25281,Alex Gordon,6025000,2,225.0,7,0.822,0.675684,0.994,0.982,0.964324,0.368,0.135424,0.455,0.20702500000000001,LF,0.4444444444444444,72,5184,6025000,6000000,0.086,6025000,84.66,7167.315599999999,5,25,9375000,5000000,37500000,72,6.31,39.81609999999999,1,15.611428037340993,15.60727002719233,15.611428037340993
KC,No,6.1,2011,0,1,1,642,412164,189,35721,0.294,0.08643599999999999,0,2,2,51,2601,27,26,Kansas City Royals,Missouri,7793000,14,196,161,162,159,25281,Alex Gordon,1400000,2,225.0,7,0.822,0.675684,0.994,0.982,0.964324,0.368,0.135424,0.455,0.20702500000000001,LF,0.4444444444444444,72,5184,1400000,1400000,0.027,1400000,84.66,7167.315599999999,5,25,1400000,5000000,1400000,72,6.31,39.81609999999999,1,14.151982794585487,14.151982794585487,14.151982794585487
BOS,No,6.2,2012,2019,7,1,629,395641,188,35344,0.299,0.089401,857142,1,3,47,2209,30,29,Boston Red Sox,Massachusetts,46993500,18,324,159,162,158,24964,Adrian Gonzalez,27000000,12,215.0,20,0.806,0.6496360000000001,0.982,0.975,0.9506249999999999,0.344,0.11833599999999998,0.463,0.21436900000000003,1B,0.4259259259259259,108,11664,21857142,21000000,0.125,21857142,20.37,414.93690000000004,1,1,22000000,6000000,154000000,69,2.97,8.820900000000002,7,16.90003829108571,16.860032995687696,16.90003829108571
BOS,No,6.2,2011,0,5,5,629,395641,188,35344,0.299,0.089401,0,1,3,47,2209,29,24,Boston Red Sox,Massachusetts,19993500,18,324,159,162,158,24964,Adrian Gonzalez,6375000,12,215.0,20,0.806,0.6496360000000001,0.982,0.975,0.9506249999999999,0.344,0.11833599999999998,0.463,0.21436900000000003,1B,0.4259259259259259,108,11664,6375000,6300000,0.037,6375000,20.37,414.93690000000004,1,1,3160000,6000000,15800000,69,2.97,8.820900000000002,7,15.667894649008764,15.65606019136176,15.667894649008764
ATL,No,6.0,2012,0,1,0,617,380689,186,34596,0.302,0.091204,0,1,1,42,1764,28,28,Atlanta Braves,Georgia,9807500,10,100,156,162,154,23716,Martin Prado,4750000,18,215.0,22,0.796,0.6336160000000001,0.963,0.951,0.9044009999999999,0.359,0.128881,0.438,0.191844,3B,0.5802469135802469,70,4900,4750000,4750000,0.049,4750000,84.47,7135.180899999999,6,36,4750000,1000000,4750000,94,5.41,29.2681,3,15.373655176010823,15.373655176010823,15.373655176010823
ATL,No,6.0,2011,2014,1,0,617,380689,186,34596,0.302,0.091204,0,1,1,42,1764,27,27,Atlanta Braves,Georgia,5057500,10,100,156,162,154,23716,Martin Prado,3100000,18,215.0,22,0.796,0.6336160000000001,0.963,0.951,0.9044009999999999,0.359,0.128881,0.438,0.191844,3B,0.5802469135802469,70,4900,3100000,3100000,0.031,3100000,84.47,7135.180899999999,6,36,3100000,1000000,3100000,94,5.41,29.2681,3,14.946912669455374,14.946912669455374,14.946912669455374
BAL,No,6.2,2012,0,1,0,648,419904,186,34596,0.287,0.08236899999999998,0,1,5,39,1521,26,26,Baltimore Orioles,Maryland,12246180,32,1024,162,162,162,26244,Adam Jones,6200000,7,215.0,12,0.839,0.7039209999999999,1.0,1.0,1.0,0.334,0.11155600000000002,0.505,0.255025,CF,0.5740740740740741,82,6724,6200000,6150000,0.075,6200000,83.45,6963.9025,3,9,6150000,6675000,6150000,93,4.14,17.139599999999998,3,15.64005985001532,15.631962639782701,15.64005985001532
BAL,No,6.2,2011,0,1,0,648,419904,186,34596,0.287,0.08236899999999998,0,1,5,39,1521,25,25,Baltimore Orioles,Maryland,6046180,32,1024,162,162,162,26244,Adam Jones,3250000,7,215.0,12,0.839,0.7039209999999999,1.0,1.0,1.0,0.334,0.11155600000000002,0.505,0.255025,CF,0.5740740740740741,82,6724,3250000,3250000,0.034,3250000,83.45,6963.9025,3,9,3250000,6675000,3250000,93,4.14,17.139599999999998,3,14.994165554305921,14.994165554305921,14.994165554305921
MIA,Si,6.241500000000008,2012,2019,6,1,642,412164,184,33856,0.287,0.08236899999999998,0,2,6,37,1369,29,28,Miami Marlins,Florida,45213000,11,121,160,162,160,25600,Jose Reyes,10000000,2,195.0,2,0.78,0.6084,0.988,0.988,0.976144,0.347,0.12040899999999999,0.433,0.187489,3B,0.4259259259259259,57,3249,10000000,10000000,0.102,10000000,40.77,1662.1929000000002,12,144,17666667,203300000,106000000,69,2.96,8.7616,2,16.11809565095832,16.11809565095832,16.11809565095832
NYM,Si,6.241500000000008,2011,2012,4,5,642,412164,184,33856,0.287,0.08236899999999998,0,2,7,37,1369,28,23,New York Mets,New York,35213000,11,121,160,162,160,25600,Jose Reyes,11050000,5,195.0,8,0.78,0.6084,0.988,0.988,0.976144,0.347,0.12040899999999999,0.433,0.187489,3B,0.4567901234567901,57,3249,11050000,11000000,0.078,11050000,40.77,1662.1929000000002,12,144,5812500,20400000,23250000,74,2.96,8.7616,2,16.217940985928035,16.213405830762646,16.217940985928035
CHW,No,6.5,2012,2015,7,5,605,366025,184,33856,0.304,0.092416,500000,2,1,37,1369,31,26,Chicago White Sox,Illinois,47900000,25,625,157,162,156,24336,Alex Rios,12000000,6,210.0,9,0.85,0.7224999999999999,0.969,0.963,0.9273689999999999,0.334,0.11155600000000002,0.516,0.266256,RF,0.5246913580246914,91,8281,12500000,12000000,0.115,12500000,81.47,6637.3609,8,64,9833571,900000,68835000,85,4.75,22.5625,3,16.34123920227253,16.300417207752275,16.34123920227253
CHW,No,6.5,2011,2015,7,4,605,366025,184,33856,0.304,0.092416,500000,2,1,37,1369,30,26,Chicago White Sox,Illinois,35900000,25,625,157,162,156,24336,Alex Rios,12000000,6,210.0,9,0.85,0.7224999999999999,0.969,0.963,0.9273689999999999,0.334,0.11155600000000002,0.516,0.266256,RF,0.5246913580246914,91,8281,12500000,12000000,0.098,12500000,81.47,6637.3609,8,64,9833571,900000,68835000,85,4.75,22.5625,3,16.34123920227253,16.300417207752275,16.34123920227253
CHC,No,6.2,2012,0,1,1,646,417316,183,33489,0.283,0.08008899999999998,0,2,3,29,841,22,21,Chicago Cubs,Illinois,1379472,14,196,162,162,161,25921,Starlin Castro,567000,17,230.0,16,0.753,0.567009,1.0,0.994,0.988036,0.323,0.104329,0.43,0.18489999999999998,2B,0.3765432098765432,78,6084,567000,567000,0.005,567000,74.5,5550.25,12,144,567000,14150000,567000,61,3.46,11.9716,2,13.248114582709889,13.248114582709889,13.248114582709889
CHC,No,6.2,2011,0,1,1,646,417316,183,33489,0.283,0.08008899999999998,0,2,3,29,841,21,20,Chicago Cubs,Illinois,812472,14,196,162,162,161,25921,Starlin Castro,440000,17,230.0,16,0.753,0.567009,1.0,0.994,0.988036,0.323,0.104329,0.43,0.18489999999999998,2B,0.3765432098765432,78,6084,440000,440000,0.003,440000,74.5,5550.25,12,144,440000,14150000,440000,61,3.46,11.9716,2,12.994530005894443,12.994530005894443,12.994530005894443
LAA,No,6.2,2012,0,1,0,559,312481,182,33124,0.326,0.10627600000000001,0,5,4,27,729,20,20,Los Angeles Angels,California,1846792,30,900,139,162,138,19044,Mike Trout,482500,1,235.0,10,0.963,0.9273689999999999,0.858,0.852,0.725904,0.399,0.159201,0.564,0.31809599999999993,CF,0.5493827160493827,83,6889,482500,482500,0.003,482500,100.0,10000.0,8,64,482500,321150000,482500,89,10.54,111.09159999999999,1,13.086736199761178,13.086736199761178,13.086736199761178
LAA,No,6.2,2011,0,1,0,559,312481,182,33124,0.326,0.10627600000000001,0,5,4,27,729,19,19,Los Angeles Angels,California,1364292,30,900,139,162,138,19044,Mike Trout,149292,1,235.0,10,0.963,0.9273689999999999,0.858,0.852,0.725904,0.399,0.159201,0.564,0.31809599999999993,CF,0.5493827160493827,83,6889,149292,414000,0.001,414000,100.0,10000.0,8,64,414000,321150000,414000,89,10.54,111.09159999999999,1,11.91365939870249,12.933621252807452,12.933621252807452
TEX,No,6.0,2012,0,3,0,629,395641,180,32400,0.286,0.08179599999999998,250000,2,4,31,961,23,23,Texas Rangers,Texas,4995600,3,9,158,162,154,23716,Elvis Andrus,3125000,2,200.0,6,0.727,0.5285289999999999,0.975,0.951,0.9044009999999999,0.349,0.12180099999999998,0.378,0.142884,SS,0.5740740740740741,62,3844,2625000,2375000,0.019,2625000,61.65,3800.7225,9,81,4800000,19000000,14400000,93,3.96,15.6816,0,14.780591454007862,14.68050799545088,14.780591454007862
TEX,No,6.0,2011,0,1,0,629,395641,180,32400,0.286,0.08179599999999998,0,2,4,31,961,22,22,Texas Rangers,Texas,1870600,3,9,158,162,154,23716,Elvis Andrus,452180,2,200.0,6,0.727,0.5285289999999999,0.975,0.951,0.9044009999999999,0.349,0.12180099999999998,0.378,0.142884,SS,0.5740740740740741,62,3844,452180,452180,0.004,452180,61.65,3800.7225,9,81,452180,19000000,452180,93,3.96,15.6816,0,13.021835609630307,13.021835609630307,13.021835609630307
NYM,No,6.0,2012,2014,6,5,581,337561,178,31684,0.306,0.093636,250000,2,7,41,1681,29,24,New York Mets,New York,56006500,21,441,156,162,155,24025,David Wright,15050000,5,205.0,8,0.883,0.779689,0.963,0.957,0.9158489999999999,0.391,0.15288100000000002,0.492,0.242064,3B,0.4567901234567901,93,8649,15300000,15000000,0.146,15300000,95.81,9179.5561,2,4,9166667,20400000,55000000,74,7.06,49.843599999999995,2,16.543363386362664,16.523560759066484,16.543363386362664
NYM,No,6.0,2011,2014,6,4,581,337561,178,31684,0.306,0.093636,250000,2,7,41,1681,28,24,New York Mets,New York,40956500,21,441,156,162,155,24025,David Wright,14000000,5,205.0,8,0.883,0.779689,0.963,0.957,0.9158489999999999,0.391,0.15288100000000002,0.492,0.242064,3B,0.4567901234567901,93,8649,14250000,14000000,0.1,14250000,95.81,9179.5561,2,4,9166667,20400000,55000000,74,7.06,49.843599999999995,2,16.472267464678932,16.454567887579532,16.472267464678932
NYY,No,6.0,2012,2013,5,4,629,395641,178,31684,0.283,0.08008899999999998,1000000,2,9,28,784,38,34,New York Yankees,New York,148000000,9,81,162,162,151,22801,Ichiro Suzuki,6781420,40,175.0,50,0.696,0.48441599999999996,1.0,0.932,0.8686240000000001,0.307,0.094249,0.39,0.1521,RF,0.5864197530864198,55,3025,6781420,17000000,0.03,18000000,4.2,17.64,6,36,18000000,9100000,90000000,95,0.24,0.0576,27,15.729697077515207,16.64872390202049,16.70588231586044
SF,No,6.1,2012,0,1,1,530,280900,178,31684,0.336,0.11289600000000001,0,5,3,39,1521,25,24,San Francisco Giants,California,8035967,24,576,148,162,143,20449,Buster Posey,790000,23,210.0,23,0.957,0.9158489999999999,0.914,0.883,0.779689,0.408,0.16646399999999997,0.549,0.30140100000000003,C,0.5802469135802469,103,10609,790000,615000,0.006,790000,99.64,9928.1296,1,1,615000,4800000,615000,94,7.56,57.1536,7,13.579788224443204,13.329377546788654,13.579788224443204
SF,No,6.1,2011,0,1,1,530,280900,178,31684,0.336,0.11289600000000001,0,5,3,39,1521,24,23,San Francisco Giants,California,7245967,24,576,148,162,143,20449,Buster Posey,575000,23,210.0,23,0.957,0.9158489999999999,0.914,0.883,0.779689,0.408,0.16646399999999997,0.549,0.30140100000000003,C,0.5802469135802469,103,10609,575000,575000,0.005,575000,99.64,9928.1296,1,1,575000,4800000,575000,94,7.56,57.1536,7,13.262125319779487,13.262125319779487,13.262125319779487
STL,No,6.4,2011,2017,7,2,599,358801,177,31329,0.296,0.08761599999999999,0,2,5,36,1296,31,29,St. Louis Cardinals,Missouri,65458500,27,729,157,162,154,23716,Matt Holliday,17050000,23,250.0,26,0.877,0.769129,0.969,0.951,0.9044009999999999,0.379,0.143641,0.497,0.247009,DH,0.5432098765432098,102,10404,17050000,17000000,0.143,17050000,66.63,4439.5569,2,4,17142857,40850000,120000000,88,4.04,16.3216,11,16.6516607616938,16.64872390202049,16.6516607616938
STL,No,6.4,2012,2017,7,3,599,358801,177,31329,0.296,0.08761599999999999,0,2,5,36,1296,32,29,St. Louis Cardinals,Missouri,82508500,27,729,157,162,154,23716,Matt Holliday,17050000,23,250.0,26,0.877,0.769129,0.969,0.951,0.9044009999999999,0.379,0.143641,0.497,0.247009,DH,0.5432098765432098,102,10404,17050000,17000000,0.142,17050000,66.63,4439.5569,2,4,17142857,40850000,120000000,88,4.04,16.3216,11,16.6516607616938,16.64872390202049,16.6516607616938
KC,No,6.1,2012,2018,4,0,605,366025,177,31329,0.293,0.085849,0,2,2,30,900,25,25,Kansas City Royals,Missouri,2266500,5,25,155,162,155,24025,Alcides Escobar,1000000,2,185.0,7,0.721,0.519841,0.957,0.957,0.9158489999999999,0.331,0.109561,0.39,0.1521,SS,0.4444444444444444,52,2704,1000000,1000000,0.014,1000000,61.43,3773.6449,7,49,2625000,5000000,10500000,72,3.4,11.559999999999999,1,13.815510557964274,13.815510557964274,13.815510557964274
KC,No,6.1,2011,2016,1,0,605,366025,177,31329,0.293,0.085849,0,2,2,30,900,24,24,Kansas City Royals,Missouri,1266500,5,25,155,162,155,24025,Alcides Escobar,428000,2,185.0,7,0.721,0.519841,0.957,0.957,0.9158489999999999,0.331,0.109561,0.39,0.1521,SS,0.4444444444444444,52,2704,428000,428000,0.008,428000,61.43,3773.6449,7,49,428000,5000000,428000,72,3.4,11.559999999999999,1,12.966878474563934,12.966878474563934,12.966878474563934
MIN,No,6.5,2012,2019,8,2,545,297025,174,30276,0.319,0.101761,0,1,4,31,961,29,27,Minnesota Twins,Minnesota,85225000,10,100,147,162,144,20736,Joe Mauer,23025000,6,225.0,14,0.861,0.741321,0.907,0.889,0.790321,0.416,0.173056,0.446,0.198916,1B,0.4074074074074074,85,7225,23025000,23000000,0.211,23025000,49.04,2404.9216,4,16,23000000,32750000,184000000,66,4.42,19.5364,3,16.952091140105644,16.951004773893423,16.952091140105644
MIN,No,6.5,2011,2019,8,1,545,297025,174,30276,0.319,0.101761,0,1,4,31,961,28,27,Minnesota Twins,Minnesota,62200000,10,100,147,162,144,20736,Joe Mauer,23000000,6,225.0,14,0.861,0.741321,0.907,0.889,0.790321,0.416,0.173056,0.446,0.198916,1B,0.4074074074074074,85,7225,23000000,23000000,0.202,23000000,49.04,2404.9216,4,16,23000000,32750000,184000000,66,4.42,19.5364,3,16.951004773893423,16.951004773893423,16.951004773893423
NYM,No,6.2,2011,0,1,0,605,366025,174,30276,0.288,0.08294399999999999,0,2,7,38,1444,29,29,New York Mets,New York,6633500,8,64,154,162,149,22201,Angel Pagan,3500000,5,202.0,8,0.778,0.605284,0.951,0.92,0.8464,0.338,0.11424400000000001,0.44,0.1936,LF,0.4567901234567901,56,3136,3500000,3500000,0.025,3500000,78.04,6090.241600000001,15,225,3500000,20400000,3500000,74,4.17,17.3889,2,15.068273526459642,15.068273526459642,15.068273526459642
SF,No,6.2,2012,2013,1,0,605,366025,174,30276,0.288,0.08294399999999999,0,5,3,38,1444,30,30,San Francisco Giants,California,11633500,8,64,154,162,149,22201,Angel Pagan,5000000,23,202.0,23,0.778,0.605284,0.951,0.92,0.8464,0.338,0.11424400000000001,0.44,0.1936,LF,0.5802469135802469,56,3136,5000000,4850000,0.037,5000000,78.04,6090.241600000001,15,225,4850000,4800000,4850000,94,4.17,17.3889,7,15.424948470398375,15.394489262913666,15.424948470398375
LAA,Si,6.3,2012,2022,10,1,607,368449,173,29929,0.285,0.08122499999999999,0,5,4,50,2500,32,31,Los Angeles Angels,California,126420000,30,900,154,162,154,23716,Albert Pujols,12000000,1,235.0,10,0.859,0.737881,0.951,0.951,0.9044009999999999,0.343,0.11764900000000002,0.516,0.266256,DH,0.5493827160493827,105,11025,12000000,12000000,0.076,12000000,48.33,2335.7889,0,0,24000000,321150000,240000000,89,4.81,23.136099999999995,1,16.300417207752275,16.300417207752275,16.300417207752275
STL,Si,6.3,2011,2012,7,8,607,368449,173,29929,0.285,0.08122499999999999,0,2,5,50,2500,31,23,St. Louis Cardinals,Missouri,114420000,30,900,154,162,154,23716,Albert Pujols,16000000,23,235.0,26,0.859,0.737881,0.951,0.951,0.9044009999999999,0.343,0.11764900000000002,0.516,0.266256,DH,0.5432098765432098,105,11025,16000000,16000000,0.135,16000000,48.33,2335.7889,0,0,14285714,40850000,100000000,88,4.81,23.136099999999995,11,16.588099280204055,16.588099280204055,16.588099280204055
MIL,Si,6.1,2012,2016,3,1,570,324900,171,29241,0.3,0.09,0,1,3,50,2500,34,33,Milwaukee Brewers,Wisconsin,106650000,27,729,149,162,146,21316,Aramis Ramirez,6000000,1,215.0,4,0.901,0.811801,0.92,0.901,0.811801,0.36,0.1296,0.54,0.2916,3B,0.5123456790123457,105,11025,6000000,6000000,0.054,6000000,89.82,8067.632399999999,3,9,12000000,40250000,36000000,83,5.58,31.136400000000002,0,15.60727002719233,15.60727002719233,15.60727002719233
CHC,Si,6.1,2011,0,5,5,570,324900,171,29241,0.3,0.09,0,2,3,50,2500,33,28,Chicago Cubs,Illinois,100650000,27,729,149,162,146,21316,Aramis Ramirez,14675000,17,215.0,16,0.901,0.811801,0.92,0.901,0.811801,0.36,0.1296,0.54,0.2916,3B,0.3765432098765432,105,11025,14675000,14600000,0.105,14675000,89.82,8067.632399999999,3,9,15000000,14150000,75000000,61,5.58,31.136400000000002,2,16.501655923678435,16.496532086678563,16.501655923678435
TEX,No,6.0,2012,2014,5,5,655,429025,168,28224,0.257,0.066049,200000,2,4,42,1764,30,25,Texas Rangers,Texas,22397708,19,361,157,162,157,24649,Ian Kinsler,7250000,2,200.0,6,0.749,0.561001,0.969,0.969,0.9389609999999999,0.326,0.10627600000000001,0.423,0.17892899999999998,2B,0.5740740740740741,72,5184,7250000,7000000,0.052,7250000,66.9,4475.610000000001,5,25,4400000,19000000,22000000,93,2.37,5.6169,0,15.796512026830857,15.761420707019587,15.796512026830857
TEX,No,6.0,2011,2014,5,4,655,429025,168,28224,0.257,0.066049,200000,2,4,42,1764,29,25,Texas Rangers,Texas,15147708,19,361,157,162,157,24649,Ian Kinsler,6200000,2,200.0,6,0.749,0.561001,0.969,0.969,0.9389609999999999,0.326,0.10627600000000001,0.423,0.17892899999999998,2B,0.5740740740740741,72,5184,6200000,6000000,0.06,6200000,66.9,4475.610000000001,5,25,4400000,19000000,22000000,93,2.37,5.6169,0,15.64005985001532,15.60727002719233,15.64005985001532
LAA,No,6.2,2011,2013,5,3,534,285156,167,27889,0.313,0.097969,500000,5,4,24,576,35,32,Los Angeles Angels,California,117550000,16,256,140,162,133,17689,Torii Hunter,18500000,1,205.0,10,0.817,0.6674889999999999,0.864,0.821,0.6740409999999999,0.365,0.13322499999999998,0.451,0.203401,RF,0.5493827160493827,92,8464,19000000,18500000,0.13,19000000,54.52,2972.4304,1,1,18000000,321150000,90000000,89,5.35,28.622499999999995,1,16.759949537130716,16.733281290048552,16.759949537130716
LAA,No,6.2,2012,2013,5,4,534,285156,167,27889,0.313,0.097969,500000,5,4,24,576,36,32,Los Angeles Angels,California,135550000,16,256,140,162,133,17689,Torii Hunter,18000000,1,205.0,10,0.817,0.6674889999999999,0.864,0.821,0.6740409999999999,0.365,0.13322499999999998,0.451,0.203401,RF,0.5493827160493827,92,8464,18500000,18000000,0.118,18500000,54.52,2972.4304,1,1,18000000,321150000,90000000,89,5.35,28.622499999999995,1,16.733281290048552,16.70588231586044,16.733281290048552
HOU,No,5.6,2012,0,1,1,576,331776,167,27889,0.29,0.0841,0,2,1,34,1156,22,21,Houston Astros,Texas,660885,7,49,147,162,142,20164,Jose Altuve,483000,1,166.0,9,0.74,0.5476,0.907,0.877,0.769129,0.34,0.11560000000000002,0.399,0.159201,2B,0.3395061728395062,37,1369,483000,483000,0.009,483000,59.59,3550.9681000000005,4,16,483000,750000,483000,55,1.44,2.0736,0,13.087771932634709,13.087771932634709,13.087771932634709
HOU,No,5.6,2011,0,1,1,576,331776,167,27889,0.29,0.0841,0,2,1,34,1156,21,20,Houston Astros,Texas,177885,7,49,147,162,142,20164,Jose Altuve,162885,1,166.0,9,0.74,0.5476,0.907,0.877,0.769129,0.34,0.11560000000000002,0.399,0.159201,2B,0.3395061728395062,37,1369,162885,414000,0.002,414000,59.59,3550.9681000000005,4,16,414000,750000,414000,55,1.44,2.0736,0,12.00079970931911,12.933621252807452,12.933621252807452
